Search interest in LeBron James and Stephen Curry during the 2015 NBA Playoffs,,
Week,LeBron James,Stephen Curry
3/15/2015,28.85,11.10
3/22/2015,25.20,9.45
3/29/2015,25.64,16.67
4/5/2015,25.22,11.94
4/12/2015,25.16,15.21
4/19/2015,32.49,22.02
4/26/2015,25.49,12.76
5/3/2015,29.80,29.51
5/10/2015,48.27,22.66
5/17/2015,36.19,55.40
5/24/2015,56.42,100.00
