country,"Rank of interest in Fifa, May 27-28, 2015"
Cayman Islands,1
Montserrat,2
Trinidad and Tobago,3
Uruguay,4
Costa Rica,5
British Virgin Islands,6
Cameroon,7
Togo,8
Kuwait,9
Grenada,10
Liechtenstein,11
Antarctica,12
Bermuda,13
Barbados,14
Falkland Islands,15
Saint Kitts and Nevis,16
Switzerland,17
Paraguay,18
Haiti,19
Antigua and Barbuda,20
Guinea-Bissau,21
Turks and Caicos Islands,22
Dominica,23
North Korea,24
Democratic Republic of the Congo,25
Botswana,26
Gibraltar,27
Qatar,28
Aruba,29
Saint Lucia,30
Panama,31
Solomon Islands,32
Nicaragua,33
Liberia,34
Chad,35
Sierra Leone,36
Cuba,37
Burkina Faso,38
Mali,39
Zambia,40
Jamaica,41
CÂ™te d'Ivoire,42
Guinea,43
Honduras,44
Monaco,45
Anguilla,46
Congo,47
Benin,48
CuraÂçao,49
Comoros,50
Argentina,51
Gabon,52
Eritrea,53
Saint Vincent and the Grenadines,54
Equatorial Guinea,55
Burundi,56
Swaziland,57
Luxembourg,58
Iceland,59
United Kingdom,60
Ghana,61
Guernsey,62
Rwanda,63
Bahrain,64
Jersey,65
Ireland,66
Angola,67
Central African Republic,68
Isle of Man,69
Ecuador,70
Niger,71
Germany,72
Faroe Islands,73
South Africa,74
Uganda,75
Canada,76
Belize,77
The Bahamas,78
Venezuela,79
Malawi,80
Saint Pierre and Miquelon,81
Senegal,82
Malta,83
Sint Maarten,84
Jordan,85
Zimbabwe,86
Djibouti,87
Chile,88
El Salvador,89
Colombia,90
U.S. Virgin Islands,91
Seychelles,92
Gambia,93
Bolivia,94
Guyana,95
Guatemala,96
Namibia,97
Cape Verde,98
United States,99
Lesotho,100
Mauritania,101
Cyprus,102
Saint Martin,103
Austria,104
Madagascar,105
Vanuatu,106
New Zealand,107
Netherlands,108
Ethiopia,109
French Polynesia,110
Norway,111
France,112
Mozambique,113
Caribbean Netherlands,114
Sweden,115
Suriname,116
Morocco,117
Maldives,118
Guadeloupe,119
Tonga,120
Andorra,121
Aland Islands,122
United Arab Emirates,123
South Sudan,124
Saint Helena,125
Somalia,126
Portugal,127
Martinique,128
Australia,129
Mayotte,130
Lebanon,131
Nigeria,132
Kenya,133
Cook Islands,134
Uzbekistan,135
Mexico,136
French Guiana,137
Singapore,138
Peru,139
Bhutan,140
Mauritius,141
Belgium,142
Fiji,143
Northern Mariana Islands,144
San Marino,145
Tanzania,146
Tunisia,147
Algeria,148
Guam,149
Turkmenistan,150
SÂ‹o TomÂ_ and PrÂ’ncipe,151
Puerto Rico,152
Hong Kong,153
Brazil,154
Saint BarthÂ_lemy,155
Denmark,156
Spain,157
Timor-Leste,158
Israel,159
Wallis and Futuna,160
Sudan,161
Dominican Republic,162
Greece,163
New Caledonia,164
Tajikistan,165
Brunei Darussalam,166
Greenland,167
Libya,168
Saudi Arabia,169
Oman,170
Reunion,171
Marshall Islands,172
Italy,173
Egypt,174
Kazakhstan,175
Nepal,176
Papua New Guinea,177
China,178
Myanmar,179
Vietnam,180
Palau,181
Estonia,182
Croatia,183
Finland,184
Bulgaria,185
Albania,186
Georgia,187
Russia,188
Indonesia,189
Cambodia,190
Montenegro,191
Macao,192
Kyrgyzstan,193
Ukraine,194
Afghanistan,195
Latvia,196
Slovenia,197
Hungary,198
Moldova,199
Macedonia,200
Czech Republic,201
Poland,202
Micronesia,203
Armenia,204
Azerbaijan,205
Samoa,206
Japan,207
Slovakia,208
Bangladesh,209
Romania,210
Mongolia,211
Bosnia and Herzegovina,212
Palestine,213
Lithuania,214
Serbia,215
Malaysia,216
Kosovo,217
Belarus,218
Syria,219
Iraq,220
Thailand,221
Iran,222
Laos,223
Sri Lanka,224
Western Sahara,225
South Korea,226
Philippines,227
Pakistan,228
Yemen,229
Taiwan,230
Turkey,231
India,232
