"Rankings in search interest for GOP Candidates, 10/28/2015",,,,,,,,,,,,,,
Based on US search interest,,,,,,,,,,,,,,
time,Jeb Bush,Ben Carson,Chris Christie,Ted Cruz,Mike Huckabee,John Kasich,Rand Paul,Marco Rubio,Donald Trump,Carly Fiorina,Lindsey Graham,Bobby Jindal,George Pataki,Rick Santorum
6:00 PM ET,3,2,12,5,14,8,9,4,1,11,7,5,10,13
6:08 PM ET,4,2,13,9,14,10,11,6,1,12,3,5,7,8
6:16 PM ET,6,2,13,10,14,8,9,5,1,12,4,3,7,11
6:24 PM ET,7,2,13,9,14,12,11,6,1,10,3,5,4,8
6:32 PM ET,5,1,13,9,14,11,10,4,2,12,3,7,6,7
6:40 PM ET,5,2,13,10,14,11,9,4,1,12,3,6,7,8
6:48 PM ET,5,2,13,10,14,11,9,8,1,12,3,4,7,6
6:56 PM ET,8,3,13,10,14,11,12,5,1,9,2,4,6,7
7:04 PM ET,7,2,13,11,14,9,12,8,1,10,3,4,6,5
7:12 PM ET,6,2,13,9,14,7,12,5,1,10,3,4,11,8
7:20 PM ET,6,2,13,7,14,11,9,5,1,12,4,3,8,10
7:28 PM ET,4,1,13,6,14,8,9,5,2,11,3,10,12,7
7:36 PM ET,6,2,13,9,14,4,7,5,1,12,3,11,10,8
7:44 PM ET,5,2,13,7,14,8,9,6,1,10,4,12,10,3
7:52 PM ET,5,2,13,6,14,8,7,4,1,11,3,9,11,10
8:00 PM ET,5,2,10,6,11,7,4,3,1,9,8,12,13,14
8:08 PM ET,5,1,10,6,11,7,4,3,2,8,9,12,12,14
8:16 PM ET,7,1,9,6,10,3,8,4,2,5,11,12,13,14
8:24 PM ET,8,2,9,6,10,1,4,5,3,7,10,12,13,13
8:32 PM ET,7,5,9,3,10,1,8,2,4,6,11,12,14,13
8:40 PM ET,6,5,9,3,10,7,8,2,4,1,11,12,14,13
8:48 PM ET,9,4,5,1,6,8,7,2,3,10,11,12,14,13
8:56 PM ET,7,1,6,3,9,5,10,4,2,8,11,12,13,14
9:04 PM ET,6,2,8,4,10,7,9,1,3,5,11,12,14,13
9:12 PM ET,7,1,9,2,10,5,8,3,4,6,11,13,14,12
9:20 PM ET,5,1,10,4,9,6,8,2,3,7,11,13,14,12
9:28 PM ET,4,1,10,5,7,8,6,3,2,9,11,13,14,12
9:36 PM ET,6,3,10,5,9,4,7,2,1,8,11,12,14,13
9:44 PM ET,8,3,7,6,4,9,10,2,1,5,11,13,14,12
9:52 PM ET,5,3,2,8,10,6,9,4,1,7,11,12,14,13
10:00 PM ET,4,3,7,5,10,8,6,2,1,9,11,12,14,13
10:08 PM ET,7,2,6,4,10,9,8,1,3,5,11,12,14,13
10:16 PM ET,4,3,9,6,7,5,10,1,2,8,11,13,14,12
10:24 PM ET,5,3,9,4,10,6,8,2,1,7,11,13,13,12
