"Indexed Google search interest in all Eurovision song contest winners, all time (since 2004)",,,,,,,
Search interest has been indexed to 100 where 100 is the maximum search interest across all values by country,,,,,,,
Year,Country,Act,Australia,France,Germany,UK,Global
1956,Switzerland,Lys Assia,0,0,0,0,0
1957,Netherlands,Cory Brokken,0,0,0,0,0
1958,France,André Claveau,0,0,0,0,0
1959,Netherlands,Teddy Scholten,0,0,0,0,0
1960,France,Jacqueline Boyer,0,0,0,0,0
1961,Luxembourg,Jean-Claude Pascal,0,1,0,0,0
1962,France,Isabelle Aubret,0,4,0,0,1
1963,Denmark,Grethe and Jørgen Ingmann,0,0,0,0,0
1964,Italy,Gigliola Cinquetti,0,1,0,0,2
1965,Luxembourg,France Gall,1,35,4,1,7
1966,Austria,Udo Jürgens,0,0,47,0,7
1967,United Kingdom,Sandie Shaw,2,0,0,7,1
1968,Spain,Massiel,0,0,0,0,2
1969,United Kingdom,Lulu,0,0,0,13,2
1969,France,Frida Boccara,4,1,0,0,0
1969,Netherlands,Lenny Kuhr,0,0,0,0,0
1969,Spain,Salomé,0,0,0,0,0
1970,Ireland,Dana,0,0,0,1,0
1971,Monaco,Séverine,0,0,1,0,0
1972,Luxembourg,Vicky Leandros,0,1,10,1,2
1973,Luxembourg,Anne-Marie David,0,0,0,0,0
1974,Sweden,ABBA,100,18,50,100,61
1975,Netherlands,Teach-In,0,0,0,0,0
1976,United Kingdom,Brotherhood of Man,1,0,0,4,0
1977,France,Marie Myriam,0,2,0,0,0
1978,Israel,Izhar Cohen and the Alphabeta,0,0,0,0,0
1979,Israel,Gali Atari and Milk and Honey,0,0,0,0,0
1980 & 1987,Ireland,Johnny Logan,1,0,2,2,1
1981,United Kingdom,Bucks Fizz,3,0,0,14,1
1982,Germany,Nicole,0,0,9,0,1
1983,Luxembourg,Corinne Hermès,0,1,0,0,0
1984,Sweden,Herreys,0,0,0,0,0
1985,Norway,Bobbysocks!,0,0,0,0,0
1986,Belgium,Sandra Kim,0,0,0,0,0
1988,Switzerland,Céline Dion,86,100,23,86,100
1989,Yugoslavia,Riva,0,0,0,0,0
1990,Italy,Toto Cutugno,1,1,1,1,3
1991,Sweden,Carola,1,0,0,1,3
1992,Ireland,Linda Martin,0,0,0,1,0
1993,Ireland,Niamh Kavanagh,0,0,0,0,0
1994,Ireland,Paul Harrington and Charlie McGettigan,0,0,0,0,0
1995,Norway,Secret Garden,2,0,2,1,3
1996,Ireland,Eimear Quinn,0,0,0,0,0
1997,United Kingdom,Katrina and the Waves,1,0,0,3,1
1998,Israel,Dana International,0,0,0,1,1
1999,Sweden,Charlotte Nilsson,0,0,0,0,4
2000,Denmark,Olsen Brothers,0,0,1,0,0
2001,Estonia,"Tanel Padar, Dave Benton and 2XL",0,0,0,0,0
2002,Latvia,Marie N,0,0,0,0,0
2003,Turkey,Sertab Erener,0,0,2,1,12
2004,Ukraine,Ruslana,1,0,1,1,4
2005,Greece,Helena Paparizou,1,0,1,1,3
2006,Finland,Lordi,4,4,6,6,7
2007,Serbia,Marija Šerifović,1,0,1,0,2
2008,Russia,Dima Bilan,1,0,4,2,13
2009,Norway,Alexander Rybak,2,1,4,3,7
2010,Germany,Lena,2,1,100,4,17
2011,Azerbaijan,Ell & Nikki,0,0,0,0,0
2012,Sweden,Loreen,3,1,7,4,6
2013,Denmark,Emmelie de Forest,1,0,2,1,1
2014,Austria,Conchita Wurst,13,6,20,15,16
2015,Sweden,Måns Zelmerlöw,2,1,2,2,3
2016,Ukraine,Jamala,2,0,1,1,3
2017,Portugal,Salvador Sobral,0,0,1,1,2
