"Search interest in HIV/AIDS in 2016 by country. All values indexed to 100, where 100 is the max search interest.",,
country,search interest,rank
Swaziland,100,1
Lesotho,91,2
Equatorial Guinea,67,3
Somalia,65,4
Chad,65,5
Botswana,63,6
Zimbabwe,58,7
Namibia,57,8
Montserrat,56,9
Mozambique,56,10
Malawi,55,11
Burundi,53,12
Zambia,53,13
South Sudan,47,14
Central African Republic,45,15
Democratic Republic of the Congo,45,16
Djibouti,43,17
Papua New Guinea,43,18
Gabon,43,19
Togo,43,20
Guinea-Bissau,42,21
Comoros,40,22
South Africa,39,23
Liberia,39,24
Republic of the Congo,38,25
Burkina Faso,38,26
Eritrea,36,27
Cape Verde,35,28
Rwanda,34,29
Angola,34,30
Niger,34,31
Haiti,34,32
Uganda,33,33
Cameroon,32,34
Saint Vincent and the Grenadines,31,35
Dominica,31,36
São Tomé and Príncipe,31,37
Grenada,31,38
Antigua and Barbuda,29,39
Belize,28,40
Samoa,27,41
Timor-Leste,27,42
Kiribati,27,43
Federated States of Micronesia,26,44
Saint Kitts and Nevis,26,45
Ethiopia,26,46
Kenya,25,47
Åland Islands,25,48
Solomon Islands,25,49
Benin,24,50
British Virgin Islands,24,51
Côte d'Ivoire,23,52
Guyana,23,53
Bhutan,23,54
Cuba,23,55
Guinea,22,56
Sint Maarten,22,57
The Gambia,22,58
Vanuatu,22,59
The Bahamas,20,60
Nicaragua,20,61
Sierra Leone,19,62
Turks and Caicos Islands,19,63
Saint Lucia,18,64
Collectivity of Saint Martin,18,65
Anguilla,18,66
Mayotte,18,67
Tanzania,17,68
Bolivia,17,69
Mali,17,70
Senegal,17,71
Barbados,16,72
Cayman Islands,15,73
Palau,15,74
Palestine,15,75
Honduras,15,76
El Salvador,15,77
French Guiana,14,78
Ghana,14,79
Nigeria,14,80
Jamaica,14,81
Panama,14,82
Saint-Barthélemy,14,83
Trinidad and Tobago,14,84
U.S. Virgin Islands,13,85
Cook Islands,13,86
Iran,13,87
Curaçao,13,88
Paraguay,12,89
Mauritania,12,90
Guatemala,12,91
Madagascar,12,92
Seychelles,12,93
Fiji,12,94
Saint Pierre and Miquelon,11,95
Sudan,11,96
Dominican Republic,11,97
Bermuda,11,98
Sweden,10,99
Suriname,10,100
Guadeloupe,10,101
Mexico,9,102
Faroe Islands,9,103
Macau,9,104
Costa Rica,9,105
Libya,9,106
Albania,9,107
American Samoa,9,108
Peru,9,109
Nepal,8,110
Isle of Man,8,111
Oman,8,112
Marshall Islands,8,113
Martinique,8,114
Ecuador,8,115
Northern Mariana Islands,8,116
Gibraltar,8,117
French Polynesia,8,118
Andorra,7,119
Greenland,7,120
Aruba,7,121
Venezuela,7,122
Lebanon,7,123
Chile,7,124
Colombia,7,125
Mauritius,7,126
Myanmar (Burma),7,127
Kuwait,7,128
Puerto Rico,7,129
Afghanistan,7,130
Monaco,7,131
Bahrain,7,132
Guam,7,133
Guernsey,7,134
Philippines,6,135
Caribbean Netherlands,6,136
Maldives,6,137
Taiwan,6,138
Jersey,6,139
Reunion,6,140
Iceland,6,141
New Caledonia,6,142
Indonesia,6,143
Hong Kong,6,144
Argentina,6,145
Saint Helena Ascension and Tristan da Cunha,5,146
United States,5,147
Algeria,5,148
Cyprus,5,149
Syria,5,150
San Marino,5,151
Brunei,5,152
Brazil,5,153
Uruguay,5,154
United Arab Emirates,5,155
Luxembourg,5,156
Thailand,5,157
Saudi Arabia,5,158
China,5,159
Qatar,5,160
France,5,161
India,5,162
Sri Lanka,4,163
Australia,4,164
Laos,4,165
Jordan,4,166
Singapore,4,167
Malta,4,168
Tunisia,4,169
Switzerland,4,170
Canada,4,171
Macedonia (FYROM),4,172
Yemen,4,173
Malaysia,4,174
Portugal,4,175
Spain,4,176
Moldova,4,177
Morocco,4,178
Belgium,4,179
United Kingdom,4,180
South Korea,4,181
New Zealand,3,182
Israel,3,183
Ireland,3,184
Greece,3,185
Cambodia,3,186
Liechtenstein,3,187
Egypt,3,188
Kosovo,3,189
Turkmenistan,3,190
Pakistan,3,191
Netherlands,3,192
Norway,3,193
Montenegro,3,194
Germany,3,195
Austria,3,196
Italy,3,197
Bosnia and Herzegovina,2,198
Japan,2,199
Czech Republic,2,200
Serbia,2,201
Turkey,2,202
Denmark,2,203
Hungary,2,204
Bangladesh,2,205
Vietnam,2,206
Romania,2,207
Iraq,2,208
Kyrgyzstan,2,209
Ukraine,2,210
Croatia,2,211
Estonia,2,212
Slovenia,2,213
Slovakia,2,214
Uzbekistan,2,215
Lithuania,2,216
Latvia,2,217
Tajikistan,1,218
Finland,1,219
Poland,1,220
Georgia,1,221
Mongolia,1,222
Azerbaijan,1,223
Belarus,1,224
Russia,1,225
Kazakhstan,1,226
Armenia,1,227
Bulgaria,1,228
Norfolk Island,0,229
