"Les déguisements d'Halloween les plus recherchés en octobre 2018 par département en France // Top-searched Halloween costumes by region in October 2018 in France. Data set max value is 100, other values are indexed proportionally.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,FIRST,SECOND,THIRD,FOURTH,FIFTH,SIXTH,SEVENTH,EIGHTH,NINTH,TENTH,Alien (film),Ange,"Miraculous, les aventures de Ladybug et Chat Noir",ABBA,Adam et Eve,Aladdin,Alice aux pays des merveilles,La vie extraterrestre,Amélie,American Horror Story,American Nightmare (film),Ange dechu,Ange ou démon,Animal,Conjuring (film),Années 20,Années 50,Années 60,Années 70,Années 80,Années 90,Ariel,Asterix,Autruche,Avatar,Avengers,Banane,Bane,Barbie,Beetlejuice,Beyoncé,Black Swan,Blade Runner,Blanche Neige,Bollywood,Bonnie and Clyde,Breaking Bad,Canard,Captain Hook,Captain Phasma,Carnaval,Casa De Papel,Catwoman,Chaperon Rouge,Charleston,Charlie Chaplin,Chat,Chat Noir,Chauve-Souris,Chevalier,Cheval,Chewbacca,Chien,Chirurgien,Chucky,Citrouille,Cleopatre,Clown,Clown tueur,Coccinelle,Cochon,Coco,Cowboy,Crocodile,Cruella,Daredevil,Dark Maul,Dark Vador,Deadpool,Demon,Dessin animé,Dia de los muertos,Diable,Dinosaure,Disco,Disney,Doctor Who,Donald Trump,Dracula,Dragon,Dragon Ball Z,Écolière,Escargot,Ewok,Famille Addams,Fantôme,Fée Clochette,Forrest Gump,Fortnite,Freddy Krueger,Game of Thrones,Ghost Rider,Ghostbusters,Giraf,Gonflable,Grease,Groot,Han Solo,Harley Quinn,Harry Potter,Hermione Granger,Hippie,Hippopotame,Horreur,Hulk,Indiana Jones,Infirmière,Iron Man,It,Jack Sparrow,James Bond,Jason Voorhees,Jedi,Jelly Fish,Jigsaw,The Joker,Jungle,Kill Bill,Kingsman,La Belle Et La Bete,La Mode Gothique,Lady Gaga,Lapin,Lara Croft,Le Moyen Âge,Léopard,Leprechaun,Les Indestructibles,Licorne,Loup,Loup Garou,Madonna,Magic,Malefique,Manga,Marin,Mario Bros,Martha Stewart,Marvel,Mary Poppins,Mercredi Addams,Mère Noel,Mexicain,Michael Jackson,Michael Myers,Militaire,Minions,Minnie,Momie,Monster High,Monstre,Morticia Addams,Mousquetaire,Mulan,Ninja,Nonne,Oiseau,Padme Amidala,Panda,Panthère Noire,Pat Patrouille,Patinage Artistique,Peaky Blinders,Peter Pan,Pikachu,Pingouin,Pirate,Pocahontas,Pokemon,Policier,Pom Pom Girl,Pompier,Poule,Poupée maléfique,Power Ranger,Prêtre,Prince,Prince de Galles,Princesse,Princesse Jasmine,Princesse Leia,Prisonnier,Pyjamasque,Raiponce,Reine des Neiges,Requin,Robe de Mariée,Sailor Moon,Saw,Schtroumpf,Scooby Doo,Scream,Shrek,Sia,Simpson,Singe,Sirène,Sith,Slenderman,Sonic,Sorcier,Sorcière,Soubrette,Inquisition espagnole,Spiderman,Spock,Squelette,Star Wars,Steampunk,Stitch,Stormtrooper,Cinco de Mayo,Suicide Squad,Sumo,Super Hero,Superman,Teletubbies,Tim Burton,Crapaud,Tortue Ninja,Totally Spies,Transformers,Vache,Vaiana,Vampire,Venom,Versailles,Veterinarian,Veuve Noire,Viking,Voldemort,Walking Dead,Willy Wonka,Wolverine,Wonder Woman,Zombie,Zorro
Languedoc-Roussillon,Clown,Harley Quinn,Clown tueur,"Miraculous, les aventures de Ladybug et Chat Noir",Vampire,The Joker,Prince,Zombie,Fantôme,Carnaval,6,12,35,0,0,0,0,0,0,0,6,0,6,12,0,0,6,0,6,12,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,18,15,12,0,0,0,0,0,18,0,6,0,12,0,0,12,6,50,38,12,0,9,0,6,0,0,6,0,0,0,0,12,6,9,12,6,0,0,0,0,0,6,0,0,0,21,0,0,18,0,0,0,6,0,6,9,0,0,47,15,9,6,6,12,6,0,12,0,0,0,6,0,0,0,0,24,0,0,6,0,0,6,6,6,0,0,0,0,12,0,0,0,0,6,6,0,0,0,6,0,6,6,6,0,0,6,6,0,18,6,9,6,6,6,6,6,0,6,0,0,6,0,6,6,0,0,9,0,0,0,0,0,0,0,0,0,23,0,0,0,6,0,0,0,0,0,15,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,18,0,9,12,0,0,0,0,0,0,15,0,6,0,0,0,0,0,0,6,32,6,0,0,0,0,6,0,0,0,9,21,6
Limousin,Chien,Zombie,Pirate,Chauve-Souris,Teletubbies,Années 80,Harry Potter,Harry Potter,Harry Potter,Harry Potter,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,27,0,0,27,27,27,0,54,0,0,0,55,0,0,27,0,0,0,0,0,0,27,0,27,0,0,27,27,0,0,0,0,0,0,27,0,0,0,0,27,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,54,0,0,0,27,0,0,27,27,0,0,0,0,27,0,27,0,0,0,54,0
Lorraine,Zombie,Nonne,Clown,Vampire,Venom,Citrouille,Casa De Papel,Harry Potter,Morticia Addams,Mexicain,0,17,8,0,0,0,8,0,0,0,8,0,0,0,17,0,8,8,0,17,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,25,0,0,0,0,29,21,8,0,0,0,0,25,0,0,0,17,0,12,33,8,42,8,0,0,0,8,8,17,0,0,0,0,0,0,0,8,13,0,0,0,8,0,8,0,8,0,0,0,21,0,0,17,8,8,0,0,0,17,12,0,0,25,29,8,17,0,0,0,0,21,0,0,0,8,8,8,0,0,13,0,0,0,0,0,8,0,8,8,8,0,8,8,0,0,0,0,0,8,0,8,0,0,0,8,0,25,0,0,0,0,0,0,8,12,25,8,0,17,50,0,0,0,0,0,0,0,0,0,0,21,8,0,8,0,8,0,8,0,0,12,0,0,8,0,0,0,0,17,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,21,0,17,0,8,0,0,0,0,8,8,0,0,8,0,8,0,0,0,17,33,33,0,0,0,8,0,8,0,0,8,50,0
Midi-Pyrénées,Pirate,Clown,Harley Quinn,Citrouille,Années 80,Vampire,Spiderman,Mexicain,Casa De Papel,Casa De Papel,0,6,8,0,0,0,0,0,0,0,6,0,0,0,0,6,11,6,0,19,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,17,0,0,0,0,0,0,17,0,0,0,17,0,11,22,8,25,8,0,0,6,6,6,6,0,6,0,11,0,0,11,11,11,8,6,6,0,0,11,0,6,0,0,6,8,6,0,6,0,6,0,6,0,0,17,6,0,25,11,11,6,0,6,6,0,0,6,0,0,0,6,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,6,17,0,0,0,6,8,0,6,17,0,0,0,0,6,0,6,0,0,8,0,0,0,6,6,31,0,17,11,0,6,0,11,6,0,6,0,0,6,0,0,0,0,6,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,19,0,17,6,0,6,0,0,0,11,8,6,0,0,0,6,0,0,0,8,19,6,0,0,0,6,0,0,0,0,11,14,0
Nord-Pas-de-Calais,Clown,Vampire,Spiderman,Harley Quinn,Zombie,Clown tueur,Citrouille,Chucky,Pirate,Prince,0,6,19,0,0,4,0,4,0,0,4,0,0,8,0,4,4,8,4,17,0,4,4,0,0,0,4,0,13,0,0,4,0,0,0,8,0,4,0,0,15,21,10,4,8,0,8,10,8,0,8,4,8,0,23,23,6,59,25,4,0,6,8,4,13,4,4,4,8,13,0,8,8,10,8,0,0,0,0,0,0,10,0,0,0,10,4,0,10,0,8,0,8,0,8,6,0,0,29,17,4,4,0,10,4,0,15,0,4,0,0,0,0,0,4,21,0,0,0,0,4,4,13,4,8,4,0,4,6,0,0,0,0,8,8,0,4,0,13,0,0,0,15,4,8,4,4,6,4,0,6,0,0,4,4,15,0,0,4,0,4,0,4,4,13,0,23,0,0,17,0,8,0,15,8,0,23,0,0,8,4,0,0,0,17,4,6,0,0,0,4,0,4,0,8,0,0,0,0,0,0,4,13,0,29,0,15,13,8,4,0,0,0,4,19,0,0,0,0,4,0,0,0,0,31,8,0,0,4,8,4,4,0,0,8,25,0
Lower Normandy,Fortnite,Horreur,Spiderman,Poupée maléfique,Dia de los muertos,Harry Potter,Mexicain,Clown,Clown,The Joker,0,0,13,13,0,0,0,0,0,13,0,0,0,20,0,0,0,0,13,26,0,0,0,0,0,0,0,0,0,13,0,0,0,0,26,0,0,0,0,0,13,20,13,0,13,0,13,0,26,0,13,0,20,0,0,13,0,26,13,0,0,0,0,0,0,0,0,0,13,13,0,26,0,0,13,0,0,0,0,0,0,0,0,13,0,0,0,0,39,13,13,0,0,0,0,13,0,0,26,26,0,13,0,39,0,0,0,0,0,13,0,0,0,0,13,26,0,13,0,0,0,0,0,0,13,0,0,13,13,0,0,0,0,0,13,13,0,0,0,0,0,0,26,0,0,0,13,13,0,0,13,0,0,0,13,13,0,0,13,0,0,0,0,0,0,0,26,0,0,0,0,0,0,33,13,0,13,0,0,0,0,0,13,0,13,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,39,0,20,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,20,0
Upper Normandy,Harley Quinn,Années 80,"Miraculous, les aventures de Ladybug et Chat Noir",Citrouille,Prêtre,Hermione Granger,Animal,Le Moyen Âge,The Joker,Clown,0,10,41,0,0,10,10,21,0,0,0,0,0,31,0,10,0,0,0,46,15,0,0,0,0,0,0,0,0,10,0,10,0,0,0,10,0,0,0,0,10,10,0,0,10,0,10,10,10,0,0,10,21,0,15,31,0,26,21,0,0,0,10,0,0,0,0,0,0,10,0,21,10,0,10,10,0,0,0,10,0,21,0,0,0,10,10,0,21,0,10,0,0,0,0,0,0,0,46,21,31,10,0,0,0,0,10,0,0,0,0,0,0,0,0,26,0,0,10,0,0,0,10,10,26,10,0,10,21,0,0,0,0,0,0,10,0,0,0,10,0,0,10,10,0,0,0,10,10,0,0,10,0,0,0,10,0,0,15,0,10,0,0,0,10,0,15,0,10,10,0,21,0,0,15,31,10,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,21,10,0,10,0,0,0,10,21,0,0,10,0,10,0,0,10,10,10,0,0,0,0,10,0,0,0,0,10,15,10
Pays de la Loire,Spiderman,Mexicain,Clown,Harley Quinn,Pirate,Pirate,Casa De Papel,Prince,Dia de los muertos,Vampire,0,9,9,5,0,0,0,5,0,0,0,0,0,7,0,5,7,9,9,12,7,0,0,0,5,0,0,0,0,0,0,5,0,0,5,0,5,5,0,0,9,18,5,14,7,5,7,0,12,0,5,0,5,0,5,12,0,21,7,0,5,5,9,5,5,0,0,0,0,5,0,14,9,12,7,0,0,0,5,0,0,5,0,0,0,0,5,0,5,7,5,0,0,0,5,9,5,0,19,12,0,5,0,0,5,0,9,5,0,0,5,0,5,0,0,9,0,0,0,0,0,0,5,5,7,5,0,0,9,0,0,0,0,0,0,9,5,0,0,0,5,0,23,5,7,0,9,9,0,5,9,7,5,0,0,7,0,5,0,0,5,0,0,0,5,0,19,0,5,5,0,19,0,5,9,5,14,0,0,0,5,5,0,0,7,0,9,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,32,0,12,9,0,0,0,0,0,0,9,5,5,0,0,0,5,0,0,5,14,0,0,0,0,5,5,5,0,0,5,9,5
Picardy,Vampire,Clown,Citrouille,Pirate,Chat Noir,Squelette,Zombie,Clown tueur,Clown tueur,Super Hero,0,10,10,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,10,0,0,10,10,0,0,10,0,0,0,10,0,30,0,0,0,10,0,0,0,0,0,25,0,10,10,0,10,31,20,0,25,0,10,0,20,35,10,50,30,0,0,10,0,0,0,0,0,0,0,10,0,20,10,10,10,20,0,0,0,10,0,10,0,0,0,10,0,0,30,10,0,0,0,0,0,10,0,0,20,15,10,0,0,20,10,0,10,0,0,0,0,10,10,0,0,20,0,0,0,0,0,0,0,10,10,0,0,0,15,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,0,10,0,10,10,10,10,0,10,20,10,0,0,0,20,0,0,0,0,0,35,0,0,10,0,10,0,10,0,0,10,0,0,0,0,0,20,0,25,10,10,0,0,0,0,0,10,0,10,0,0,0,10,0,0,10,0,0,15,0,30,20,10,10,0,0,0,0,30,10,10,0,0,0,0,0,10,0,51,10,0,10,0,0,0,10,0,0,20,30,0
Poitou-Charentes,Années 80,Spiderman,Prince,The Joker,Harley Quinn,Horreur,Ange,Dinosaure,Dinosaure,Vampire,0,20,20,0,0,0,0,10,0,0,10,0,0,10,0,0,10,10,10,31,10,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,10,0,0,10,0,0,0,0,0,0,0,0,10,0,10,0,0,15,10,20,10,0,0,20,0,0,0,0,0,0,20,0,0,20,0,20,20,0,0,10,0,0,0,0,0,0,0,15,0,0,10,0,0,0,0,0,0,0,0,0,25,10,0,10,0,21,10,0,10,10,0,0,15,10,0,0,0,30,0,0,0,0,0,0,10,0,10,0,0,10,15,0,0,0,0,0,0,0,10,0,10,0,0,10,20,0,10,0,0,10,0,10,0,10,0,0,0,10,10,0,0,0,10,0,0,20,0,0,20,0,0,0,0,20,0,0,10,10,30,0,0,10,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,31,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,10,0,10,20,0,0,0,0,0,0,0,10,0,10,10,0
Provence-Alpes-Côte d'Azur,Vampire,Pirate,Clown,Zombie,Harley Quinn,Casa De Papel,Spiderman,Horreur,Chauve-Souris,Fortnite,3,10,7,0,0,0,3,3,0,3,11,0,0,7,0,3,3,3,3,11,0,3,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,7,18,8,0,3,0,3,0,16,0,8,3,16,0,3,15,7,24,8,3,0,5,3,3,0,0,0,3,5,7,0,8,5,7,8,0,0,0,0,3,3,3,0,0,0,16,0,0,16,3,3,0,0,0,3,6,0,0,20,15,16,3,0,16,6,3,11,5,3,0,5,7,6,0,3,15,3,0,0,0,0,3,3,3,13,0,0,0,7,0,0,3,0,3,5,0,0,0,3,0,3,3,5,0,3,0,6,7,5,0,6,3,0,0,3,8,0,0,5,0,0,0,3,0,3,0,26,0,3,0,0,3,0,10,3,3,15,0,0,3,0,3,3,0,7,0,5,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,18,0,15,8,0,3,3,0,0,6,11,6,0,3,0,3,7,3,0,5,33,8,3,0,0,3,0,6,3,0,5,21,3
Rhone-Alpes,Casa De Papel,Harley Quinn,Citrouille,Clown,Harry Potter,Vampire,Prince,Squelette,The Joker,Cheval,2,7,14,2,0,2,0,0,0,3,6,0,0,4,2,8,3,0,4,11,9,0,0,0,2,2,4,0,2,4,2,6,0,2,2,2,0,2,0,0,8,35,5,2,2,0,2,6,14,0,15,0,11,0,3,23,2,21,9,0,0,2,4,0,3,0,2,2,8,3,0,10,9,4,5,2,0,0,0,4,2,3,0,0,0,7,5,2,12,0,0,0,4,0,4,5,2,0,23,19,5,7,0,5,2,0,11,0,0,2,2,0,2,0,2,16,0,0,0,0,0,0,11,2,12,0,0,5,7,0,0,4,2,0,3,2,0,0,5,0,0,0,8,0,4,0,3,2,4,2,5,2,2,0,5,10,2,0,0,0,7,0,2,0,3,0,12,0,4,2,0,7,0,9,4,4,17,0,0,0,0,2,4,4,5,0,2,0,0,0,0,0,0,2,2,4,0,0,0,0,0,2,2,0,15,0,17,4,0,2,0,0,0,2,12,2,2,2,0,4,2,2,2,7,18,2,2,0,0,2,4,0,0,2,4,15,0
