Most searched and second most searched Republican candidates leading up to 3rd GOP Debate,,,
"All results based on US search interest, 9/17-10/23/15",,,
1st_LastDebate is the most searched candidate leading up to the 9/16 debate,,,
FIPS Code,1st,2nd,1st_LastDebate
16075,Donald Trump,Ben Carson,Donald Trump
16079,Donald Trump,Rand Paul,Bobby Jindal
16081,Donald Trump,Ben Carson,Donald Trump
16083,Donald Trump,Ben Carson,Donald Trump
16085,Donald Trump,No data,No data
16087,Donald Trump,Jeb Bush,Donald Trump
17001,Donald Trump,Ted Cruz,Donald Trump
17003,Jeb Bush,Donald Trump,Rand Paul
17005,Donald Trump,Ben Carson,Donald Trump
17007,Donald Trump,Carly Fiorina,Donald Trump
17009,Donald Trump,Rand Paul,Donald Trump
17011,Donald Trump,Ben Carson,Ben Carson
17013,Donald Trump,Carly Fiorina,Ted Cruz
17015,Donald Trump,Bobby Jindal,Mike Huckabee
17017,Donald Trump,Ted Cruz,Donald Trump
17019,Donald Trump,Rick Santorum,Donald Trump
17021,Donald Trump,Ben Carson,Donald Trump
17023,Donald Trump,Carly Fiorina,Rand Paul
17025,Donald Trump,Ben Carson,Donald Trump
17027,Carly Fiorina,Donald Trump,Donald Trump
17029,Donald Trump,Ben Carson,Donald Trump
17031,Donald Trump,Carly Fiorina,Donald Trump
17033,Donald Trump,Jeb Bush,Donald Trump
17035,Donald Trump,Marco Rubio,Donald Trump
17037,Donald Trump,Ben Carson,Donald Trump
17039,Donald Trump,Carly Fiorina,Donald Trump
17041,Donald Trump,Jeb Bush,Donald Trump
17043,Donald Trump,Ben Carson,Donald Trump
17045,Ben Carson,Rand Paul,Donald Trump
17047,Donald Trump,Ben Carson,Carly Fiorina
17049,Donald Trump,Ben Carson,Donald Trump
17051,Jeb Bush,Ben Carson,Ted Cruz
17053,Ben Carson,Donald Trump,Ben Carson
17055,Ben Carson,Donald Trump,Donald Trump
17057,Donald Trump,Ben Carson,Donald Trump
17059,Donald Trump,Rand Paul,No data
17061,Donald Trump,Ben Carson,Donald Trump
17063,Donald Trump,Ben Carson,Donald Trump
17065,Donald Trump,Ben Carson,Donald Trump
17067,Donald Trump,Ted Cruz,Donald Trump
17069,Ben Carson,Donald Trump,Donald Trump
17071,Donald Trump,Ted Cruz,Donald Trump
17073,Donald Trump,Carly Fiorina,Donald Trump
17075,Donald Trump,Marco Rubio,Ben Carson
17077,Donald Trump,Ben Carson,Donald Trump
17079,Ben Carson,Donald Trump,Donald Trump
17081,Donald Trump,Ben Carson,Donald Trump
17083,Donald Trump,Marco Rubio,Donald Trump
17085,Donald Trump,Carly Fiorina,Donald Trump
17087,Donald Trump,Ben Carson,Donald Trump
17089,Donald Trump,Ben Carson,Donald Trump
17091,Donald Trump,Ben Carson,Donald Trump
17093,Donald Trump,Ben Carson,Donald Trump
17095,Donald Trump,Marco Rubio,Donald Trump
17097,Donald Trump,Carly Fiorina,Donald Trump
17099,Donald Trump,Ben Carson,Donald Trump
17101,Donald Trump,Ben Carson,Donald Trump
17103,Donald Trump,Ben Carson,Donald Trump
17105,Donald Trump,Marco Rubio,Donald Trump
17107,Ben Carson,Donald Trump,Donald Trump
17109,Donald Trump,Ben Carson,Donald Trump
17111,Donald Trump,Jeb Bush,Donald Trump
17113,Donald Trump,Ben Carson,Donald Trump
17115,Donald Trump,Rand Paul,Donald Trump
17117,Donald Trump,Carly Fiorina,Donald Trump
17119,Donald Trump,Ben Carson,John Kasich
17121,Donald Trump,Carly Fiorina,Donald Trump
17123,Ben Carson,Donald Trump,Rand Paul
17125,Donald Trump,Ben Carson,Donald Trump
17127,Ben Carson,Donald Trump,Donald Trump
17129,Donald Trump,Ted Cruz,Ted Cruz
17131,Donald Trump,Ben Carson,Donald Trump
17133,Donald Trump,Ben Carson,Donald Trump
17135,Carly Fiorina,Marco Rubio,Carly Fiorina
17137,Donald Trump,Ben Carson,Donald Trump
17139,Donald Trump,Ben Carson,Ben Carson
17141,Donald Trump,Carly Fiorina,Donald Trump
17143,Donald Trump,Ben Carson,Donald Trump
17145,Donald Trump,Ben Carson,Donald Trump
17147,Carly Fiorina,Donald Trump,Donald Trump
17149,Ben Carson,Donald Trump,Mike Huckabee
17151,Donald Trump,No data,Donald Trump
17153,Donald Trump,Ben Carson,Donald Trump
17155,Donald Trump,Ted Cruz,Donald Trump
17157,Donald Trump,Ben Carson,Donald Trump
17159,Donald Trump,Ted Cruz,Ben Carson
17161,Ben Carson,Donald Trump,Donald Trump
17163,Donald Trump,Carly Fiorina,Donald Trump
17165,Donald Trump,Carly Fiorina,Ben Carson
17167,Carly Fiorina,Donald Trump,Donald Trump
17169,Donald Trump,Carly Fiorina,Donald Trump
17171,Mike Huckabee,Donald Trump,Donald Trump
17173,Donald Trump,Carly Fiorina,Donald Trump
17175,Donald Trump,Lindsey Graham,Donald Trump
17177,Donald Trump,Ben Carson,Donald Trump
17179,Donald Trump,Ben Carson,Donald Trump
17181,Donald Trump,Marco Rubio,Donald Trump
17183,Donald Trump,Marco Rubio,Donald Trump
17185,Donald Trump,Ben Carson,Donald Trump
17187,Donald Trump,Carly Fiorina,Donald Trump
17189,Lindsey Graham,Ben Carson,Donald Trump
17191,Ben Carson,Donald Trump,Donald Trump
17193,Ben Carson,Donald Trump,Rand Paul
17195,Carly Fiorina,Jeb Bush,Donald Trump
17197,Donald Trump,Ben Carson,Donald Trump
17199,Donald Trump,Jeb Bush,Ted Cruz
17201,Donald Trump,Ben Carson,Donald Trump
17203,Donald Trump,Carly Fiorina,Donald Trump
18001,Donald Trump,Ben Carson,Donald Trump
18003,Donald Trump,Ben Carson,Donald Trump
18005,Donald Trump,Ben Carson,Donald Trump
18007,Donald Trump,Ben Carson,Donald Trump
18009,Donald Trump,Ben Carson,Donald Trump
18011,Donald Trump,Ben Carson,Donald Trump
18013,Donald Trump,Ben Carson,Donald Trump
18015,Donald Trump,Ben Carson,Ben Carson
18017,Ben Carson,Donald Trump,Donald Trump
18019,Donald Trump,Ben Carson,Donald Trump
18021,Donald Trump,Ben Carson,Donald Trump
18023,Donald Trump,Ben Carson,Donald Trump
18025,Donald Trump,Ben Carson,Scott Walker
18027,Donald Trump,Ben Carson,Donald Trump
18029,Donald Trump,Ben Carson,Donald Trump
18031,Carly Fiorina,Donald Trump,Donald Trump
18033,Donald Trump,Ben Carson,Donald Trump
18035,Donald Trump,Chris Christie,Donald Trump
18037,Donald Trump,Jeb Bush,Marco Rubio
18039,Donald Trump,Ben Carson,Donald Trump
18041,Donald Trump,Ben Carson,Donald Trump
18043,Donald Trump,Ben Carson,Donald Trump
18045,Donald Trump,Ben Carson,Ben Carson
18047,Donald Trump,Ben Carson,Donald Trump
18049,Donald Trump,Ben Carson,Donald Trump
18051,Donald Trump,Marco Rubio,Donald Trump
18053,Donald Trump,Ben Carson,Donald Trump
18055,Ted Cruz,Donald Trump,Carly Fiorina
18057,Donald Trump,Ben Carson,Donald Trump
18059,Donald Trump,Ben Carson,Donald Trump
18061,Donald Trump,Ben Carson,Donald Trump
18063,Donald Trump,Ben Carson,Donald Trump
18065,Donald Trump,Ben Carson,Donald Trump
18067,Donald Trump,Ben Carson,Donald Trump
18069,Donald Trump,Carly Fiorina,Donald Trump
18071,Donald Trump,Carly Fiorina,Donald Trump
18073,Donald Trump,Ben Carson,Donald Trump
18075,Ben Carson,Donald Trump,Ben Carson
18077,Donald Trump,Marco Rubio,Donald Trump
18079,Donald Trump,Ben Carson,Donald Trump
18081,Donald Trump,Ben Carson,Donald Trump
18083,Donald Trump,Ben Carson,Donald Trump
18085,Ben Carson,Donald Trump,Donald Trump
18087,Donald Trump,Ben Carson,Donald Trump
18089,Donald Trump,Carly Fiorina,Donald Trump
18091,Donald Trump,Ben Carson,Jeb Bush
18093,Donald Trump,Carly Fiorina,Donald Trump
18095,Donald Trump,Ben Carson,Donald Trump
18097,Donald Trump,Ben Carson,Donald Trump
18099,Donald Trump,Ben Carson,Donald Trump
18101,Donald Trump,Ben Carson,Donald Trump
18103,Donald Trump,Ben Carson,Donald Trump
18105,Donald Trump,Ben Carson,Donald Trump
18107,Donald Trump,Marco Rubio,Donald Trump
18109,Ben Carson,Donald Trump,Donald Trump
18111,Donald Trump,Marco Rubio,Jeb Bush
18113,Donald Trump,Ben Carson,Donald Trump
18115,Ben Carson,Donald Trump,Donald Trump
18117,Ben Carson,Donald Trump,Donald Trump
18119,Donald Trump,Carly Fiorina,Donald Trump
18121,Donald Trump,Ben Carson,Donald Trump
18123,Jeb Bush,No data,No data
18125,Donald Trump,Marco Rubio,Donald Trump
18127,Donald Trump,Carly Fiorina,Donald Trump
18129,Donald Trump,Ben Carson,Ben Carson
18131,Donald Trump,Ben Carson,Donald Trump
18133,Donald Trump,Carly Fiorina,Donald Trump
18135,Donald Trump,Ben Carson,Donald Trump
18137,Donald Trump,Carly Fiorina,Donald Trump
18139,Donald Trump,Ben Carson,Donald Trump
18141,Donald Trump,Ben Carson,Donald Trump
18143,Donald Trump,Carly Fiorina,Donald Trump
18145,Donald Trump,Carly Fiorina,Donald Trump
18147,Donald Trump,Ben Carson,Donald Trump
18149,Donald Trump,Ben Carson,Donald Trump
18151,Carly Fiorina,Donald Trump,Marco Rubio
18153,Donald Trump,Ben Carson,Donald Trump
18155,Donald Trump,Ben Carson,John Kasich
18157,Carly Fiorina,Donald Trump,Ben Carson
18159,Donald Trump,Ben Carson,Donald Trump
18161,Donald Trump,Ted Cruz,Donald Trump
18163,Rand Paul,Donald Trump,Donald Trump
18165,Ben Carson,Donald Trump,Donald Trump
18167,Donald Trump,Carly Fiorina,Donald Trump
18169,Donald Trump,Ben Carson,Donald Trump
18171,Donald Trump,Marco Rubio,Rick Santorum
18173,Ben Carson,Donald Trump,Donald Trump
18175,Donald Trump,Ben Carson,Donald Trump
18177,Donald Trump,Ben Carson,Donald Trump
18179,Donald Trump,Carly Fiorina,Donald Trump
18181,Donald Trump,Carly Fiorina,Donald Trump
18183,Donald Trump,Ben Carson,Donald Trump
19001,Donald Trump,Ben Carson,Donald Trump
19003,Donald Trump,Mike Huckabee,Donald Trump
19005,Donald Trump,Jeb Bush,Donald Trump
19007,Donald Trump,Ben Carson,Donald Trump
19009,Donald Trump,Ted Cruz,Donald Trump
19011,Donald Trump,Jeb Bush,Donald Trump
19013,Donald Trump,Carly Fiorina,Donald Trump
19015,Donald Trump,Ben Carson,Donald Trump
19017,Donald Trump,Ben Carson,Donald Trump
19019,Donald Trump,Bobby Jindal,Ben Carson
19021,Donald Trump,Ben Carson,Rick Santorum
19023,Donald Trump,Ben Carson,Rand Paul
19025,Donald Trump,Bobby Jindal,Donald Trump
19027,Donald Trump,Jeb Bush,Donald Trump
19029,Donald Trump,Ben Carson,Donald Trump
19031,Donald Trump,Ted Cruz,Donald Trump
19033,Donald Trump,Carly Fiorina,Ben Carson
19035,Donald Trump,Carly Fiorina,Donald Trump
19037,Donald Trump,Carly Fiorina,Donald Trump
19039,Donald Trump,Ben Carson,Donald Trump
19041,Lindsey Graham,Donald Trump,Donald Trump
19043,Donald Trump,Ben Carson,Donald Trump
19045,Donald Trump,Carly Fiorina,Donald Trump
19047,Donald Trump,Carly Fiorina,Donald Trump
19049,Donald Trump,Carly Fiorina,Donald Trump
19051,Donald Trump,Carly Fiorina,Donald Trump
19053,Donald Trump,Ben Carson,Donald Trump
19055,Donald Trump,Jeb Bush,Donald Trump
19057,Donald Trump,Ted Cruz,Donald Trump
19059,Donald Trump,Ben Carson,Donald Trump
19061,Donald Trump,Carly Fiorina,Donald Trump
19063,Donald Trump,Ben Carson,Donald Trump
19065,Donald Trump,Marco Rubio,Donald Trump
19067,Donald Trump,Carly Fiorina,Donald Trump
19069,Donald Trump,Jeb Bush,Donald Trump
19071,Donald Trump,Carly Fiorina,Donald Trump
19073,Donald Trump,Marco Rubio,Chris Christie
19075,Donald Trump,Ben Carson,Donald Trump
19077,Ben Carson,Donald Trump,Ben Carson
19079,Donald Trump,Bobby Jindal,Donald Trump
19081,Donald Trump,Ted Cruz,Carly Fiorina
19083,Donald Trump,Chris Christie,Donald Trump
19085,Donald Trump,Carly Fiorina,Bobby Jindal
19087,Ted Cruz,Donald Trump,Ben Carson
19089,Donald Trump,Marco Rubio,Donald Trump
19091,Bobby Jindal,Donald Trump,Donald Trump
19093,Donald Trump,Marco Rubio,Donald Trump
19095,Donald Trump,Ted Cruz,Donald Trump
19097,Donald Trump,Carly Fiorina,Donald Trump
19099,Carly Fiorina,Donald Trump,Carly Fiorina
19101,Donald Trump,Jeb Bush,Donald Trump
19103,Donald Trump,Carly Fiorina,Donald Trump
19105,Donald Trump,Ben Carson,Donald Trump
19107,Rick Santorum,Ben Carson,Ted Cruz
19109,Donald Trump,Ben Carson,Donald Trump
19111,Donald Trump,Ben Carson,Mike Huckabee
19113,Donald Trump,Ben Carson,Donald Trump
19115,Donald Trump,Ben Carson,Donald Trump
19117,Donald Trump,Bobby Jindal,Donald Trump
19119,Donald Trump,Ben Carson,Donald Trump
19121,Donald Trump,Ben Carson,Donald Trump
19123,Donald Trump,Bobby Jindal,Ben Carson
19125,Donald Trump,Ben Carson,Donald Trump
19127,Donald Trump,Chris Christie,Donald Trump
19129,Donald Trump,Marco Rubio,Donald Trump
19131,Donald Trump,Rand Paul,Donald Trump
19133,Donald Trump,Carly Fiorina,Donald Trump
19135,Donald Trump,Ben Carson,Donald Trump
19137,Marco Rubio,Donald Trump,Donald Trump
19139,Donald Trump,Ben Carson,Donald Trump
19141,Donald Trump,Ben Carson,Donald Trump
19143,Donald Trump,Ben Carson,Jeb Bush
19145,Donald Trump,Ben Carson,Chris Christie
19147,Donald Trump,Marco Rubio,Donald Trump
19149,Donald Trump,Jeb Bush,Donald Trump
19151,Donald Trump,Ted Cruz,Donald Trump
19153,Donald Trump,Ben Carson,Donald Trump
19155,Donald Trump,Ben Carson,Donald Trump
19157,Donald Trump,Ben Carson,Donald Trump
19159,Donald Trump,Ben Carson,Donald Trump
19161,Donald Trump,Ben Carson,Donald Trump
19163,Donald Trump,Carly Fiorina,Donald Trump
19165,Ted Cruz,Donald Trump,Donald Trump
19167,Donald Trump,Ben Carson,Donald Trump
19169,Donald Trump,Ben Carson,Donald Trump
19171,Donald Trump,Carly Fiorina,Donald Trump
19173,Donald Trump,Ben Carson,Donald Trump
19175,Donald Trump,Rand Paul,Donald Trump
19177,Donald Trump,Rand Paul,Donald Trump
19179,Ben Carson,Bobby Jindal,Ben Carson
19181,Donald Trump,Carly Fiorina,Donald Trump
19183,Donald Trump,Ted Cruz,Donald Trump
19185,Donald Trump,Ben Carson,Donald Trump
19187,Donald Trump,Bobby Jindal,Donald Trump
19189,Donald Trump,Ben Carson,Donald Trump
19191,Donald Trump,Carly Fiorina,Donald Trump
19193,Donald Trump,Carly Fiorina,Donald Trump
19195,Donald Trump,Jeb Bush,Donald Trump
19197,Donald Trump,Jeb Bush,Donald Trump
20001,Donald Trump,Ben Carson,Mike Huckabee
20003,Donald Trump,Ben Carson,Donald Trump
20005,Donald Trump,Ben Carson,Donald Trump
20007,Ben Carson,Donald Trump,Ben Carson
20009,Donald Trump,Ben Carson,Donald Trump
20011,Carly Fiorina,Donald Trump,Donald Trump
20013,Donald Trump,Ben Carson,Donald Trump
20015,Ted Cruz,Donald Trump,Donald Trump
20017,Donald Trump,No data,No data
20019,Ben Carson,Donald Trump,Donald Trump
20021,Donald Trump,Ben Carson,Donald Trump
20023,Carly Fiorina,Donald Trump,No data
20025,Carly Fiorina,Ben Carson,Ben Carson
20027,Donald Trump,Ben Carson,Donald Trump
20029,Carly Fiorina,Donald Trump,Donald Trump
20031,Ben Carson,Donald Trump,Donald Trump
20033,Donald Trump,Ben Carson,Chris Christie
20035,Carly Fiorina,Donald Trump,Donald Trump
20037,Donald Trump,Ben Carson,Donald Trump
20039,Donald Trump,Ben Carson,Donald Trump
20041,Donald Trump,Carly Fiorina,Donald Trump
20043,Ben Carson,Carly Fiorina,Ben Carson
20045,Donald Trump,Ben Carson,Donald Trump
20047,Donald Trump,No data,No data
20049,Donald Trump,Jeb Bush,Donald Trump
20051,Donald Trump,Ben Carson,Donald Trump
20053,Donald Trump,Bobby Jindal,Donald Trump
20055,Donald Trump,Carly Fiorina,Donald Trump
20057,Donald Trump,Rand Paul,Mike Huckabee
20059,Donald Trump,Marco Rubio,Marco Rubio
20061,Donald Trump,Ben Carson,Donald Trump
20063,Ben Carson,No data,No data
20065,Donald Trump,Carly Fiorina,Rand Paul
20067,Donald Trump,Ben Carson,Donald Trump
20069,Donald Trump,Ben Carson,Donald Trump
20071,Donald Trump,Carly Fiorina,Donald Trump
20073,Donald Trump,Jeb Bush,Donald Trump
20075,Donald Trump,Ben Carson,Donald Trump
20077,Carly Fiorina,Donald Trump,Donald Trump
20079,Donald Trump,Rand Paul,Donald Trump
20081,Donald Trump,Jeb Bush,Donald Trump
20083,Ben Carson,Ted Cruz,Donald Trump
20085,Donald Trump,Ben Carson,Ben Carson
20087,Donald Trump,Ben Carson,Donald Trump
20089,Donald Trump,Carly Fiorina,Donald Trump
20091,Donald Trump,Ben Carson,Donald Trump
20093,Donald Trump,Rand Paul,Donald Trump
20095,Ben Carson,Donald Trump,Donald Trump
20097,Donald Trump,Ben Carson,Donald Trump
20099,Ben Carson,Donald Trump,Donald Trump
20101,Donald Trump,No data,Donald Trump
20103,Donald Trump,Ben Carson,Donald Trump
20105,Donald Trump,Rand Paul,Mike Huckabee
20107,Donald Trump,Ben Carson,Donald Trump
20109,Donald Trump,Marco Rubio,Donald Trump
20111,Donald Trump,Chris Christie,Donald Trump
20113,Donald Trump,Ben Carson,Donald Trump
20115,Donald Trump,Chris Christie,Donald Trump
20117,Donald Trump,Carly Fiorina,Chris Christie
20119,Carly Fiorina,Donald Trump,Donald Trump
20121,Donald Trump,Ben Carson,Donald Trump
20123,Donald Trump,Ben Carson,Donald Trump
20125,Donald Trump,Ben Carson,Donald Trump
20127,Donald Trump,Carly Fiorina,Donald Trump
20129,Rand Paul,Ted Cruz,Donald Trump
20131,Donald Trump,Ben Carson,Donald Trump
20133,Donald Trump,Ben Carson,Donald Trump
20135,Donald Trump,No data,Marco Rubio
20137,Donald Trump,Carly Fiorina,Donald Trump
20139,Donald Trump,Marco Rubio,Donald Trump
20141,Ben Carson,Ted Cruz,Donald Trump
20143,Donald Trump,Carly Fiorina,Donald Trump
20145,Donald Trump,Jeb Bush,No data
20147,Donald Trump,Carly Fiorina,Scott Walker
20149,Donald Trump,Ben Carson,Donald Trump
20151,Donald Trump,Carly Fiorina,Donald Trump
20153,Ben Carson,Chris Christie,Donald Trump
20155,Carly Fiorina,Donald Trump,Donald Trump
20157,Ben Carson,Carly Fiorina,Donald Trump
20159,Donald Trump,Carly Fiorina,Donald Trump
20161,Donald Trump,Ben Carson,Donald Trump
20163,Ben Carson,No data,Ben Carson
20165,Donald Trump,No data,No data
20167,Donald Trump,Marco Rubio,Donald Trump
20171,Donald Trump,Ben Carson,Donald Trump
20173,Donald Trump,Ben Carson,Donald Trump
20175,Donald Trump,Ben Carson,Donald Trump
20177,Donald Trump,Jeb Bush,Donald Trump
20179,Ben Carson,Carly Fiorina,No data
20181,Donald Trump,Carly Fiorina,Donald Trump
20183,Mike Huckabee,No data,Ted Cruz
20185,Jeb Bush,Donald Trump,No data
20187,Donald Trump,Ben Carson,Donald Trump
20191,Donald Trump,Ted Cruz,Donald Trump
20193,Donald Trump,Ben Carson,Donald Trump
20197,Donald Trump,John Kasich,Donald Trump
20199,Donald Trump,Marco Rubio,Donald Trump
20201,Donald Trump,Ben Carson,Ted Cruz
20203,Donald Trump,Ted Cruz,Donald Trump
20205,Donald Trump,Ben Carson,Donald Trump
20207,Donald Trump,Carly Fiorina,No data
20209,Donald Trump,Ben Carson,Donald Trump
21001,Donald Trump,Ben Carson,Donald Trump
21003,Donald Trump,Ben Carson,Donald Trump
21005,Donald Trump,Ben Carson,Donald Trump
21007,Donald Trump,Ben Carson,Donald Trump
21009,Donald Trump,Ben Carson,Donald Trump
21011,Ben Carson,Donald Trump,Ben Carson
21013,Donald Trump,Ted Cruz,Donald Trump
21015,Donald Trump,Ben Carson,Donald Trump
21017,Donald Trump,Ben Carson,Donald Trump
21019,Donald Trump,Ben Carson,Donald Trump
21021,Ben Carson,Donald Trump,Ben Carson
21023,Ted Cruz,Donald Trump,Donald Trump
21025,Donald Trump,Carly Fiorina,Donald Trump
21027,Donald Trump,Rand Paul,Donald Trump
21029,Donald Trump,Jeb Bush,Donald Trump
21031,Donald Trump,Jeb Bush,Donald Trump
21033,Donald Trump,Carly Fiorina,Donald Trump
21035,Donald Trump,Ben Carson,Donald Trump
21037,Donald Trump,Ben Carson,Donald Trump
21039,Carly Fiorina,Donald Trump,Donald Trump
21041,Donald Trump,Ben Carson,Donald Trump
21043,Donald Trump,Carly Fiorina,Donald Trump
21045,Chris Christie,Donald Trump,No data
21047,Jeb Bush,Donald Trump,Donald Trump
21049,Donald Trump,Carly Fiorina,Donald Trump
21051,Donald Trump,Ben Carson,Donald Trump
21053,Donald Trump,Ted Cruz,Donald Trump
21055,Donald Trump,Bobby Jindal,Donald Trump
21057,Donald Trump,Ted Cruz,Donald Trump
21059,Donald Trump,Jeb Bush,Carly Fiorina
21061,Rand Paul,Bobby Jindal,Donald Trump
21063,Ben Carson,Donald Trump,Donald Trump
21065,Ben Carson,Donald Trump,Donald Trump
21067,Donald Trump,Ben Carson,Donald Trump
21069,Donald Trump,Jeb Bush,Donald Trump
21071,Donald Trump,Jeb Bush,Donald Trump
21073,Donald Trump,Ben Carson,Donald Trump
21075,Donald Trump,Ben Carson,Ted Cruz
21077,Ben Carson,Donald Trump,Marco Rubio
21079,Donald Trump,Ted Cruz,Donald Trump
21081,Donald Trump,Ben Carson,Donald Trump
21083,Donald Trump,Carly Fiorina,Donald Trump
21085,Donald Trump,Ben Carson,Donald Trump
21087,Donald Trump,Ben Carson,Donald Trump
21089,Donald Trump,Carly Fiorina,Donald Trump
21091,Donald Trump,Ben Carson,Donald Trump
21093,Donald Trump,Ben Carson,Donald Trump
21095,Donald Trump,Marco Rubio,Donald Trump
21097,Donald Trump,John Kasich,Donald Trump
21099,Donald Trump,Mike Huckabee,Donald Trump
21101,Donald Trump,Ted Cruz,Donald Trump
21103,Ben Carson,Donald Trump,Ben Carson
21105,Ben Carson,Marco Rubio,Donald Trump
21107,Donald Trump,Ben Carson,Bobby Jindal
21109,Donald Trump,Rand Paul,Donald Trump
21111,Donald Trump,Ben Carson,Donald Trump
21113,Donald Trump,Ben Carson,Donald Trump
21115,Donald Trump,Ben Carson,Donald Trump
21117,Donald Trump,Ben Carson,Donald Trump
21119,Donald Trump,Ben Carson,Donald Trump
21121,Donald Trump,Ben Carson,Donald Trump
21123,Donald Trump,Ben Carson,Donald Trump
21125,Donald Trump,Carly Fiorina,Donald Trump
21127,Donald Trump,Ben Carson,Donald Trump
21129,Donald Trump,Ted Cruz,Donald Trump
21131,Donald Trump,Carly Fiorina,Donald Trump
21133,Donald Trump,Ted Cruz,Donald Trump
21135,Donald Trump,Ted Cruz,Donald Trump
21137,Donald Trump,Carly Fiorina,Donald Trump
21139,Donald Trump,Ben Carson,Donald Trump
21141,Donald Trump,Ben Carson,Donald Trump
21143,Donald Trump,Ben Carson,Donald Trump
21145,Donald Trump,Marco Rubio,Donald Trump
21147,Donald Trump,Carly Fiorina,Donald Trump
21149,Donald Trump,Carly Fiorina,Donald Trump
21151,Donald Trump,Ben Carson,Donald Trump
21155,Donald Trump,Carly Fiorina,Donald Trump
21157,Donald Trump,Ben Carson,Donald Trump
21159,Donald Trump,Ben Carson,Donald Trump
21161,Donald Trump,Ben Carson,Donald Trump
21163,Donald Trump,Ben Carson,Donald Trump
21165,Ben Carson,Chris Christie,Carly Fiorina
21167,Donald Trump,Chris Christie,Donald Trump
21169,Donald Trump,Marco Rubio,Donald Trump
21171,Ben Carson,Donald Trump,Donald Trump
21173,Donald Trump,Ben Carson,Donald Trump
21175,Ben Carson,Donald Trump,Ben Carson
21177,Ben Carson,Donald Trump,Donald Trump
21179,Jeb Bush,Carly Fiorina,Donald Trump
21181,Donald Trump,Ben Carson,Donald Trump
21183,Carly Fiorina,Donald Trump,Donald Trump
21185,Donald Trump,Ben Carson,Donald Trump
21187,Donald Trump,Ben Carson,Donald Trump
21191,Donald Trump,Rand Paul,Donald Trump
21193,Donald Trump,Ben Carson,Donald Trump
21195,Donald Trump,Ben Carson,Donald Trump
21197,Donald Trump,Carly Fiorina,Donald Trump
21199,Ben Carson,Donald Trump,Donald Trump
21201,Carly Fiorina,Donald Trump,No data
21203,Donald Trump,Ben Carson,Donald Trump
21205,Donald Trump,Ben Carson,Donald Trump
21207,Donald Trump,Mike Huckabee,Donald Trump
21209,Donald Trump,Rand Paul,Donald Trump
21211,Donald Trump,Ben Carson,Donald Trump
21213,Ben Carson,Donald Trump,Ted Cruz
21215,Donald Trump,Ben Carson,Donald Trump
21217,Donald Trump,Marco Rubio,Donald Trump
21219,Donald Trump,Marco Rubio,Donald Trump
21221,Donald Trump,Rand Paul,Donald Trump
21223,Donald Trump,Rand Paul,Donald Trump
21225,Donald Trump,Rand Paul,Donald Trump
21227,Donald Trump,Ben Carson,Donald Trump
21229,Donald Trump,Lindsey Graham,Ted Cruz
21231,Donald Trump,Ben Carson,Donald Trump
21233,Ben Carson,Donald Trump,Ted Cruz
21235,Donald Trump,Ben Carson,Donald Trump
21237,Donald Trump,Ted Cruz,Donald Trump
21239,Marco Rubio,Chris Christie,Marco Rubio
22001,Donald Trump,Jeb Bush,Donald Trump
22003,Donald Trump,Ben Carson,Donald Trump
22005,Donald Trump,Ben Carson,Donald Trump
22007,Marco Rubio,Donald Trump,Donald Trump
22009,Donald Trump,Ben Carson,Donald Trump
22011,Donald Trump,Carly Fiorina,No data
22013,Donald Trump,Rand Paul,Donald Trump
22015,Donald Trump,Ben Carson,Carly Fiorina
22017,Donald Trump,Ben Carson,Donald Trump
22019,Donald Trump,Chris Christie,Donald Trump
22021,Donald Trump,Ben Carson,Jeb Bush
22023,Carly Fiorina,Donald Trump,Donald Trump
22025,Donald Trump,No data,Donald Trump
22027,Donald Trump,Marco Rubio,Donald Trump
22029,Donald Trump,Bobby Jindal,Donald Trump
22031,Donald Trump,Ben Carson,Donald Trump
22033,Donald Trump,Ben Carson,Donald Trump
22035,Donald Trump,Ben Carson,No data
22037,Donald Trump,Ben Carson,Donald Trump
22039,Donald Trump,Jeb Bush,Donald Trump
22041,Donald Trump,Rand Paul,Donald Trump
22043,Donald Trump,Jeb Bush,Donald Trump
22045,Donald Trump,Ben Carson,Donald Trump
22047,Donald Trump,Ben Carson,Marco Rubio
22049,Carly Fiorina,Donald Trump,Donald Trump
22051,Donald Trump,Ben Carson,Donald Trump
22053,Donald Trump,Ted Cruz,Donald Trump
22055,Donald Trump,Rand Paul,Donald Trump
22057,Donald Trump,Ben Carson,Donald Trump
22059,Donald Trump,Ben Carson,Donald Trump
22061,Donald Trump,Ben Carson,Donald Trump
22063,Donald Trump,Ben Carson,Donald Trump
22065,Donald Trump,Bobby Jindal,Donald Trump
22067,Ben Carson,Donald Trump,Donald Trump
22069,Ben Carson,Donald Trump,Ben Carson
22071,Donald Trump,Ben Carson,Donald Trump
22073,Donald Trump,Ben Carson,Donald Trump
22075,Donald Trump,Ben Carson,Donald Trump
22077,Donald Trump,Ben Carson,Donald Trump
22079,Donald Trump,Marco Rubio,Donald Trump
22081,Donald Trump,Ben Carson,Donald Trump
22083,Donald Trump,Carly Fiorina,Carly Fiorina
22085,Carly Fiorina,Donald Trump,Carly Fiorina
22087,Donald Trump,Bobby Jindal,Ted Cruz
22089,Donald Trump,Ben Carson,Donald Trump
22091,Donald Trump,No data,No data
