Most searched and second most searched Republican candidates leading up to 3rd GOP Debate,,,
"All results based on US search interest, 9/17-10/23/15",,,
1st_LastDebate is the most searched candidate leading up to the 9/16 debate,,,
FIPS Code,1st,2nd,1st_LastDebate
5059,Donald Trump,Ben Carson,Donald Trump
5061,Donald Trump,Ben Carson,Donald Trump
5063,Donald Trump,Ben Carson,Donald Trump
5065,Donald Trump,Ben Carson,John Kasich
5067,Donald Trump,Ben Carson,Donald Trump
5069,Ben Carson,Donald Trump,Donald Trump
5071,Donald Trump,Mike Huckabee,Ted Cruz
5073,Ted Cruz,Jeb Bush,Donald Trump
5075,Donald Trump,Jeb Bush,Carly Fiorina
5079,Donald Trump,Jim Gilmore,No data
5081,Donald Trump,Carly Fiorina,Donald Trump
5083,Mike Huckabee,Donald Trump,Donald Trump
5085,Donald Trump,Ben Carson,Ben Carson
5087,Donald Trump,Ben Carson,Donald Trump
5089,Donald Trump,Carly Fiorina,Donald Trump
5091,Donald Trump,Ben Carson,Donald Trump
5093,Donald Trump,Ben Carson,Donald Trump
5097,Donald Trump,Carly Fiorina,Donald Trump
5099,Ben Carson,No data,Carly Fiorina
5101,Donald Trump,No data,No data
5103,Donald Trump,Ben Carson,Ted Cruz
5105,Donald Trump,Carly Fiorina,John Kasich
5107,Donald Trump,Jeb Bush,Donald Trump
5109,Donald Trump,Rand Paul,Donald Trump
5111,Donald Trump,Ben Carson,Donald Trump
5113,Donald Trump,Ben Carson,Donald Trump
5115,Donald Trump,Ben Carson,Ben Carson
5117,Donald Trump,Ben Carson,No data
5119,Donald Trump,Ben Carson,Donald Trump
5121,Donald Trump,Ben Carson,Donald Trump
5123,Donald Trump,Ben Carson,Donald Trump
5125,Donald Trump,Carly Fiorina,Donald Trump
5127,Donald Trump,Carly Fiorina,Donald Trump
5129,Ben Carson,Marco Rubio,Donald Trump
5131,Donald Trump,Ben Carson,Donald Trump
5133,Donald Trump,Mike Huckabee,Donald Trump
5135,Ben Carson,Donald Trump,Donald Trump
5137,Donald Trump,Ben Carson,Donald Trump
5139,Donald Trump,Ben Carson,Donald Trump
5141,Donald Trump,Ben Carson,Donald Trump
5143,Donald Trump,Ben Carson,Donald Trump
5145,Donald Trump,Ben Carson,Donald Trump
5147,Donald Trump,Ben Carson,No data
5149,Donald Trump,Carly Fiorina,Ben Carson
6001,Donald Trump,Ben Carson,Donald Trump
6003,Donald Trump,No data,Donald Trump
6005,Donald Trump,Carly Fiorina,Donald Trump
6007,Donald Trump,Ben Carson,Donald Trump
6009,Donald Trump,Ben Carson,Donald Trump
6011,Donald Trump,Ben Carson,Donald Trump
6013,Donald Trump,Ben Carson,Donald Trump
6015,Donald Trump,Ben Carson,Donald Trump
6017,Donald Trump,Ben Carson,Donald Trump
6019,Donald Trump,Ben Carson,Donald Trump
6021,Donald Trump,Carly Fiorina,Donald Trump
6023,Donald Trump,Ben Carson,Donald Trump
6025,Donald Trump,Ben Carson,Donald Trump
6027,Donald Trump,Carly Fiorina,Donald Trump
6029,Donald Trump,Ben Carson,Donald Trump
6031,Donald Trump,Ben Carson,Donald Trump
6033,Donald Trump,Ben Carson,Donald Trump
6035,Donald Trump,Ted Cruz,Donald Trump
6037,Donald Trump,Ben Carson,Donald Trump
6039,Donald Trump,Ben Carson,Donald Trump
6041,Donald Trump,Carly Fiorina,Donald Trump
6043,Donald Trump,Carly Fiorina,Donald Trump
6045,Donald Trump,Carly Fiorina,Donald Trump
6047,Donald Trump,Carly Fiorina,Donald Trump
6049,Donald Trump,Ben Carson,Donald Trump
6051,Donald Trump,Carly Fiorina,Donald Trump
6053,Donald Trump,Ben Carson,Donald Trump
6055,Donald Trump,Ben Carson,Donald Trump
6057,Donald Trump,Ben Carson,Donald Trump
6059,Donald Trump,Ben Carson,Donald Trump
6061,Donald Trump,Ben Carson,Donald Trump
6063,Donald Trump,Ben Carson,Donald Trump
6065,Donald Trump,Ben Carson,Donald Trump
6067,Donald Trump,Carly Fiorina,Donald Trump
6069,Donald Trump,Mike Huckabee,Donald Trump
6071,Donald Trump,Ben Carson,Donald Trump
6073,Donald Trump,Ben Carson,Donald Trump
6075,Donald Trump,Ben Carson,Donald Trump
6077,Donald Trump,Jeb Bush,Donald Trump
6079,Donald Trump,Ben Carson,Donald Trump
6081,Donald Trump,Carly Fiorina,Donald Trump
6083,Donald Trump,Ben Carson,Donald Trump
6085,Donald Trump,Carly Fiorina,Donald Trump
6087,Donald Trump,Ben Carson,Ben Carson
6089,Donald Trump,Ben Carson,Donald Trump
6093,Donald Trump,Mike Huckabee,Donald Trump
6095,Donald Trump,Ben Carson,Donald Trump
6097,Donald Trump,Ben Carson,Donald Trump
6099,Donald Trump,Ben Carson,Donald Trump
6101,Donald Trump,Jeb Bush,Ben Carson
6103,Marco Rubio,Donald Trump,Donald Trump
6105,Ben Carson,Donald Trump,Donald Trump
6107,Donald Trump,Ben Carson,Donald Trump
6109,Ben Carson,Donald Trump,Donald Trump
6111,Donald Trump,Ben Carson,Donald Trump
6113,Donald Trump,Ben Carson,Donald Trump
6115,Donald Trump,Carly Fiorina,Donald Trump
8001,Donald Trump,Carly Fiorina,Donald Trump
8003,Donald Trump,Ben Carson,Donald Trump
8005,Donald Trump,Ben Carson,Donald Trump
8007,Donald Trump,Ben Carson,Donald Trump
8009,Ted Cruz,No data,Ted Cruz
8011,Rand Paul,Carly Fiorina,Donald Trump
8013,Donald Trump,Ben Carson,Donald Trump
8014,Donald Trump,Ben Carson,Donald Trump
8015,Donald Trump,Ben Carson,Donald Trump
8017,Donald Trump,Jeb Bush,Donald Trump
8019,Donald Trump,Carly Fiorina,Donald Trump
8021,Donald Trump,No data,Donald Trump
8023,Ben Carson,Jeb Bush,No data
8025,Ben Carson,Donald Trump,Donald Trump
8027,Donald Trump,Ben Carson,Donald Trump
8029,Donald Trump,Carly Fiorina,Donald Trump
8031,Donald Trump,Ben Carson,Donald Trump
8035,Donald Trump,Ben Carson,Donald Trump
8037,Donald Trump,Ben Carson,Donald Trump
8039,Donald Trump,Carly Fiorina,Donald Trump
8041,Donald Trump,Ben Carson,Donald Trump
8043,Donald Trump,Rand Paul,Donald Trump
8045,Donald Trump,Ben Carson,Donald Trump
8047,Donald Trump,Ben Carson,Donald Trump
8049,Donald Trump,Carly Fiorina,Donald Trump
8051,Ben Carson,Donald Trump,Donald Trump
8053,Donald Trump,No data,Ted Cruz
8055,Donald Trump,Carly Fiorina,Donald Trump
8059,Donald Trump,Ben Carson,Donald Trump
8061,Donald Trump,Rand Paul,No data
8063,Donald Trump,Ben Carson,Donald Trump
8065,Donald Trump,Carly Fiorina,Donald Trump
8067,Donald Trump,Ben Carson,Donald Trump
8069,Ben Carson,Donald Trump,Donald Trump
8071,Donald Trump,Ben Carson,Donald Trump
8073,Donald Trump,Rand Paul,Marco Rubio
8075,Donald Trump,George Pataki,Donald Trump
8077,Donald Trump,Ben Carson,Donald Trump
8079,Donald Trump,Ben Carson,Donald Trump
8081,Donald Trump,Carly Fiorina,Donald Trump
8083,Donald Trump,Rand Paul,Chris Christie
8085,Donald Trump,Ted Cruz,Donald Trump
8087,Donald Trump,Carly Fiorina,Donald Trump
8089,Donald Trump,Rand Paul,Donald Trump
8091,Donald Trump,Ben Carson,Donald Trump
8093,Donald Trump,Carly Fiorina,Donald Trump
8095,Donald Trump,Ben Carson,Donald Trump
8097,Carly Fiorina,Ben Carson,Donald Trump
8099,Donald Trump,Rand Paul,Donald Trump
8101,Donald Trump,Ben Carson,Donald Trump
8103,Ben Carson,Donald Trump,Ben Carson
8105,Donald Trump,John Kasich,Donald Trump
8107,Ben Carson,Jeb Bush,Ben Carson
8109,Donald Trump,Ben Carson,No data
8113,Donald Trump,Carly Fiorina,Donald Trump
8117,Donald Trump,Carly Fiorina,Donald Trump
8119,Donald Trump,Ben Carson,Donald Trump
8123,Donald Trump,Ben Carson,Donald Trump
8125,Donald Trump,John Kasich,Donald Trump
9001,Donald Trump,Carly Fiorina,Donald Trump
9003,Donald Trump,Ben Carson,Donald Trump
9005,Donald Trump,Carly Fiorina,Donald Trump
9007,Donald Trump,Carly Fiorina,Donald Trump
9009,Donald Trump,Ben Carson,Donald Trump
9011,Donald Trump,Ben Carson,Donald Trump
9013,Donald Trump,Carly Fiorina,Donald Trump
9015,Donald Trump,Ben Carson,Donald Trump
10001,Donald Trump,Jeb Bush,Donald Trump
10003,Donald Trump,Ben Carson,Donald Trump
10005,Donald Trump,Ben Carson,Donald Trump
11001,Donald Trump,Ben Carson,Donald Trump
12001,Donald Trump,Carly Fiorina,Donald Trump
12003,Donald Trump,Ben Carson,Donald Trump
12005,Donald Trump,Ben Carson,Donald Trump
12007,Carly Fiorina,Ben Carson,John Kasich
12009,Donald Trump,Ben Carson,Donald Trump
12011,Donald Trump,Ben Carson,Donald Trump
12013,Rand Paul,Donald Trump,Donald Trump
12015,Donald Trump,Ben Carson,Donald Trump
12017,Donald Trump,Ben Carson,Donald Trump
12019,Donald Trump,Ben Carson,Donald Trump
12021,Donald Trump,Chris Christie,Donald Trump
12023,Donald Trump,Carly Fiorina,Donald Trump
12027,Donald Trump,Ben Carson,Donald Trump
12029,Donald Trump,Ben Carson,Donald Trump
12031,Donald Trump,Carly Fiorina,Donald Trump
12033,Donald Trump,Ben Carson,Donald Trump
12035,Donald Trump,Carly Fiorina,Donald Trump
12037,Donald Trump,Chris Christie,Donald Trump
12039,Donald Trump,Ben Carson,Donald Trump
12041,Donald Trump,Rand Paul,Donald Trump
12043,Donald Trump,Ben Carson,Donald Trump
12045,Donald Trump,Ben Carson,Donald Trump
12049,Donald Trump,Marco Rubio,Donald Trump
12051,Marco Rubio,Donald Trump,Donald Trump
12053,Donald Trump,Mike Huckabee,Donald Trump
12055,Donald Trump,Carly Fiorina,Donald Trump
12057,Donald Trump,Ben Carson,Donald Trump
12061,Donald Trump,Carly Fiorina,Donald Trump
12063,Donald Trump,Marco Rubio,Donald Trump
12065,Donald Trump,Carly Fiorina,No data
12067,Donald Trump,Ben Carson,Marco Rubio
12069,Donald Trump,Ben Carson,Donald Trump
12071,Donald Trump,Ben Carson,Donald Trump
12073,Donald Trump,Ted Cruz,Donald Trump
12075,Donald Trump,Ben Carson,Donald Trump
12077,Donald Trump,No data,No data
12079,Ben Carson,Marco Rubio,Donald Trump
12081,Donald Trump,Carly Fiorina,Donald Trump
12083,Donald Trump,Ben Carson,Donald Trump
12085,Donald Trump,Ben Carson,Donald Trump
12086,Donald Trump,Ben Carson,Donald Trump
12087,Donald Trump,Ben Carson,Donald Trump
12089,Donald Trump,Carly Fiorina,Donald Trump
12091,Donald Trump,Ben Carson,Donald Trump
12093,Donald Trump,Ben Carson,Donald Trump
12095,Donald Trump,Ben Carson,Donald Trump
12097,Donald Trump,Ben Carson,Donald Trump
12099,Donald Trump,Ben Carson,Donald Trump
12101,Donald Trump,Ben Carson,Donald Trump
12103,Donald Trump,Carly Fiorina,Carly Fiorina
12105,Donald Trump,Rand Paul,Donald Trump
12107,Donald Trump,Ben Carson,Donald Trump
12109,Ben Carson,Donald Trump,Donald Trump
12111,Donald Trump,Ben Carson,Donald Trump
12113,Donald Trump,Ben Carson,Donald Trump
12115,Donald Trump,Ben Carson,Donald Trump
12117,Donald Trump,Ben Carson,Donald Trump
12119,Donald Trump,Ben Carson,Donald Trump
12121,Donald Trump,Ben Carson,Donald Trump
12123,Donald Trump,Ben Carson,Donald Trump
12125,Donald Trump,Ben Carson,Donald Trump
12127,Donald Trump,Ben Carson,Donald Trump
12129,Donald Trump,Carly Fiorina,Donald Trump
12131,Donald Trump,Carly Fiorina,Donald Trump
12133,Donald Trump,Rand Paul,Donald Trump
13001,Donald Trump,Ben Carson,Donald Trump
13003,Donald Trump,Carly Fiorina,Ben Carson
13005,Donald Trump,Ben Carson,Donald Trump
13007,Donald Trump,Ben Carson,No data
13009,Donald Trump,Ben Carson,Donald Trump
13011,Ben Carson,Donald Trump,Marco Rubio
13013,Donald Trump,Ben Carson,Ben Carson
13015,Donald Trump,Carly Fiorina,Donald Trump
13019,Ben Carson,Carly Fiorina,Carly Fiorina
13021,Donald Trump,Ben Carson,Donald Trump
13023,Donald Trump,Ben Carson,Donald Trump
13025,Donald Trump,Jeb Bush,Donald Trump
13027,Donald Trump,Carly Fiorina,Donald Trump
13029,Donald Trump,Ben Carson,Donald Trump
13031,Donald Trump,Ben Carson,Donald Trump
13033,Donald Trump,Ben Carson,Donald Trump
13035,Donald Trump,Ben Carson,Donald Trump
13037,Ben Carson,Donald Trump,No data
13039,Donald Trump,Ben Carson,Donald Trump
13043,Donald Trump,Ben Carson,Donald Trump
13045,Donald Trump,Ben Carson,Ben Carson
13047,Donald Trump,Carly Fiorina,Donald Trump
13049,Carly Fiorina,Donald Trump,No data
13051,Donald Trump,Carly Fiorina,Donald Trump
13053,Donald Trump,Ben Carson,Donald Trump
13055,Ben Carson,Donald Trump,Donald Trump
13057,Donald Trump,Carly Fiorina,Donald Trump
13059,Donald Trump,Ben Carson,Donald Trump
13061,Ben Carson,Donald Trump,No data
13063,Donald Trump,Carly Fiorina,Donald Trump
13067,Donald Trump,Ben Carson,Donald Trump
13069,Donald Trump,Ben Carson,Donald Trump
13071,Chris Christie,Donald Trump,Donald Trump
13073,Donald Trump,Ben Carson,Donald Trump
13075,Donald Trump,Marco Rubio,Ben Carson
13077,Donald Trump,Ben Carson,Donald Trump
13079,Donald Trump,Carly Fiorina,Donald Trump
13081,Donald Trump,Ben Carson,Donald Trump
13083,Donald Trump,Ben Carson,Donald Trump
13085,Donald Trump,Ben Carson,Donald Trump
13087,Donald Trump,Ben Carson,Donald Trump
13089,Donald Trump,Ben Carson,Donald Trump
13091,Donald Trump,Ben Carson,Donald Trump
13093,Donald Trump,Ben Carson,Jeb Bush
13095,Donald Trump,Ben Carson,Donald Trump
13097,Donald Trump,Ben Carson,Donald Trump
13099,Ben Carson,Donald Trump,Donald Trump
13101,Donald Trump,Ben Carson,Donald Trump
13103,Donald Trump,Ben Carson,Donald Trump
13105,Donald Trump,Ben Carson,Donald Trump
13107,Donald Trump,Ben Carson,Donald Trump
13109,Carly Fiorina,Donald Trump,Donald Trump
13111,Donald Trump,Ben Carson,Donald Trump
13113,Donald Trump,Ben Carson,Donald Trump
13115,Donald Trump,Ben Carson,Donald Trump
13117,Donald Trump,Ben Carson,Donald Trump
13119,Donald Trump,Ben Carson,Donald Trump
13121,Donald Trump,Ben Carson,Donald Trump
13123,Donald Trump,Ben Carson,Donald Trump
13125,Ben Carson,No data,No data
13127,Donald Trump,Rand Paul,Donald Trump
13129,Donald Trump,Ben Carson,Donald Trump
13131,Donald Trump,Ben Carson,Donald Trump
13133,Donald Trump,Ben Carson,Donald Trump
13135,Donald Trump,Ben Carson,Donald Trump
13137,Donald Trump,Ben Carson,Donald Trump
13139,Donald Trump,Ben Carson,Donald Trump
13141,Ben Carson,Donald Trump,Donald Trump
13143,Ben Carson,Donald Trump,Donald Trump
13145,Donald Trump,Ben Carson,Donald Trump
13147,Donald Trump,Ben Carson,Donald Trump
13149,Donald Trump,Carly Fiorina,Donald Trump
13151,Donald Trump,Ben Carson,Donald Trump
13153,Donald Trump,Ben Carson,Donald Trump
13155,Donald Trump,Marco Rubio,Ben Carson
13157,Ben Carson,Donald Trump,Donald Trump
13159,Donald Trump,Mike Huckabee,Donald Trump
13161,Ben Carson,Donald Trump,No data
13163,Ben Carson,Carly Fiorina,Donald Trump
13165,Donald Trump,Jeb Bush,Donald Trump
