dma,DMA code,Top movie
Ft. Myers-Naples FL (Florida United States),571,Jurassic World
Idaho Falls-Pocatello ID (Idaho United States),758,Jurassic World
La Crosse-Eau Claire WI (Minnesota United States),702,Jurassic World
Bowling Green KY (Kentucky United States),736,Jurassic World
Florence-Myrtle Beach SC (North Carolina United States),570,Jurassic World
Twin Falls ID (Idaho United States),760,Jurassic World
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL (Missouri United States),632,Jurassic World
Ft. Smith-Fayetteville-Springdale-Rogers AR (Oklahoma United States),670,Jurassic World
Toledo OH (Michigan United States),547,Jurassic World
Madison WI (Wisconsin United States),669,Jurassic World
Rochester NY (New York United States),611,Jurassic World
Harrisburg-Lancaster-Lebanon-York PA (Pennsylvania United States),566,Jurassic World
Grand Rapids-Kalamazoo-Battle Creek MI (Michigan United States),563,Jurassic World
Harrisonburg VA (West Virginia United States),569,Jurassic World
Portland-Auburn ME (Maine United States),500,Jurassic World
Huntsville-Decatur (Florence) AL (Tennessee United States),691,Jurassic World
Augusta GA (Georgia United States),520,Jurassic World
Charlottesville VA (Virginia United States),584,Inside Out
Green Bay-Appleton WI (Michigan United States),658,Jurassic World
Cincinnati OH (Ohio United States),515,Jurassic World
Atlanta GA (Alabama United States),524,Jurassic World
Rockford IL (Illinois United States),610,Jurassic World
Casper-Riverton WY (Wyoming United States),767,Jurassic World
Topeka KS (Kansas United States),605,Jurassic World
Minot-Bismarck-Dickinson(Williston) ND (North Dakota United States),687,Jurassic World
Davenport IA-Rock Island-Moline IL (Iowa United States),682,Jurassic World
Greenville-New Bern-Washington NC (North Carolina United States),545,Jurassic World
Wichita-Hutchinson KS (Kansas United States),678,Jurassic World
Columbia SC (South Carolina United States),546,Jurassic World
Lexington KY (Kentucky United States),541,Jurassic World
Wichita Falls TX & Lawton OK (Texas United States),627,Jurassic World
Baton Rouge LA (Louisiana United States),716,Jurassic World
Richmond-Petersburg VA (Virginia United States),556,Jurassic World
Rapid City SD (Montana United States),764,Jurassic World
Eureka CA (California United States),802,Inside Out
Johnstown-Altoona PA (Pennsylvania United States),574,Jurassic World
Albany GA (Georgia United States),525,Jurassic World
Burlington VT-Plattsburgh NY (New Hampshire United States),523,Inside Out
Wausau-Rhinelander WI (Wisconsin United States),705,Jurassic World
Yakima-Pasco-Richland-Kennewick WA (Washington United States),810,Jurassic World
Panama City FL (Florida United States),656,Jurassic World
Biloxi-Gulfport MS (Mississippi United States),746,Jurassic World
Traverse City-Cadillac MI (Ontario United States),540,Jurassic World
Duluth MN-Superior WI (Ontario United States),676,Jurassic World
Greenwood-Greenville MS (Mississippi United States),647,Ted 2
Utica NY (New York United States),526,Jurassic World
Charlotte NC (North Carolina United States),517,Jurassic World
Chico-Redding CA (California United States),868,Jurassic World
Sioux City IA (South Dakota United States),624,Jurassic World
Joplin MO-Pittsburg KS (Kansas United States),603,Jurassic World
Greensboro-High Point-Winston Salem NC (Virginia United States),518,Jurassic World
Abilene-Sweetwater TX (Texas United States),662,Jurassic World
Sioux Falls(Mitchell) SD (Minnesota United States),725,Jurassic World
Lake Charles LA (Louisiana United States),643,Jurassic World
Hattiesburg-Laurel MS (Mississippi United States),710,Jurassic World
Tri-Cities TN-VA (Kentucky United States),531,Jurassic World
Knoxville TN (Kentucky United States),557,Jurassic World
Lincoln & Hastings-Kearney NE (Nebraska United States),722,Jurassic World
Greenville-Spartanburg SC-Asheville NC-Anderson SC (North Carolina United States),567,Jurassic World
Bangor ME (Maine United States),537,Jurassic World
Memphis TN (Mississippi United States),640,Jurassic World
Springfield MO (Missouri United States),619,Jurassic World
Little Rock-Pine Bluff AR (Arkansas United States),693,Jurassic World
Alexandria LA (Louisiana United States),644,Jurassic World
Nashville TN (Kentucky United States),659,Jurassic World
Birmingham AL (Alabama United States),630,Jurassic World
Wilmington NC (North Carolina United States),550,Jurassic World
Shreveport LA (Louisiana United States),612,Jurassic World
South Bend-Elkhart IN (Michigan United States),588,Jurassic World
Macon GA (Georgia United States),503,Jurassic World
Quincy IL-Hannibal MO-Keokuk IA (Missouri United States),717,Jurassic World
Montgomery (Selma) AL (Alabama United States),698,Jurassic World
Des Moines-Ames IA (Iowa United States),679,Jurassic World
Salisbury MD (Maryland United States),576,Jurassic World
Jackson TN (Tennessee United States),639,Jurassic World
Clarksburg-Weston WV (West Virginia United States),598,Jurassic World
Missoula MT (Montana United States),762,Jurassic World
Meridian MS (Mississippi United States),711,Jurassic World
Cheyenne WY-Scottsbluff NE (Wyoming United States),759,Jurassic World
Rochester MN-Mason City IA-Austin MN (Minnesota United States),538,Jurassic World
Billings MT (Montana United States),756,Jurassic World
Great Falls MT (Montana United States),755,Jurassic World
Marquette MI (Michigan United States),553,Jurassic World
Charleston SC (South Carolina United States),519,Jurassic World
Columbus-Tupelo-West Point MS (Mississippi United States),673,Jurassic World
Jackson MS (Mississippi United States),718,Jurassic World
Butte-Bozeman MT (Montana United States),754,Jurassic World
Bluefield-Beckley-Oak Hill WV (West Virginia United States),559,Jurassic World
Bend OR (Oregon United States),821,Jurassic World
Helena MT (Montana United States),766,Inside Out
Juneau AK (British Columbia United States),#N/A,#N/A
Alpena MI (Michigan United States),583,Jurassic World
Glendive MT (Montana United States),798,Inside Out
