"Ranked search interest in each debate issue on the day of the 5th GOP Debate, 12/15/2015",,,,,,,,,,
time,Internet,Immigration,Foreign Policy,Refugees,Syria,ISIS,Russia,Kurds,Donald Trump,China
6:20 PM ET,1,5,9,7,6,3,4,10,8,2
6:28 PM ET,1,5,9,7,6,2,4,10,8,3
6:36 PM ET,2,5,9,8,6,1,4,10,7,3
6:44 PM ET,2,5,9,8,6,1,4,10,7,3
6:52 PM ET,1,5,9,8,6,2,4,10,7,3
7:00 PM ET,2,5,9,8,6,1,4,10,7,3
7:08 PM ET,2,6,10,8,5,1,4,9,7,3
7:16 PM ET,2,5,9,8,6,1,4,10,7,3
7:24 PM ET,2,5,9,8,6,1,4,10,7,3
7:32 PM ET,2,5,10,8,6,1,4,9,7,3
7:40 PM ET,1,5,9,8,6,2,4,10,7,3
7:48 PM ET,1,5,9,8,6,2,4,10,7,3
7:56 PM ET,1,5,9,7,6,2,4,10,8,3
8:04 PM ET,2,5,9,8,6,1,4,10,7,3
8:12 PM ET,2,5,9,7,6,1,4,10,8,3
8:20 PM ET,1,5,9,8,6,2,4,10,7,3
8:28 PM ET,1,5,9,7,6,2,4,10,8,3
8:36 PM ET,1,5,9,7,6,2,4,10,8,3
8:44 PM ET,1,5,10,7,6,2,4,9,8,3
8:52 PM ET,2,5,10,7,6,1,4,8,9,3
9:00 PM ET,3,6,10,8,7,1,5,2,9,4
9:08 PM ET,2,5,10,7,6,1,4,9,8,3
9:16 PM ET,2,5,10,7,6,1,4,9,8,3
9:24 PM ET,1,5,10,9,6,2,4,7,8,3
9:32 PM ET,2,6,10,7,5,1,4,9,8,3
9:40 PM ET,2,6,10,8,5,1,4,9,7,3
9:48 PM ET,2,6,10,9,5,1,4,8,7,3
9:56 PM ET,2,6,10,8,5,1,4,9,7,3
10:04 PM ET,2,6,10,8,5,1,4,9,7,3
10:12 PM ET,2,6,10,7,5,1,3,9,8,4
10:20 PM ET,1,5,10,7,6,2,4,9,8,3
10:28 PM ET,1,5,10,7,6,2,4,8,9,3
10:36 PM ET,2,7,10,6,5,1,4,9,8,3
10:44 PM ET,1,5,9,8,6,2,4,10,7,3
10:52 PM ET,2,5,10,7,6,1,4,9,8,3
11:00 PM ET,1,5,10,8,6,2,4,9,7,3
11:08 PM ET,1,5,10,8,6,2,4,9,7,3
