country,indexed_interest,rank
United Kingdom,100,1
Malta,81,2
Luxembourg,70,3
Ireland,58,4
Cyprus,23,5
Belgium,21,6
Romania,15,7
Germany,14,8
Netherlands,14,9
Spain,14,10
France,13,11
Denmark,13,12
Slovakia,13,13
Italy,12,14
Portugal,12,15
Estonia,12,16
Lithuania,12,17
Austria,10,18
Sweden,10,19
Latvia,9,20
Poland,9,21
Bulgaria,9,22
Czech Republic,8,23
Finland,8,24
Slovenia,7,25
Hungary,7,26
Greece,6,27
Croatia,4,28
