Most searched Emmy-nominated drama in the hours after the Emmy nominations announcement,
Region,Most Searched
Lafayette IN (Indiana United States),Game of Thrones
Helena MT (Montana United States),Better Call Saul
Albuquerque-Santa Fe NM (New Mexico United States),Game of Thrones
Wichita Falls TX & Lawton OK (Texas United States),Game of Thrones
Eureka CA (California United States),Orange is the New Black
Rockford IL (Illinois United States),Game of Thrones
Jonesboro AR (Arkansas United States),Game of Thrones
Burlington VT-Plattsburgh NY (New Hampshire United States),Game of Thrones
Augusta GA (Georgia United States),Orange is the New Black
Marquette MI (Michigan United States),Game of Thrones
Peoria-Bloomington IL (Illinois United States),Game of Thrones
Bluefield-Beckley-Oak Hill WV (West Virginia United States),Orange is the New Black
Syracuse NY (New York United States),Game of Thrones
Erie PA (Pennsylvania United States),Game of Thrones
Jackson TN (Tennessee United States),Game of Thrones
Charlottesville VA (Virginia United States),Game of Thrones
Toledo OH (Michigan United States),Game of Thrones
Lubbock TX (Texas United States),Game of Thrones
Laredo TX (Texas United States),Game of Thrones
Los Angeles CA (California United States),Game of Thrones
Shreveport LA (Louisiana United States),Orange is the New Black
Sioux City IA (South Dakota United States),Game of Thrones
Dothan AL (Alabama United States),Game of Thrones
Champaign & Springfield-Decatur IL (Illinois United States),Game of Thrones
Austin TX (Texas United States),Game of Thrones
Pittsburgh PA (Pennsylvania United States),Game of Thrones
Boston MA-Manchester NH (New Hampshire United States),Game of Thrones
Lansing MI (Michigan United States),Orange is the New Black
Reno NV (California United States),Game of Thrones
Washington DC (Hagerstown MD) (Pennsylvania United States),Game of Thrones
Topeka KS (Kansas United States),Game of Thrones
Corpus Christi TX (Texas United States),Game of Thrones
Wilmington NC (North Carolina United States),Game of Thrones
Madison WI (Wisconsin United States),Game of Thrones
Johnstown-Altoona PA (Pennsylvania United States),Game of Thrones
Chicago IL (Illinois United States),Game of Thrones
Phoenix AZ (Arizona United States),Game of Thrones
Dayton OH (Ohio United States),Game of Thrones
Harrisonburg VA (West Virginia United States),Game of Thrones
New York NY (New York United States),Game of Thrones
Montgomery (Selma) AL (Alabama United States),Game of Thrones
Columbia SC (South Carolina United States),Orange is the New Black
Wichita-Hutchinson KS (Kansas United States),Game of Thrones
Biloxi-Gulfport MS (Mississippi United States),Game of Thrones
Missoula MT (Montana United States),Game of Thrones
Philadelphia PA (Pennsylvania United States),Game of Thrones
West Palm Beach-Ft. Pierce FL (Florida United States),Orange is the New Black
Tulsa OK (Kansas United States),Game of Thrones
Tallahassee FL-Thomasville GA (Florida United States),Game of Thrones
Boise ID (Idaho United States),Orange is the New Black
South Bend-Elkhart IN (Michigan United States),Game of Thrones
San Francisco-Oakland-San Jose CA (California United States),Game of Thrones
Bangor ME (Maine United States),Game of Thrones
Salt Lake City UT (Nevada United States),Game of Thrones
Baton Rouge LA (Louisiana United States),Game of Thrones
Minneapolis-St. Paul MN (Minnesota United States),Game of Thrones
Beaumont-Port Arthur TX (Texas United States),Orange is the New Black
Ft. Wayne IN (Ohio United States),Orange is the New Black
Milwaukee WI (Wisconsin United States),Game of Thrones
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL (Missouri United States),Orange is the New Black
Raleigh-Durham (Fayetteville) NC (Virginia United States),Game of Thrones
Baltimore MD (Maryland United States),Game of Thrones
Rochester NY (New York United States),Game of Thrones
Green Bay-Appleton WI (Michigan United States),Game of Thrones
San Antonio TX (Texas United States),Game of Thrones
Gainesville FL (Florida United States),Game of Thrones
Las Vegas NV (Nevada United States),Game of Thrones
Buffalo NY (New York United States),Game of Thrones
Colorado Springs-Pueblo CO (Colorado United States),Game of Thrones
Medford-Klamath Falls OR (Oregon United States),Game of Thrones
San Diego CA (California United States),Game of Thrones
Lincoln & Hastings-Kearney NE (Nebraska United States),Game of Thrones
Greenville-Spartanburg SC-Asheville NC-Anderson SC (North Carolina United States),Game of Thrones
Miami-Ft. Lauderdale FL (Florida United States),Game of Thrones
Minot-Bismarck-Dickinson(Williston) ND (North Dakota United States),Orange is the New Black
Cleveland-Akron (Canton) OH (Ontario United States),Game of Thrones
Cincinnati OH (Ohio United States),Game of Thrones
Harlingen-Weslaco-Brownsville-McAllen TX (Texas United States),Orange is the New Black
Wilkes Barre-Scranton PA (Pennsylvania United States),Orange is the New Black
Sacramento-Stockton-Modesto CA (California United States),Game of Thrones
Macon GA (Georgia United States),Game of Thrones
Honolulu HI (Hawaii United States),Game of Thrones
Duluth MN-Superior WI (Ontario United States),Game of Thrones
Davenport IA-Rock Island-Moline IL (Iowa United States),Orange is the New Black
Ft. Smith-Fayetteville-Springdale-Rogers AR (Oklahoma United States),Orange is the New Black
Columbus OH (Ohio United States),Game of Thrones
Albany-Schenectady-Troy NY (Vermont United States),Game of Thrones
Oklahoma City OK (Oklahoma United States),Game of Thrones
St. Louis MO (Missouri United States),Game of Thrones
Little Rock-Pine Bluff AR (Arkansas United States),Orange is the New Black
Springfield-Holyoke MA (Massachusetts United States),Game of Thrones
Denver CO (Colorado United States),Game of Thrones
Knoxville TN (Kentucky United States),Game of Thrones
