Search interest in Republican candidates by week,,,,,,,,,,,,,,,
All values based on search interest in the US,,,,,,,,,,,,,,,
"Search interest is indexed, where 100 is the maximum search interest",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Week,Jeb Bush,Ben Carson,Chris Christie,Ted Cruz,Carly Fiorina,Jim Gilmore,Lindsey Graham,Mike Huckabee,Bobby Jindal,John Kasich,George Pataki,Rand Paul,Marco Rubio,Rick Santorum,Donald Trump
11/22/15,1.4,7.09,0.69,3.55,0.8,0.09,0.21,0.42,0.79,0.82,0.1,0.77,2.75,0.14,19.03
11/29/15,1.46,4.78,1.01,4.63,1.33,0.09,0.28,0.39,0.21,0.53,0.1,0.8,2.99,0.12,18.38
12/6/15,3.06,4.96,0.78,6.41,1,0.1,0.79,0.36,0.19,0.56,0.12,1.09,3.39,0.17,49.05
12/13/15,4.69,5.49,2.28,13.92,3.6,0.11,1.19,0.67,0.19,1.26,0.35,2.65,7,0.47,30.98
12/20/15,2.69,3.37,1.09,9.96,1.2,0.1,1.56,0.3,0.21,0.47,0.13,1.4,3.26,0.18,30.78
12/27/15,2.17,3.27,0.74,4.41,1.19,0.1,0.2,0.29,0.15,0.46,0.5,0.9,2.42,0.15,18.5
1/3/16,2.49,3.25,0.99,8.93,0.98,0.1,0.16,0.32,0.15,0.48,0.09,1.46,3.78,0.21,22.6
1/10/16,2.88,3.55,1.69,15.74,1.65,0.1,0.42,0.45,0.45,1.21,0.09,2.81,5.21,0.77,26.4
1/17/16,2.77,4.25,1.77,12.24,1.14,0.09,0.28,0.39,0.16,1.33,0.1,1.96,5.25,0.29,28.77
1/24/16,3.3,3.89,2.72,13.36,1.99,0.56,0.18,1.19,0.14,1.73,0.11,3.35,7.65,0.75,41.84
1/31/16,6.09,7.01,2.32,36.51,2.47,0.82,0.23,1.66,0.22,2.21,0,5.02,22.25,1.46,38.52
2/7/16,7.19,7.29,9.29,20.01,4.24,1.25,0.37,0.37,0.36,11.59,0,1.19,20.25,0.25,35.8
2/14/16,27.27,5.51,1.66,21.08,0.8,0.2,0.47,0.22,0.22,6.53,0,0.69,14,0.14,38.82
2/21/16,16.69,9.27,4.93,22.99,0.77,0.11,1.07,0.46,0.17,8.18,0,0.66,30.34,0.24,64.59
2/28/16,3.46,14.38,10.98,34.62,0.58,0.09,0.82,0.71,0.36,11.63,0,0.89,31.89,0.16,100
3/6/16,2.42,9.01,2.2,29.48,1.28,0,0.46,0.28,0.27,10.96,0,0.71,21.75,0.11,69.72
3/13/16,1.89,4.8,1.84,23.64,0.73,0,0.6,0.33,0.19,18.53,0,0.57,25.08,0.11,77.54
3/20/16,1.49,2.29,0.89,41.91,0.41,0,1.22,0.17,0.17,6.56,0,0.4,4.21,0.09,51.13
3/27/16,0.97,1.47,1.06,26.08,0.52,0,0.42,0.34,0.11,5.3,0,0.72,2.52,0,43.43
4/3/16,0.81,1.37,1.53,19.19,0,0,0,0,0,4.35,0,0,1.77,0,40.09
4/10/16,0.7,2.01,0.56,16.79,0.24,0,0.18,0.12,0.11,5.19,0,0.39,1.59,0,31.33
4/17/16,0.77,2.33,0.5,16.63,0.24,0,0.16,0.22,0,4.56,0,0.31,1.59,0,34.1
4/24/16,1.03,1.1,1.02,21.79,5.97,0,0,0,0,3.56,0,0,1.71,0,36.48
5/1/16,1.74,1.68,0.77,15.25,1.67,0,1.8,0,0,3.75,0,1.03,1.93,0,55.88
5/8/16,1.04,1.19,1.31,9.93,0.75,0,0.43,0,0.32,1.79,0,0.52,1.97,0,40.57
