"Ranked search interest in each GOP presidential candidate on the day of the 5th GOP Debate, 12/15/2015",,,,,,,,,,,,,
time,Donald Trump,Ben Carson,Ted Cruz,Marco Rubio,Jeb Bush,Carly Fiorina,Chris Christie,John Kasich,Rand Paul,Mike Huckabee,Rick Santorum,Lindsey Graham,George Pataki
6:20 PM ET,1,3,2,4,7,11,12,13,9,10,8,5,6
6:28 PM ET,1,7,2,6,9,12,11,13,10,8,4,5,3
6:36 PM ET,1,7,2,8,9,12,10,13,11,6,4,5,3
6:44 PM ET,1,7,4,8,9,11,10,13,12,6,3,2,5
6:52 PM ET,1,7,3,8,9,12,11,13,10,6,4,2,5
7:00 PM ET,1,7,3,8,9,12,11,13,10,6,4,2,5
7:08 PM ET,1,7,5,7,9,13,11,12,10,3,4,2,6
7:16 PM ET,1,7,3,8,9,12,11,13,10,5,4,2,6
7:24 PM ET,1,7,3,8,9,12,11,13,10,6,4,2,5
7:32 PM ET,1,7,3,8,10,11,13,12,9,6,4,2,5
7:40 PM ET,1,7,5,8,9,11,12,13,10,6,3,2,4
7:48 PM ET,1,7,4,8,9,11,12,13,10,6,5,2,3
7:56 PM ET,1,8,5,7,9,10,12,13,11,6,3,2,4
8:04 PM ET,1,7,5,8,9,10,12,13,11,6,2,3,4
8:12 PM ET,1,6,3,7,9,10,12,13,11,5,4,2,8
8:20 PM ET,1,4,2,5,6,7,10,12,9,11,8,3,13
8:28 PM ET,1,5,2,4,3,6,9,10,8,12,11,7,13
8:36 PM ET,1,6,2,4,3,5,7,9,8,12,11,10,13
8:44 PM ET,1,7,3,5,2,4,9,6,8,11,12,10,13
8:52 PM ET,4,5,2,3,6,1,7,9,8,11,12,10,13
9:00 PM ET,1,6,2,3,4,5,7,9,8,12,11,10,13
9:08 PM ET,3,6,1,2,8,4,5,7,9,11,12,10,13
9:16 PM ET,2,4,3,1,7,8,6,9,5,11,12,10,13
9:24 PM ET,1,6,3,4,5,2,8,7,9,11,12,10,13
9:32 PM ET,2,5,3,1,4,6,8,9,7,11,12,10,13
9:40 PM ET,1,2,5,3,6,7,9,8,4,11,12,10,13
9:48 PM ET,1,4,5,2,8,3,6,9,7,11,12,10,13
9:56 PM ET,1,5,2,3,7,4,9,8,6,11,12,10,13
10:04 PM ET,1,4,3,5,6,7,9,8,2,11,12,10,13
10:12 PM ET,1,8,4,5,6,7,2,9,3,10,12,11,13
10:20 PM ET,3,4,2,1,5,7,9,8,6,11,12,10,13
10:28 PM ET,1,4,2,3,6,7,8,9,5,11,12,10,13
10:36 PM ET,1,6,2,4,9,3,5,7,8,11,12,10,13
10:44 PM ET,1,5,2,3,4,7,6,9,8,11,12,10,13
10:52 PM ET,1,4,2,3,6,5,8,9,7,11,12,10,13
11:00 PM ET,1,5,2,3,6,4,7,9,8,10,12,11,13
11:08 PM ET,1,4,2,3,6,7,8,9,5,10,11,12,13
