"Search interest in cricket by country 
since the start of the Cricket World Cup in 2015",,,Search interest in cricket by country in 2011,,,Search interest in cricket by country in 2007,
Country,Search Interest,,Country,Search Interest,,Country,Search Interest
U.S. Virgin Islands,3.77,,Mauritius,3.77,,Mozambique,2.44
Mauritius,3.74,,Ireland,3.74,,Mongolia,2.43
Malawi,3.64,,Rwanda,3.64,,Suriname,2.35
United States,3.47,,Hong Kong,3.47,,Libya,2.35
Sierra Leone,3.43,,Mozambique,3.43,,Armenia,2.30
Aruba,3.35,,Guinea,3.35,,Malaysia,2.28
Gibraltar,3.26,,Djibouti,3.26,,Kazakhstan,2.23
Myanmar (Burma),3.21,,United States,3.21,,Nigeria,1.93
Comoros,3.12,,Liberia,3.12,,New Caledonia,1.84
Canada,3.01,,Togo,3.01,,Iraq,1.73
Curaçao,2.92,,Canada,2.92,,Ghana,1.52
Lesotho,2.90,,The Bahamas,2.90,,Myanmar (Burma),1.46
The Bahamas,2.74,,Belize,2.74,,Norway,1.44
Belize,2.72,,Malaysia,2.72,,South Korea,1.41
Kenya,2.68,,Kyrgyzstan,2.68,,Panama,1.09
Democratic Republic of the Congo,2.46,,Ghana,2.46,,Malta,1.03
Tanzania,2.40,,Monaco,2.40,,Martinique,0.97
Hong Kong,2.40,,Cambodia,2.40,,Lebanon,0.96
Burundi,2.37,,Madagascar,2.37,,Switzerland,0.95
Northern Mariana Islands,2.32,,Mali,2.32,,Denmark,0.91
Uganda,2.30,,Laos,2.30,,Cuba,0.89
The Gambia,2.28,,Myanmar (Burma),2.28,,Netherlands,0.86
South Sudan,2.25,,Malta,2.25,,Ethiopia,0.85
Cyprus,2.17,,Benin,2.17,,Macau,0.85
Mozambique,1.96,,Haiti,1.96,,Guam,0.84
Romania,1.91,,Niger,1.91,,Sweden,0.79
Macau,1.83,,Norway,1.83,,Azerbaijan,0.77
Rwanda,1.79,,Liechtenstein,1.79,,Georgia,0.70
Nigeria,1.57,,Gabon,1.57,,Philippines,0.69
Niger,1.55,,Burkina Faso,1.55,,Iceland,0.68
Cambodia,1.54,,Yemen,1.54,,Yemen,0.68
Kyrgyzstan,1.46,,Greece,1.46,,Luxembourg,0.60
Timor-Leste,1.44,,Nigeria,1.44,,Austria,0.58
Congo,1.44,,Macau,1.44,,Belgium,0.53
Malta,1.42,,Philippines,1.42,,Greece,0.51
Libya,1.21,,Sudan,1.21,,Italy,0.50
Laos,1.20,,Panama,1.20,,Thailand,0.49
Monaco,1.17,,Tajikistan,1.17,,Czech Republic,0.47
Lebanon,1.15,,Guam,1.15,,Puerto Rico,0.46
Guinea,1.14,,Uzbekistan,1.14,,Germany,0.45
Ghana,1.11,,New Caledonia,1.11,,Indonesia,0.42
South Korea,1.09,,French Guiana,1.09,,Jordan,0.41
Norway,1.06,,South Korea,1.06,,Senegal,0.40
Angola,1.03,,Switzerland,1.03,,France,0.40
Madagascar,1.03,,Senegal,1.03,,Costa Rica,0.39
Benin,0.99,,Denmark,0.99,,Russia,0.39
Guam,0.96,,Angola,0.96,,Estonia,0.37
Switzerland,0.96,,Luxembourg,0.96,,Portugal,0.35
French Guiana,0.91,,Sweden,0.91,,Israel,0.35
Tajikistan,0.89,,Italy,0.89,,Latvia,0.35
Gabon,0.87,,Iceland,0.87,,Finland,0.34
Greece,0.86,,Netherlands,0.86,,Honduras,0.33
Netherlands,0.86,,Ethiopia,0.86,,Spain,0.33
Ethiopia,0.86,,Iraq,0.86,,Japan,0.32
Luxembourg,0.85,,Belgium,0.85,,Tunisia,0.29
Iceland,0.81,,Guadeloupe,0.81,,Hungary,0.29
Italy,0.76,,Albania,0.76,,Ukraine,0.28
Togo,0.75,,Austria,0.75,,Bulgaria,0.27
Denmark,0.73,,Cameroon,0.73,,Dominican Republic,0.27
Sudan,0.71,,Spain,0.71,,Taiwan,0.25
Belgium,0.71,,Germany,0.71,,Egypt,0.25
Cuba,0.71,,Lebanon,0.71,,Croatia,0.23
Iraq,0.69,,Azerbaijan,0.69,,Iran,0.23
Mayotte,0.68,,Libya,0.68,,Slovenia,0.23
Côte d'Ivoire,0.65,,Côte d'Ivoire,0.65,,Slovakia,0.21
Sweden,0.64,,Finland,0.64,,China,0.19
Mongolia,0.62,,Georgia,0.62,,Vietnam,0.19
Haiti,0.60,,Portugal,0.60,,Belarus,0.18
Jordan,0.59,,Estonia,0.59,,Uruguay,0.16
Cape Verde,0.58,,Cuba,0.58,,Serbia,0.16
Cameroon,0.58,,France,0.58,,El Salvador,0.16
Mali,0.57,,Kazakhstan,0.57,,Chile,0.15
Djibouti,0.56,,Czech Republic,0.56,,Romania,0.15
Mauritania,0.56,,Macedonia (FYROM),0.56,,Argentina,0.15
Kosovo,0.56,,Armenia,0.56,,Morocco,0.14
Austria,0.55,,Mongolia,0.55,,Lithuania,0.14
French Polynesia,0.54,,Jordan,0.54,,Mexico,0.14
Yemen,0.52,,Israel,0.52,,Guatemala,0.13
Philippines,0.51,,Latvia,0.51,,Algeria,0.13
Germany,0.50,,Thailand,0.50,,Poland,0.13
France,0.49,,Belarus,0.49,,Ecuador,0.11
Somalia,0.47,,China,0.47,,Bolivia,0.11
Burkina Faso,0.46,,Montenegro,0.46,,Peru,0.09
Finland,0.42,,Puerto Rico,0.42,,Brazil,0.08
Portugal,0.39,,Reunion,0.39,,Venezuela,0.08
Thailand,0.39,,Dominican Republic,0.39,,Colombia,0.08
Spain,0.38,,Ukraine,0.38,,Turkey,0.07
Israel,0.37,,Russia,0.37,,Aruba,0.00
Panama,0.37,,Japan,0.37,,Angola,0.00
New Caledonia,0.35,,Serbia,0.35,,Aland Islands,0.00
Senegal,0.34,,Martinique,0.34,,Albania,0.00
Estonia,0.32,,Bosnia and Herzegovina,0.32,,Andorra,0.00
Uzbekistan,0.32,,Croatia,0.32,,American Samoa,0.00
Georgia,0.30,,Costa Rica,0.30,,Antarctica,0.00
Turkmenistan,0.29,,Indonesia,0.29,,French Southern and Antarctic Lands,0.00
Slovenia,0.28,,Honduras,0.28,,Burundi,0.00
Guadeloupe,0.27,,Romania,0.27,,Benin,0.00
Iran,0.27,,Syria,0.27,,Caribbean Netherlands,0.00
Azerbaijan,0.27,,Slovenia,0.27,,Burkina Faso,0.00
Macedonia (FYROM),0.26,,Nicaragua,0.26,,Bosnia and Herzegovina,0.00
Montenegro,0.25,,Lithuania,0.25,,Saint Barthélemy,0.00
Martinique,0.25,,Taiwan,0.25,,Bouvet Island,0.00
Puerto Rico,0.25,,Hungary,0.25,,Central African Republic,0.00
Reunion,0.23,,Egypt,0.23,,Cocos (Keeling) Islands,0.00
Latvia,0.23,,Moldova,0.23,,Côte d'Ivoire,0.00
Armenia,0.22,,El Salvador,0.22,,Cameroon,0.00
Morocco,0.21,,Mexico,0.21,,Democratic Republic of the Congo,0.00
Bulgaria,0.21,,Iran,0.21,,Congo,0.00
Kazakhstan,0.20,,Paraguay,0.20,,Cook Islands,0.00
Russia,0.20,,Uruguay,0.20,,Comoros,0.00
Brazil,0.20,,Slovakia,0.20,,Cape Verde,0.00
Algeria,0.19,,Bulgaria,0.19,,Curaçao,0.00
Czech Republic,0.18,,Guatemala,0.18,,Christmas Island,0.00
Japan,0.17,,Morocco,0.17,,Djibouti,0.00
Costa Rica,0.17,,Tunisia,0.17,,Eritrea,0.00
Indonesia,0.16,,Poland,0.16,,Western Sahara,0.00
Hungary,0.16,,Bolivia,0.16,,Falkland Islands (Islas Malvinas),0.00
Dominican Republic,0.16,,Palestine,0.16,,Faroe Islands,0.00
Egypt,0.15,,Algeria,0.15,,Micronesia,0.00
Syria,0.15,,Argentina,0.15,,Gabon,0.00
Slovakia,0.14,,Vietnam,0.14,,Guernsey,0.00
Ukraine,0.14,,Chile,0.14,,Guinea,0.00
Paraguay,0.14,,Ecuador,0.14,,Guadeloupe,0.00
Tunisia,0.14,,Peru,0.14,,The Gambia,0.00
Honduras,0.13,,Colombia,0.13,,Guinea-Bissau,0.00
Nicaragua,0.13,,Brazil,0.13,,Equatorial Guinea,0.00
Turkey,0.12,,Venezuela,0.12,,Greenland,0.00
Albania,0.12,,Turkey,0.12,,Heard Island and McDonald Islands,0.00
Taiwan,0.12,,Aland Islands,0.12,,Haiti,0.00
Lithuania,0.11,,Andorra,0.11,,Isle of Man,0.00
Chile,0.10,,American Samoa,0.10,,British Indian Ocean Territory,0.00
Croatia,0.10,,Antarctica,0.10,,Jersey,0.00
Uruguay,0.10,,French Southern and Antarctic Lands,0.10,,Kyrgyzstan,0.00
Mexico,0.09,,Burundi,0.09,,Cambodia,0.00
Serbia,0.09,,Caribbean Netherlands,0.09,,Kiribati,0.00
Bosnia and Herzegovina,0.09,,Saint Barthélemy,0.09,,Liberia,0.00
Poland,0.09,,Bouvet Island,0.09,,Liechtenstein,0.00
Vietnam,0.08,,Central African Republic,0.08,,Lesotho,0.00
Guatemala,0.08,,Cocos (Keeling) Islands,0.08,,Saint Martin,0.00
Belarus,0.08,,Congo,0.08,,Moldova,0.00
El Salvador,0.07,,Comoros,0.07,,Madagascar,0.00
Ecuador,0.07,,Cape Verde,0.07,,Marshall Islands,0.00
Peru,0.06,,Curaçao,0.06,,Macedonia (FYROM),0.00
Argentina,0.06,,Christmas Island,0.06,,Montenegro,0.00
Colombia,0.06,,Western Sahara,0.06,,Mauritania,0.00
Palestine,0.05,,Falkland Islands (Islas Malvinas),0.05,,Mayotte,0.00
Venezuela,0.05,,Faroe Islands,0.05,,Niger,0.00
Moldova,0.05,,Micronesia,0.05,,Nicaragua,0.00
Aland Islands,0.00,,Guinea-Bissau,0.00,,Niue,0.00
Andorra,0.00,,Equatorial Guinea,0.00,,Nauru,0.00
American Samoa,0.00,,Greenland,0.00,,Pitcairn Islands,0.00
Antarctica,0.00,,Heard Island and McDonald Islands,0.00,,Palau,0.00
French Southern and Antarctic Lands,0.00,,British Indian Ocean Territory,0.00,,North Korea,0.00
Caribbean Netherlands,0.00,,Kiribati,0.00,,Paraguay,0.00
Saint Barthélemy,0.00,,Saint Martin,0.00,,Palestine,0.00
Bouvet Island,0.00,,Marshall Islands,0.00,,French Polynesia,0.00
Central African Republic,0.00,,Mauritania,0.00,,Reunion,0.00
Cocos (Keeling) Islands,0.00,,Mayotte,0.00,,South Georgia and the South Sandwich Islands,0.00
Christmas Island,0.00,,Norfolk Island,0.00,,Saint Helena,0.00
Eritrea,0.00,,Niue,0.00,,Svalbard and Jan Mayen,0.00
Western Sahara,0.00,,Nauru,0.00,,Solomon Islands,0.00
Falkland Islands (Islas Malvinas),0.00,,Pitcairn Islands,0.00,,Sierra Leone,0.00
Faroe Islands,0.00,,Palau,0.00,,San Marino,0.00
Guinea-Bissau,0.00,,North Korea,0.00,,Somalia,0.00
Equatorial Guinea,0.00,,French Polynesia,0.00,,Saint Pierre and Miquelon,0.00
Greenland,0.00,,South Georgia and the South Sandwich Islands,0.00,,South Sudan,0.00
Heard Island and McDonald Islands,0.00,,Saint Helena,0.00,,São Tomé and Príncipe,0.00
British Indian Ocean Territory,0.00,,Svalbard and Jan Mayen,0.00,,Swaziland,0.00
Kiribati,0.00,,Solomon Islands,0.00,,Sint Maarten,0.00
Liechtenstein,0.00,,San Marino,0.00,,Syria,0.00
Norfolk Island,0.00,,Somalia,0.00,,Turks and Caicos Islands,0.00
Niue,0.00,,Saint Pierre and Miquelon,0.00,,Chad,0.00
Nauru,0.00,,South Sudan,0.00,,Togo,0.00
Pitcairn Islands,0.00,,São Tomé and Príncipe,0.00,,Tajikistan,0.00
North Korea,0.00,,Swaziland,0.00,,Tokelau,0.00
South Georgia and the South Sandwich Islands,0.00,,Sint Maarten,0.00,,Turkmenistan,0.00
Svalbard and Jan Mayen,0.00,,Chad,0.00,,Timor-Leste,0.00
San Marino,0.00,,Tokelau,0.00,,Tonga,0.00
Saint Pierre and Miquelon,0.00,,Turkmenistan,0.00,,Tuvalu,0.00
São Tomé and Príncipe,0.00,,Timor-Leste,0.00,,United States Minor Outlying Islands,0.00
Chad,0.00,,Tonga,0.00,,Uzbekistan,0.00
Tokelau,0.00,,Tuvalu,0.00,,Vatican City,0.00
Tuvalu,0.00,,United States Minor Outlying Islands,0.00,,Vanuatu,0.00
United States Minor Outlying Islands,0.00,,Vatican City,0.00,,Wallis and Futuna,0.00
Vatican City,0.00,,Wallis and Futuna,0.00,,Samoa,0.00
Wallis and Futuna,0.00,,Kosovo,0.00,,Kosovo,0.00
