Player,Team,Global_indexed,Spain_indexed,Italy_indexe
Ronaldo,Real Madrid,100,100,100
Dybala,Juventus,13,14,85
James Rodríguez,Real Madrid,11,8,29
Gareth Bale,Real Madrid,8,10,10
Gianluigi Buffon,Juventus,7,6,53
Morata,Real Madrid,7,13,83
Sergio Ramos,Real Madrid,6,22,7
Karim Benzema,Real Madrid,6,7,3
Isco,Real Madrid,3,10,2
Daniel Alves Da Silva,Juventus,3,3,13
Keylor Navas,Real Madrid,3,5,2
Marcelo,Real Madrid,3,4,2
Gonzalo Higuain,Juventus,3,2,38
Bonucci,Juventus,2,4,33
Toni Kroos,Real Madrid,2,3,1
Luka Modrić,Real Madrid,2,4,3
Pepe,Real Madrid,2,3,2
Asensio,Real Madrid,2,11,1
Audero,Juventus,2,0,30
Mario Mandžukić,Juventus,1,0,18
Cuadrado,Juventus,1,1,7
Dani Carvajal,Real Madrid,1,2,1
Claudio Marchisio,Juventus,1,0,19
Giorgio Chiellini,Juventus,1,1,10
Casemiro,Real Madrid,1,1,1
Miralem Pjanic,Juventus,1,0,7
Danilo,Real Madrid,1,1,2
Lucas Vázquez,Real Madrid,1,8,0
Sami Khedira,Juventus,1,1,5
Varane,Real Madrid,1,1,0
Mateo Kovacic,Real Madrid,0,1,1
Nacho,Real Madrid,0,2,1
Lobo Silva,Juventus,0,0,3
Andrea Barzagli,Juventus,0,0,5
Rincón,Juventus,0,0,2
Fábio Coentrão,Real Madrid,0,1,0
Mehdi Benatia,Juventus,0,0,2
Rugani,Juventus,0,0,5
Asamoah,Juventus,0,0,1
Marko Pjaca,Juventus,0,0,2
Lemina,Juventus,0,0,2
Stephan Lichtsteiner,Juventus,0,0,2
Sturaro,Juventus,0,0,3
K. Casilla,Real Madrid,0,1,0
Paolo De Ceglie,Juventus,0,0,2
Mandragora,Juventus,0,0,2
Mariano,Real Madrid,0,0,0
Mattiello,Juventus,0,0,2
Neto,Juventus,0,0,0
Rubén Yáñez,Real Madrid,0,0,0
