Rankings in search interest for each Democratic Debate candidate by minute based on US searches on 11/14/15,,,
time,Hillary Clinton,Martin O'Malley,Bernie Sanders
9:00 PM ET,2,3,1
9:08 PM ET,3,1,1
9:16 PM ET,3,2,1
9:24 PM ET,2,3,1
9:32 PM ET,1,3,2
9:40 PM ET,2,3,1
9:48 PM ET,3,2,1
9:56 PM ET,2,3,1
10:04 PM ET,2,3,1
10:12 PM ET,3,2,1
10:20 PM ET,2,3,1
10:28 PM ET,1,3,2
10:36 PM ET,2,3,1
10:44 PM ET,3,1,2
10:52 PM ET,2,3,1
11:00 PM ET,2,3,1
