"Indexed search interest in STEM in Ontario, Canada by city where 100 is the max value.",,,,
city,region,country,indexed,rank
Lakeshore,Ontario,Canada,100,1
Halton Hills,Ontario,Canada,97,2
Grimsby,Ontario,Canada,96,3
Lambton Shores,Ontario,Canada,95,4
Wasaga Beach,Ontario,Canada,94,5
Woodstock,Ontario,Canada,79,6
Ajax,Ontario,Canada,48,7
Welland,Ontario,Canada,46,8
Sarnia,Ontario,Canada,45,9
Timmins,Ontario,Canada,45,10
North Bay,Ontario,Canada,44,11
Sault Ste. Marie,Ontario,Canada,43,12
Guelph,Ontario,Canada,39,13
Peterborough,Ontario,Canada,38,14
Milton,Ontario,Canada,38,15
Saint Catharines,Ontario,Canada,35,16
Niagara Falls,Ontario,Canada,33,17
London,Ontario,Canada,33,18
Aurora,Ontario,Canada,30,19
Cambridge,Ontario,Canada,29,20
Waterloo,Ontario,Canada,29,21
Oakville,Ontario,Canada,29,22
Caledon,Ontario,Canada,28,23
Thunder Bay,Ontario,Canada,27,24
Newmarket,Ontario,Canada,25,25
Oshawa,Ontario,Canada,24,26
Markham,Ontario,Canada,24,27
Kitchener,Ontario,Canada,22,28
Brantford,Ontario,Canada,22,29
Vaughan,Ontario,Canada,22,30
Burlington,Ontario,Canada,21,31
Pickering,Ontario,Canada,21,32
Sudbury,Ontario,Canada,19,33
Windsor,Ontario,Canada,18,34
Richmond Hill,Ontario,Canada,18,35
Mississauga,Ontario,Canada,18,36
Kingston,Ontario,Canada,17,37
Brampton,Ontario,Canada,16,38
Ottawa,Ontario,Canada,15,39
Whitby,Ontario,Canada,14,40
Hamilton,Ontario,Canada,14,41
Toronto,Ontario,Canada,12,42
Barrie,Ontario,Canada,10,43
