Most searched costume by State ,,,,,
Costumes are shown in order of ranking,,,,,
Results are based on searches in October 2017,,,,,
State,#1,#2,#3,#4 ,#5
Alaska,Ninja,Monster,Wonder Woman,Clown,Rabbit
Alabama,Wonder Woman,Harley Quinn,Mouse,Superhero,Clown
Arkansas,Clown,Harley Quinn,Unicorn,Pirate,Wonder Woman
Arizona,Wonder Woman,Clown,Moana,Rabbit,Unicorn
California,Wonder Woman,Clown,Unicorn,Harley Quinn,Rabbit
Colorado,Wonder Woman,Harley Quinn,Rabbit,Dinosaur,Unicorn
Connecticut,Wonder Woman,Rabbit,Witch,Unicorn,Zombie
District of Columbia,Harley Quinn,Wonder Woman,Zombie,Clown,Unicorn
Delaware,IT,Harley Quinn,Monster,Clown,Mouse
Florida,Wonder Woman,Harley Quinn,Moana,Clown,Unicorn
Georgia,Harley Quinn,Wonder Woman,Clown,Rabbit,Unicorn
Hawaii,Wonder Woman,Doll,Dinosaur,Princess Jasmine,Moana
Iowa,Wonder Woman,Clown,Harley Quinn,Unicorn,Ninja
Idaho,Rabbit,Wonder Woman,Dinosaur,Mouse,Unicorn
Illinois,Wonder Woman,Harley Quinn,Clown,Unicorn,Dinosaur
Indiana,Dinosaur,Harley Quinn,Clown,Wonder Woman,Witch
Kansas,Wonder Woman,Clown,Harley Quinn,Pirate,Witch
Kentucky,Clown,Wonder Woman,Harley Quinn,Zombie,Belle
Louisiana,Wonder Woman,Witch,Harley Quinn,Clown,Rabbit
Massachusetts,Wonder Woman,Rabbit,Unicorn,Zombie,Harley Quinn
Maryland,Wonder Woman,Harley Quinn,Unicorn,Rabbit,Pirate
Maine,Superhero,Witch,Batman,Skeleton,Rabbit
Michigan,Wonder Woman,Harley Quinn,Clown,Unicorn,Rabbit
Minnesota,Zombie,Harley Quinn,Unicorn,Wonder Woman,Rabbit
Missouri,Clown,Wonder Woman,Witch,Harley Quinn,Unicorn
Mississippi,Mouse,Clown,Harley Quinn,Cheerleader,Wonder Woman
Montana,Dinosaur,Harley Quinn,Zombie,Vikings,IT
North Carolina,Wonder Woman,Harley Quinn,Unicorn,Clown,Pirate
North Dakota,Unicorn,Chicken,Batman,Lion,IT
Nebraska,Wonder Woman,Clown,Harley Quinn,Unicorn,Superhero
New Hampshire,Rabbit,Harley Quinn,Clown,Star Wars,Dinosaur
New Jersey,Wonder Woman,Harley Quinn,Unicorn,Rabbit,Zombie
New Mexico,Harley Quinn,Clown,Unicorn,Chucky,Doll
Nevada,Wonder Woman,Clown,Harley Quinn,Chucky,Mouse
New York,Wonder Woman,Clown,Harley Quinn,Unicorn,Rabbit
Ohio,Harley Quinn,Wonder Woman,Clown,Witch,Unicorn
Oklahoma,Wonder Woman,Harley Quinn,Clown,Zombie,Witch
Oregon,Unicorn,Witch,Wonder Woman,Dinosaur,Mouse
Pennsylvania,Harley Quinn,Wonder Woman,Clown,Zombie,Unicorn
Rhode Island,Witch,Wonder Woman,Chicken,Zombie,Unicorn
South Carolina,Harley Quinn,Wonder Woman,Clown,Pirate,Rabbit
South Dakota,Witch,Clown,Scary Clown,Unicorn,Princess
Tennessee,Wonder Woman,Harley Quinn,Clown,Witch,Mouse
Texas,Wonder Woman,Harley Quinn,Clown,Unicorn,Moana
Utah,Witch,Wonder Woman,Pirate,Clown,Dinosaur
Virginia,Wonder Woman,Harley Quinn,Rabbit,Clown,Princess
Vermont,Catwoman,Dinosaur,The Wizard of Oz,Rabbit,Unicorn
Washington,Wonder Woman,Dinosaur,Harley Quinn,Witch,Unicorn
Wisconsin,Zombie,Pirate,Dinosaur,Wonder Woman,Unicorn
West Virginia,Clown,Harley Quinn,Doll,Witch,Zombie
Wyoming,Joker,Starbucks,Clown,Queen of Hearts,Dinosaur
