Most Searched Costumes by State,,,,,
Costumes are shown in order of ranking,,,,,
Results are based on searches in September 2015,,,,,
State,1,2,3,4,5
Alaska,Pirate,Minecraft,Superhero,Vampire,Queen of Hearts
Alabama,Pirate,Batman,Minnie Mouse,Harley Quinn,Superhero
Arkansas,Superhero,Harley Quinn,Witch,Superwoman,Pirate
Arizona,Star Wars,Harley Quinn,Pirate,Batman,Superhero
California,Star Wars,Harley Quinn,Pirate,Superhero,Batman
Colorado,Star Wars,Superhero,Pirate,Batman,Harley Quinn
Connecticut,Star Wars,Mermaid,Minnie Mouse,Harley Quinn,Elsa
District of Columbia,Batman,Harley Quinn,Superhero,Star Wars,Princess
Delaware,Harley Quinn,Superwoman,Star Wars,Pirate,Fairy
Florida,Harley Quinn,Superhero,Star Wars,Pirate,Batman
Georgia,Superhero,Star Wars,Harley Quinn,Pirate,Batman
Hawaii,Star Wars,Pirate,Superhero,Minions,Clown
Iowa,Superhero,Batman,Witch,Harley Quinn,Teenage Mutant Ninja Turtles
Idaho,Star Wars,Pirate,Werewolf,Angel,Teenage Mutant Ninja Turtles
Illinois,Harley Quinn,Batman,Superhero,Star Wars,Minions
Indiana,Pirate,Superhero,Batman,Witch,Star Wars
Kansas,Superhero,Pirate,Harley Quinn,Batman,Dinosaur
Kentucky,Harley Quinn,Batman,Star Wars,Pirate,Superhero
Louisiana,Superhero,Minnie Mouse,Batman,Harley Quinn,Witch
Massachusetts,Superhero,Harley Quinn,Star Wars,Pirate,Batman
Maryland,Batman,Superhero,Pirate,Minnie Mouse,Witch
Maine,PAW Patrol,Harley Quinn,Steampunk,Pirate,Ghost
Michigan,Batman,Harley Quinn,Superhero,Pirate,Star Wars
Minnesota,Star Wars,Pirate,Superhero,The Renaissance,Minions
Missouri,Batman,Superhero,Pirate,Harley Quinn,Witch
Mississippi,Minnie Mouse,Star Wars,Pirate,Witch,Teenage Mutant Ninja Turtles
Montana,Star Wars,Steampunk,Tiger,Wonder Woman,Minions
North Carolina,Pirate,Batman,Harley Quinn,Star Wars,Superhero
North Dakota,Mickey Mouse,Maleficent,Owl,Superhero,Witch
Nebraska,Superhero,Witch,Star Wars,Pirate,Teenage Mutant Ninja Turtles
New Hampshire,Ewok,Pirate,Minnie Mouse,Witch,Harley Quinn
New Jersey,Star Wars,Superhero,Batman,Harley Quinn,Pirate
New Mexico,Teenage Mutant Ninja Turtles,Superhero,Star Wars,Harley Quinn,Batman
Nevada,Harley Quinn,Star Wars,Wonder Woman,Joker,Witch
New York,Harley Quinn,Batman,Superhero,Star Wars,Minnie Mouse
Ohio,Batman,Harley Quinn,Superhero,Pirate,Star Wars
Oklahoma,Batman,Star Wars,Superhero,Harley Quinn,Pirate
Oregon,Pirate,Star Wars,Superhero,Batman,Witch
Pennsylvania,Batman,Pirate,Harley Quinn,Star Wars,Minnie Mouse
Rhode Island,Harley Quinn,Mermaid,Witch,Superhero,Gray wolf
South Carolina,Harley Quinn,Pirate,Batman,Witch,Superhero
South Dakota,Harley Quinn,Clown,Maleficent,Raccoon,Elsa
Tennessee,Pirate,Superhero,Star Wars,Witch,Batman
Texas,Harley Quinn,Superhero,Batman,Star Wars,Pirate
Utah,Witch,Star Wars,Pirate,Superhero,Vampire
Virginia,Star Wars,Pirate,Batman,Superhero,Harley Quinn
Vermont,Fairy,Zombie Bride,Steampunk,Steampunk,Minnie Mouse
Washington,Star Wars,Harley Quinn,Pirate,Batman,Princess
Wisconsin,Pirate,Superhero,Star Wars,Batman,Clown
West Virginia,Harley Quinn,Minnie Mouse,Teenage Mutant Ninja Turtles,Witch,Clown
Wyoming,Witch,Chucky,Ghost,Minnie Mouse,Hulk
