"Rankings of main debate candidates by minute based on US searches, 9/16/2015",,,,,,,,,,,
time,Jeb Bush,Ben Carson,Chris Christie,Ted Cruz,Mike Huckabee,John Kasich,Rand Paul,Marco Rubio,Donald Trump,Scott Walker,Carly Fiorina
8:00 PM ET,3,2,7,5,11,10,6,8,1,9,4
8:08 PM ET,7,1,9,3,8,11,6,4,2,10,5
8:16 PM ET,4,3,6,9,11,8,5,10,1,7,2
8:24 PM ET,4,2,5,9,11,7,8,10,1,6,3
8:32 PM ET,4,3,11,6,9,8,7,5,1,10,2
8:40 PM ET,4,6,11,2,8,7,5,9,1,10,3
8:48 PM ET,3,6,11,2,9,7,8,5,1,10,4
8:56 PM ET,3,5,6,4,10,7,9,8,2,11,1
9:04 PM ET,3,4,7,5,11,10,9,6,2,8,1
9:12 PM ET,1,4,7,6,11,9,8,5,2,10,3
9:20 PM ET,6,3,9,5,11,7,8,4,1,10,2
9:28 PM ET,4,3,5,9,10,8,6,7,2,11,1
9:36 PM ET,5,3,8,11,7,4,8,6,1,10,2
9:44 PM ET,4,3,7,10,11,5,9,6,2,8,1
9:52 PM ET,3,5,8,6,11,9,7,1,2,10,4
10:00 PM ET,2,3,6,8,11,10,7,4,1,9,5
10:08 PM ET,5,1,7,8,10,11,6,4,2,9,3
10:16 PM ET,3,5,10,4,8,9,7,6,2,11,1
10:24 PM ET,3,5,8,7,9,10,4,6,2,11,1
10:32 PM ET,4,7,8,6,11,10,5,3,2,9,1
10:40 PM ET,5,4,6,8,10,11,7,2,1,9,3
10:48 PM ET,6,4,9,8,7,10,2,5,1,11,3
10:56 PM ET,5,4,9,6,8,10,7,3,1,11,2
11:04 PM ET,4,3,10,6,11,8,9,5,2,7,1
11:12 PM ET,5,4,1,8,11,5,9,7,3,10,2
