Search interest in candidates during democratic debate on 12/19/2015,,,,
week,time,Hillary Clinton,Martin O'Malley,Bernie Sanders
1,8:28 PM ET,2,3,1
2,8:36 PM ET,2,3,1
3,8:44 PM ET,2,3,1
4,8:52 PM ET,2,3,1
5,9:00 PM ET,2,3,1
6,9:08 PM ET,2,3,1
7,9:16 PM ET,2,3,1
8,9:24 PM ET,2,3,1
9,9:32 PM ET,2,3,1
10,9:40 PM ET,1,3,2
11,9:48 PM ET,2,3,1
12,9:56 PM ET,3,2,1
13,10:04 PM ET,3,2,1
14,10:12 PM ET,2,3,1
15,10:20 PM ET,2,3,1
16,10:28 PM ET,2,3,1
17,10:36 PM ET,3,2,1
18,10:44 PM ET,2,3,1
