Indexed daily search volume for Tour de France cyclists in France. The largest value in this data set is 100. Other numbers have been indexed proportionally.,,,,,,,,,,,,,,,,,,,
Cyclist,Team,Jul 7 2018,Jul 8 2018,Jul 9 2018,Jul 10 2018,Jul 11 2018,Jul 12 2018,Jul 13 2018,Jul 14 2018,Jul 15 2018,Jul 16 2018,Jul 17 2018,Jul 18 2018,Jul 19 2018,Jul 20 2018,Jul 21 2018,Jul 22 2018,Jul 23 2018,Jul 24 2018
Daniel Navarro,Cofidis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Daniel Oss,Bora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniele Bennati,Movistar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Darwin Atapuma,Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daryl Impey,Mitchelton,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Gaudu,Groupama,1,1,0,1,1,2,0,1,0,0,7,1,9,1,1,0,0,0
Dimitri Claeys,Cofidis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dion Smith,Wanty,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Dmitriy Gruzdev,Astana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domenico Pozzovivo,Bahrain-Merida,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3
Dylan Groenewegen,Lotto NL,1,0,0,0,0,0,4,6,2,0,0,0,2,0,0,0,0,0
Edvald Boasson Hagen,Dimension Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Edward Theuns,Sunweb,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egan Bernal,Sky,2,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0
Elie Gesbert,Fortuneo,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,3,2,0
Fabien Grellier,Direct Energie,1,3,0,0,0,1,0,2,1,0,0,0,0,0,0,3,0,0
Fernando Gaviria,QST,10,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Florian Vachon,Fortuneo,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Franco Pellizotti,Bahrain-Merida,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
Geraint Thomas,Sky,0,0,1,0,0,0,1,1,0,0,3,25,39,12,11,14,5,7
Gianni Moscon,Sky,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47,32,10
Gorka Izagirre,Bahrain-Merida,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Greg Van Avermaet,BMC,0,1,2,1,0,1,1,1,5,0,7,1,0,2,0,2,0,1
Gregor Mühlberger,Bora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guillaume Martin,Wanty,1,1,0,1,1,0,0,1,1,0,1,1,4,1,1,3,0,2
Guillaume Van Keirsbulck,Wanty,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Heinrich Haussler,Bahrain-Merida,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Boswell,Katusha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilnur Zakarin,Katusha,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Imanol Erviti,Movistar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ion Izagirre,Bahrain-Merida,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jack Bauer,Mitchelton,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jacopo Guarnieri,Groupama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
