"Rankings of early debate candidates by minute based on US searches, 9/16/2015",,,,
time,Lindsey Graham,Bobby Jindal,George Pataki,Rick Santorum
6:00 PM ET,1,1,4,3
6:08 PM ET,2,1,4,3
6:16 PM ET,2,3,1,4
6:24 PM ET,1,2,4,3
6:32 PM ET,1,2,3,4
6:40 PM ET,1,2,4,3
6:48 PM ET,1,2,3,4
6:56 PM ET,2,4,1,3
7:04 PM ET,1,2,4,3
7:12 PM ET,1,4,2,3
7:20 PM ET,1,4,3,2
7:28 PM ET,1,2,4,3
7:36 PM ET,1,4,2,3
7:44 PM ET,2,1,4,3
7:52 PM ET,2,1,4,3
