"Rankings of debate issues by minute based on US searches, 9/16/2015",,,,,,,,,,
time,Immigration,Economy,Same-Sex Marriage,Health Care,Taxes,Abortion,Minimum Wage,Iran Nuclear Deal,ISIS,Marijuana Legality
6:00 PM ET,3,5,8,2,1,7,6,10,4,9
6:08 PM ET,3,5,8,2,1,7,6,10,4,9
6:16 PM ET,4,5,8,2,1,7,6,9,3,9
6:24 PM ET,4,6,8,3,1,7,5,10,2,9
6:32 PM ET,3,5,8,4,1,7,6,10,2,9
6:40 PM ET,3,5,8,4,1,7,6,10,2,9
6:48 PM ET,4,5,8,3,1,7,6,9,2,10
6:56 PM ET,3,5,7,2,1,8,6,9,4,10
7:04 PM ET,2,6,8,3,1,7,5,9,4,10
7:12 PM ET,4,6,8,3,1,7,2,9,5,10
7:20 PM ET,3,6,8,5,1,7,2,9,4,10
7:28 PM ET,4,6,8,3,1,7,5,9,2,10
7:36 PM ET,4,5,8,2,1,6,7,9,3,10
7:44 PM ET,3,6,8,4,1,7,5,9,2,10
7:52 PM ET,4,6,8,3,1,7,5,10,2,9
8:00 PM ET,2,5,8,3,1,7,6,9,4,10
8:08 PM ET,2,4,8,3,1,7,6,9,5,10
8:16 PM ET,2,5,8,3,1,7,6,9,4,10
8:24 PM ET,2,5,8,3,1,6,7,9,4,10
8:32 PM ET,3,5,8,4,1,6,9,7,2,10
8:40 PM ET,4,8,7,5,1,6,9,2,3,10
8:48 PM ET,5,8,4,6,1,3,9,7,2,10
8:56 PM ET,3,7,6,4,2,1,8,9,5,10
9:04 PM ET,3,6,8,4,2,1,7,9,5,10
9:12 PM ET,2,5,8,4,1,3,7,9,6,10
9:20 PM ET,1,6,8,4,2,3,7,9,5,10
9:28 PM ET,2,7,8,4,1,3,6,9,5,10
9:36 PM ET,3,7,8,6,1,4,2,9,5,10
9:44 PM ET,3,7,8,6,1,5,2,9,4,10
9:52 PM ET,3,7,8,5,1,4,6,9,2,10
10:00 PM ET,3,7,8,5,2,4,6,9,1,10
10:08 PM ET,3,6,8,5,2,4,7,9,1,10
10:16 PM ET,5,7,3,6,1,4,8,10,2,9
10:24 PM ET,2,6,7,5,1,3,8,10,4,9
10:32 PM ET,2,6,8,5,1,4,7,10,3,9
10:40 PM ET,2,6,8,3,1,5,7,10,4,9
10:48 PM ET,2,6,8,3,1,5,7,10,4,9
10:56 PM ET,3,6,8,5,1,2,7,10,4,9
11:04 PM ET,2,8,7,5,1,3,6,10,4,9
11:12 PM ET,4,7,7,5,1,2,6,9,3,10
