"Search interest in Copa America v. Women's World Cup from 6/24/15-7/1/15
All values indexed to 100, where 100 was the max search interest",,
Time in EST,Copa America,Women's World Cup
6/24 8:00 EST,18.71,7.87
6/24 12:00 EST,22.94,8.82
6/24 16:00 EST,43.37,10.82
6/24 20:00 EST,65.14,10.59
6/25 0:00 EST,20.37,4.90
6/25 4:00 EST,16.05,3.67
6/25 8:00 EST,19.71,5.14
6/25 12:00 EST,23.70,7.94
6/25 16:00 EST,41.06,10.89
6/25 20:00 EST,54.40,10.87
6/26 0:00 EST,20.48,5.58
6/26 4:00 EST,15.18,4.48
6/26 8:00 EST,19.63,8.32
6/26 12:00 EST,24.85,16.40
6/26 16:00 EST,52.14,63.11
6/26 20:00 EST,99.20,67.25
6/27 0:00 EST,33.06,28.78
6/27 4:00 EST,23.22,15.80
6/27 8:00 EST,24.78,16.37
6/27 12:00 EST,29.63,22.01
6/27 16:00 EST,73.67,47.71
6/27 20:00 EST,56.45,46.90
6/28 0:00 EST,29.57,18.51
6/28 4:00 EST,20.19,14.61
6/28 8:00 EST,20.45,13.09
6/28 12:00 EST,21.22,13.75
6/28 16:00 EST,23.28,14.26
6/28 20:00 EST,20.65,11.43
6/29 0:00 EST,12.37,5.87
6/29 4:00 EST,10.20,4.61
6/29 8:00 EST,14.63,7.00
6/29 12:00 EST,20.82,9.99
6/29 16:00 EST,42.18,13.90
6/29 20:00 EST,58.84,14.71
6/30 0:00 EST,20.64,6.28
6/30 4:00 EST,14.97,5.20
6/30 8:00 EST,15.95,10.12
6/30 12:00 EST,19.20,17.17
6/30 16:00 EST,42.93,52.06
6/30 20:00 EST,79.58,100.00
7/1 0:00 EST,28.25,28.01
7/1 4:00 EST,17.90,12.78
7/1 8:00 EST,15.55,16.23
