GeoType,Geo,query,rank_queries,queries_index
Provincia,Madrid,sopa de marisco,3,82.69374069
Provincia,Madrid,aperitivos para navidad,4,77.78315946
Provincia,Madrid,cebolla caramelizada,5,63.98658718
Provincia,Madrid,crema de calabaza,6,59.05737705
Provincia,Lugo,langostinos al horno,1,100
Provincia,Lugo,sopa de pescado,2,49.76101965
Provincia,Lugo,recetas de navidad,3,39.98937865
Provincia,Lugo,tronco de navidad,4,38.23685608
Provincia,Lugo,vieiras,5,37.22782793
Provincia,Lleida,recetas de navidad,1,100
Provincia,Lleida,canapes faciles,2,96.54054054
Provincia,Lleida,aperitivos para navidad,3,96.10810811
Provincia,Lleida,aperitivos navidad,4,88.43243243
Provincia,Lleida,canapes para navidad,5,87.35135135
Provincia,Lleida,galletas de navidad,6,82.7027027
Provincia,Leon,sopa de pescado,1,100
Provincia,Leon,langostinos al horno,2,90.66666667
Provincia,Leon,sopa de marisco,3,70.24761905
Provincia,Leon,recetas de navidad,4,68.72380952
Provincia,Leon,solomillo wellington,5,51.84761905
Provincia,Leon,arroz con bogavante,6,51.27619048
Provincia,Las Palmas,sopa de marisco,1,100
Provincia,Las Palmas,solomillo wellington,2,80.66313736
Provincia,Las Palmas,recetas de navidad,3,72.38785177
Provincia,Las Palmas,salsa de champiñones,4,59.57091112
Provincia,Las Palmas,galletas de navidad,5,55.50292561
Provincia,Las Palmas,huevos rellenos,6,50.84981889
Provincia,La Rioja,sopa de pescado,1,100
Provincia,La Rioja,recetas de navidad,2,67.06539075
Provincia,La Rioja,bacalao a la riojana,3,63.55661882
Provincia,La Rioja,langostinos al horno,4,48.72408293
Provincia,La Rioja,rodaballo al horno,5,41.62679426
Provincia,La Rioja,postres navideños,6,40.51036683
Provincia,Jaen,recetas de navidad,1,100
Provincia,Jaen,postres navideños,2,81.77240685
Provincia,Jaen,aperitivos para navidad,3,80.41289023
Provincia,Jaen,solomillo wellington,4,73.76636455
Provincia,Jaen,lomo de orza,5,55.43806647
Provincia,Jaen,solomillo relleno,6,55.43806647
Provincia,Illes Balears,solomillo wellington,1,100
Provincia,Illes Balears,recetas de navidad,2,81.21791881
Provincia,Illes Balears,galletas de navidad,3,51.74988334
Provincia,Illes Balears,postres navideños,4,51.16658889
Provincia,Illes Balears,entrantes navideños,5,48.27344844
Provincia,Illes Balears,aperitivos para navidad,6,42.5104993
Provincia,Huesca,recetas de navidad,1,100
Provincia,Huesca,langostinos al horno,2,88.59649123
Provincia,Huesca,aperitivos para navidad,3,86.69590643
Provincia,Huesca,sopa de pescado,4,81.28654971
Provincia,Huesca,entrantes navideños,5,65.64327485
Provincia,Huesca,cebolla caramelizada,6,63.15789474
Provincia,Huelva,postres navideños,1,100
Provincia,Huelva,recetas de navidad,2,92.34945706
Provincia,Huelva,solomillo al whisky,3,66.14017769
Provincia,Huelva,lomo relleno,4,59.970385
Provincia,Huelva,solomillo wellington,5,51.13524186
Provincia,Huelva,sopa de marisco,6,44.81737414
Provincia,Guadalajara,recetas de navidad,1,100
Provincia,Guadalajara,solomillo wellington,2,72.65135699
Provincia,Guadalajara,aperitivos para navidad,3,70.14613779
