country,MAX,2ND,3RD
Aruba,Manchester United,Chelsea,Manchester City
Afghanistan,Manchester United,Chelsea,Arsenal
Angola,Manchester United,Chelsea,Manchester City
Anguilla,Manchester United,Chelsea,Arsenal
Åland Islands,Manchester United,Arsenal,Liverpool
Albania,Manchester United,Chelsea,Arsenal
Andorra,Manchester United,Manchester City,Arsenal
United Arab Emirates,Manchester United,Arsenal,Chelsea
Argentina,Arsenal,Manchester City,Manchester United
Armenia,Manchester United,Chelsea,Arsenal
American Samoa,Manchester United,Tottenham Hotspur,Arsenal
Antigua and Barbuda,Manchester United,Chelsea,Arsenal
Australia,Manchester United,Liverpool,Arsenal
Austria,Manchester United,Arsenal,Liverpool
Azerbaijan,Manchester United,Chelsea,Arsenal
Burundi,Chelsea,Manchester United,Arsenal
Belgium,Manchester United,Chelsea,Manchester City
Benin,Chelsea,Manchester United,Arsenal
Caribbean Netherlands,Manchester United,Manchester City,Liverpool
Burkina Faso,Chelsea,Manchester United,Manchester City
Bangladesh,Manchester United,Manchester City,Chelsea
Bulgaria,Arsenal,Manchester United,Liverpool
Bahrain,Manchester United,Chelsea,Arsenal
The Bahamas,Manchester United,Chelsea,Tottenham Hotspur
Bosnia and Herzegovina,Manchester United,Chelsea,Arsenal
Saint-Barthélemy,Manchester United,Arsenal,Manchester City
Belarus,Manchester United,Arsenal,Chelsea
Belize,Manchester United,Chelsea,Arsenal
Bermuda,Manchester United,Arsenal,Liverpool
Bolivia,Manchester United,Manchester City,Chelsea
Brazil,Manchester City,Manchester United,Chelsea
Barbados,Manchester United,Chelsea,Arsenal
Brunei,Manchester United,Liverpool,Arsenal
Bhutan,Manchester United,Chelsea,Arsenal
Botswana,Manchester United,Arsenal,Chelsea
Central African Republic,Manchester United,Arsenal,Chelsea
Canada,Manchester United,Chelsea,Arsenal
Switzerland,Manchester United,Arsenal,Chelsea
Chile,Arsenal,Manchester City,Everton
China,Manchester United,Arsenal,Liverpool
Côte d'Ivoire,Chelsea,Manchester United,Manchester City
Cameroon,Manchester United,Chelsea,Manchester City
Democratic Republic of the Congo,Chelsea,Manchester United,Manchester City
Republic of the Congo,Chelsea,Manchester United,Manchester City
Cook Islands,Manchester United,Chelsea,Tottenham Hotspur
Colombia,Manchester United,Manchester City,Arsenal
Comoros,Manchester United,Chelsea,Manchester City
Cape Verde,Manchester United,Chelsea,Liverpool
Costa Rica,Manchester United,Manchester City,Chelsea
Cuba,Manchester United,Chelsea,Manchester City
Curaçao,Manchester United,Arsenal,Chelsea
Christmas Island,Manchester United,Liverpool,West Ham United
Cayman Islands,Manchester United,Arsenal,Chelsea
Cyprus,Manchester United,Liverpool,Arsenal
Czech Republic,Manchester United,Arsenal,Chelsea
Germany,Manchester United,Arsenal,Liverpool
Djibouti,Manchester United,Chelsea,Arsenal
