"Indexed global search interest in topics related to hot weather during summer 2018. The largest value for each topic is 100, while other values are indexed proportionally.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search topic,Jun 4 2018,Jun 5 2018,Jun 6 2018,Jun 7 2018,Jun 8 2018,Jun 9 2018,Jun 10 2018,Jun 11 2018,Jun 12 2018,Jun 13 2018,Jun 14 2018,Jun 15 2018,Jun 16 2018,Jun 17 2018,Jun 18 2018,Jun 19 2018,Jun 20 2018,Jun 21 2018,Jun 22 2018,Jun 23 2018,Jun 24 2018,Jun 25 2018,Jun 26 2018,Jun 27 2018,Jun 28 2018,Jun 29 2018,Jun 30 2018,Jul 1 2018,Jul 2 2018,Jul 3 2018,Jul 4 2018,Jul 5 2018,Jul 6 2018,Jul 7 2018,Jul 8 2018,Jul 9 2018,Jul 10 2018,Jul 11 2018,Jul 12 2018,Jul 13 2018,Jul 14 2018,Jul 15 2018,Jul 16 2018,Jul 17 2018,Jul 18 2018,Jul 19 2018,Jul 20 2018,Jul 21 2018,Jul 22 2018,Jul 23 2018,Jul 24 2018,Jul 25 2018,Jul 26 2018,Jul 27 2018,Jul 28 2018,Jul 29 2018,Jul 30 2018,Jul 31 2018
Air conditioning,68,65,63,63,65,68,63,66,64,61,57,55,58,60,78,72,67,64,60,60,58,64,62,58,63,71,83,91,97,92,87,90,79,81,80,79,70,67,62,63,66,65,75,70,65,64,62,63,63,80,85,89,100,93,72,68,81,85
Barbecue,58,56,59,58,67,91,91,62,59,59,60,68,91,94,56,55,56,55,67,87,89,63,62,62,63,75,98,94,65,72,100,69,68,89,92,62,56,58,61,69,93,89,59,58,60,60,69,91,87,61,59,60,60,64,84,81,58,58
Bikini,62,58,60,59,57,64,77,61,59,57,56,56,62,68,59,59,59,57,57,62,69,62,60,60,61,63,68,78,70,69,69,73,67,75,83,70,67,67,69,66,74,100,83,71,66,64,62,67,73,66,66,64,63,60,65,71,62,60
Cap,79,88,79,79,100,79,84,74,77,75,72,67,72,74,68,64,68,65,66,69,71,67,64,64,65,66,67,71,66,62,67,66,60,68,75,69,64,66,64,62,68,71,67,66,66,65,64,71,72,67,67,65,64,63,67,72,65,64
Fan,43,40,39,39,40,45,44,41,39,37,34,31,35,36,39,39,42,40,38,37,41,47,48,47,51,51,58,65,62,57,57,53,49,57,66,60,48,46,43,44,49,54,61,57,52,52,49,53,57,75,80,84,100,91,63,61,72,75
Sun hat,58,56,52,49,47,56,66,59,51,41,44,41,59,62,58,47,48,43,46,50,81,70,70,62,57,62,88,100,80,73,74,72,61,79,95,77,58,50,46,56,57,90,50,49,46,42,50,54,64,53,49,43,50,48,50,54,44,41
Sunglasses,73,66,69,69,69,83,87,72,70,65,66,66,77,79,66,63,63,65,66,75,80,71,70,72,71,76,85,91,76,75,77,75,69,83,100,79,71,69,69,70,83,89,77,73,71,72,72,79,85,71,69,70,69,68,76,80,66,66
Sunscreen,82,76,76,71,71,82,80,71,68,68,63,61,71,73,71,69,70,70,69,72,77,79,77,77,82,86,94,100,92,87,94,86,76,84,96,83,76,73,70,72,83,82,75,73,71,71,68,72,74,70,69,68,67,60,65,67,63,62
Swimsuit,73,74,71,68,65,80,87,72,69,67,64,63,76,79,71,68,69,68,66,76,82,72,71,72,73,76,87,100,84,80,80,81,74,82,97,81,76,71,72,72,81,92,83,74,73,70,69,79,85,75,70,67,67,62,72,80,69,68
