"Country searches on May 30, 2015, FA Cup Final day",,,
country,"Arsenal (indexed, 1-100)",Aston Villa (indexed 1-100),Team
Australia,100,6.351084799,Arsenal
British Virgin Islands,70.49670003,0,Arsenal
San Marino,59.60696587,0,Arsenal
U.S. Virgin Islands,51.09168504,25.54584252,Arsenal
Jersey,39.99812768,0,Arsenal
Guam,39.8026971,7.960539438,Arsenal
Guernsey,37.98785908,0,Arsenal
Philippines,31.67003325,12.96795232,Arsenal
Gibraltar,29.74302961,0,Arsenal
United Kingdom,29.69687786,3.210110258,Arsenal
Monaco,27.71892931,0,Arsenal
Isle of Man,26.49996435,0,Arsenal
Faroe Islands,26.37286622,0,Arsenal
Grenada,22.31858998,0,Arsenal
Sierra Leone,21.69129234,0,Arsenal
Liberia,21.46898041,0,Arsenal
Malaysia,19.84915949,0.700558553,Arsenal
Botswana,19.64275099,0,Arsenal
Antigua and Barbuda,19.16773021,19.16773021,Arsenal
Macau,18.05085794,3.008476323,Arsenal
New Zealand,17.82300628,7.028791199,Arsenal
Mayotte,16.66285636,0,Arsenal
Brunei Darussalam,16.36165322,0,Arsenal
United States,14.58080795,13.68335413,Arsenal
Malta,13.02942384,2.605884748,Arsenal
Mongolia,12.65824723,15.18989671,Aston Villa
Belize,12.60818024,0,Arsenal
Barbados,12.52204409,6.261022023,Arsenal
Kenya,11.93141685,2.386283351,Arsenal
Luxembourg,11.92785814,0,Arsenal
Singapore,11.88169967,3.456494468,Arsenal
South Sudan,11.5823962,0,Arsenal
Ireland,11.4224682,2.239699671,Arsenal
Guadeloupe,11.26791519,7.511943441,Arsenal
Puerto Rico,10.72181097,7.422792184,Arsenal
Hong Kong,9.624920832,6.332184749,Arsenal
Taiwan,9.534571969,3.146408741,Arsenal
Bahrain,9.501067119,1.583511179,Arsenal
Jamaica,9.125786423,3.650314569,Arsenal
Curaçao,9.07945115,0,Arsenal
Haiti,8.843976868,0,Arsenal
South Africa,8.415766021,2.073449602,Arsenal
Guyana,8.056765733,8.056765733,Arsenal
Dominican Republic,6.982751961,7.913785568,Aston Villa
Iceland,6.639489983,6.639489983,Arsenal
Cyprus,6.49969577,1.857055927,Arsenal
Trinidad and Tobago,6.355091145,0,Arsenal
Nepal,6.226900797,1.037816784,Arsenal
Cambodia,6.205380261,0,Arsenal
Rwanda,6.132711694,0,Arsenal
United Arab Emirates,5.75993507,0.98741745,Arsenal
Montenegro,5.562713831,0,Arsenal
Nicaragua,5.297439895,2.648719924,Arsenal
Malawi,4.66093886,0,Arsenal
Mauritania,4.609655316,0,Arsenal
Canada,4.209595357,4.810966142,Aston Villa
Qatar,3.979909588,3.316591347,Arsenal
Madagascar,3.637636739,0,Arsenal
Panama,3.595359379,2.157215599,Arsenal
China,3.544431603,10.63329486,Aston Villa
France,3.44020538,1.244697417,Arsenal
Slovenia,3.432423594,4.290529481,Aston Villa
C™te d'Ivoire,3.384883114,0,Arsenal
Israel,3.375765724,2.531824316,Arsenal
Saint Helena,3.289951461,0,Arsenal
Bosnia and Herzegovina,3.281851728,0,Arsenal
Afghanistan,3.27087076,0,Arsenal
Latvia,3.094178863,2.062785924,Arsenal
Uganda,3.067638828,3.067638828,Arsenal
Honduras,3.001087514,1.000362505,Arsenal
Estonia,2.986722394,1.49336122,Arsenal
Greece,2.875018585,2.156263962,Arsenal
Switzerland,2.845161075,1.681231536,Arsenal
Lebanon,2.765880128,2.074410108,Arsenal
Argentina,2.764120483,0.937826593,Arsenal
Nigeria,2.738950448,1.369475224,Arsenal
Spain,2.608889156,1.043555653,Arsenal
Portugal,2.592629394,3.190928485,Aston Villa
Bulgaria,2.58470412,0.287189326,Arsenal
Myanmar,2.535589433,1.267794693,Arsenal
Democratic Republic of the Congo,2.322349333,2.322349333,Arsenal
Italy,2.300460736,1.36510856,Arsenal
