"Rankings of each Republican candidate during the GOP Debate, 11/10",,,,,,,,,,,,
Time (in GMT),Jeb Bush,Ben Carson,Ted Cruz,John Kasich,Rand Paul,Marco Rubio,Donald Trump,Carly Fiorina,Bobby Jindal,Chris Christie,Mike Huckabee,Rick Santorum
11/11/15 0:00,9,2,8,12,11,4,1,10,6,3,6,5
11/11/15 0:08,6,1,9,12,11,7,2,10,3,4,8,5
11/11/15 0:16,9,2,7,12,11,8,1,10,3,4,5,6
11/11/15 0:24,6,2,9,12,10,8,1,11,5,4,7,3
11/11/15 0:32,8,2,6,12,11,6,1,10,3,4,9,5
11/11/15 0:40,8,2,10,12,11,6,1,9,5,4,7,3
11/11/15 0:48,8,2,8,12,11,7,1,10,3,4,6,4
11/11/15 0:56,8,2,9,12,10,7,1,11,5,4,6,3
11/11/15 1:04,8,3,9,12,11,7,2,10,4,5,6,1
11/11/15 1:12,8,2,9,12,10,7,1,11,5,4,6,3
11/11/15 1:20,7,1,9,12,10,4,2,11,5,6,8,3
11/11/15 1:28,9,1,7,12,10,4,2,11,3,5,6,8
11/11/15 1:36,4,1,7,11,11,3,2,9,5,6,10,8
11/11/15 1:44,5,1,7,9,10,4,2,8,3,6,11,12
11/11/15 1:52,6,1,4,7,10,3,2,8,9,5,11,12
11/11/15 2:00,8,1,5,4,9,3,2,7,10,6,11,12
11/11/15 2:08,7,2,5,1,8,3,4,6,10,9,11,12
11/11/15 2:16,4,3,2,6,8,7,5,1,10,9,11,12
11/11/15 2:24,8,1,6,7,3,5,2,4,11,9,10,12
11/11/15 2:32,7,2,5,4,8,3,1,6,10,9,11,11
11/11/15 2:40,8,5,2,6,7,3,4,1,11,9,10,12
11/11/15 2:48,8,1,4,7,5,6,2,3,11,9,10,12
11/11/15 2:56,5,4,1,8,6,2,3,7,11,9,10,12
11/11/15 3:04,8,5,2,7,6,3,1,4,11,9,10,12
11/11/15 3:12,8,2,4,6,3,5,1,7,12,9,10,11
11/11/15 3:20,3,1,6,8,7,5,2,4,10,9,11,12
11/11/15 3:28,8,4,7,3,6,1,2,5,11,9,10,12
11/11/15 3:36,6,2,5,1,7,4,3,8,11,9,10,12
11/11/15 3:44,7,2,1,4,8,3,5,6,11,9,10,11
11/11/15 3:52,8,5,6,1,7,4,2,3,11,9,10,12
11/11/15 4:00,8,3,4,6,5,2,1,7,11,9,10,12
11/11/15 4:08,8,4,3,1,7,2,5,6,11,9,10,12
11/11/15 4:16,7,2,4,6,8,1,3,5,11,9,10,12
11/11/15 4:24,8,1,4,7,5,2,3,6,11,9,10,12
