"Search interest in the capital punishment in the past year. All values indexed to 100, where 100 is the max search interest.",,
Country,Interest,Rank
Iran,100,1
Palestine,67.66,2
Iraq,48.29,3
Mauritania,38.19,4
Yemen,37.46,5
Jordan,36.53,6
Isle of Man,35.83,7
Lebanon,34.4,8
Syria,32.94,9
Burkina Faso,28.94,10
Bahrain,28.67,11
Oman,28.57,12
Libya,28.04,13
Mauritius,27.51,14
Sudan,27.39,15
Jersey,26.55,16
Qatar (Al Rayyan),26.49,17
Indonesia,26.03,18
Kuwait (Al Jahra),25.43,19
Guam,25.26,20
Egypt,24.96,21
Vietnam,24.89,22
The Bahamas,23.67,23
Saudi Arabia,22.72,24
Australia,21.55,25
Namibia,21.54,26
Monaco,20.81,27
Morocco,20.47,28
Brunei Darussalam (Sarawak),19.96,29
United Arab Emirates (Abu Dhabi),19.64,30
Philippines,18.04,31
Madagascar,17.99,32
Luxembourg,17.98,33
China,17.35,34
Zambia,17.2,35
United States,17.13,36
Singapore,17,37
Cameroon,16.43,38
Algeria,15.56,39
Ireland,15.03,40
New Zealand,15,41
South Korea,14.97,42
Djibouti,14.67,43
United Kingdom,14.44,44
Iceland,14.11,45
Barbados,14.1,46
Tunisia,14.09,47
Jamaica,13.89,48
Haiti,13.64,49
Puerto Rico,13.41,50
Japan,13.31,51
C̫te d'Ivoire,13.09,52
Nicaragua,13.02,53
Liberia,12.72,54
Canada,12.42,55
Norway,12.4,56
Ethiopia (Oromia),12.28,57
Guadeloupe,12.16,58
Taiwan,12.15,59
Nigeria,11.85,60
Sweden,11.75,61
Ghana,11.24,62
Suriname (Sipaliwini),11.22,63
Trinidad and Tobago,10.99,64
Hong Kong,10.88,65
Israel (Southern District),10.83,66
Malta,10.73,67
Sri Lanka,10.69,68
France,10.64,69
Reunion,10.42,70
South Africa,10.33,71
Denmark,10.16,72
Kenya,10.06,73
Belgium (Walloon Region),9.83,74
Switzerland,9.24,75
Uganda,9.2,76
Angola,8.88,77
Cyprus,8.77,78
Guatemala,8.73,79
Netherlands,8.69,80
Cambodia,8.38,81
Nepal,8.18,82
Martinique,8.04,83
Honduras,7.79,84
Pakistan,7.77,85
Malaysia,7.73,86
Germany,7.5,87
India,7.21,88
Belarus,7.19,89
Austria,7.11,90
Finland,7.03,91
El Salvador,6.94,92
Uzbekistan,6.87,93
Mozambique,6.81,94
Laos,6.76,95
Greece,6.54,96
Czech Republic,6.27,97
Costa Rica,6.22,98
Italy,6.17,99
Tanzania,6.06,100
Kazakhstan,6.05,101
Russia,6.04,102
Peru,5.9,103
Panama,5.52,104
Bangladesh,5.34,105
Portugal,5.27,106
Latvia,5.2,107
Bolivia,5.19,108
Myanmar (Burma),5.19,109
Colombia,5.16,110
Brazil,5.11,111
Lithuania,5.11,112
Croatia,5.05,113
Romania,5.03,114
Paraguay,5,115
Dominican Republic,4.81,116
Hungary,4.78,117
Macedonia (FYROM),4.77,118
Armenia,4.67,119
Ukraine,4.6,120
Slovakia,4.32,121
Mexico,4.28,122
Thailand,4.24,123
Poland,4.21,124
Chile,4.19,125
Spain,4.13,126
Ecuador,4.04,127
Uruguay,3.81,128
Georgia,3.48,129
Bulgaria,3.36,130
Argentina,3.33,131
Azerbaijan,3.29,132
Serbia,2.94,133
Bosnia and Herzegovina (BA-SRP),2.88,134
Venezuela,2.57,135
Turkey,1.82,136
