"Search interest in Denmark Party Leaders by City from 5/27/15-6/15/15
All values indexed to 100, where 100 is the max search interest",,,,,,,,,,,
City,Most Searched,Kristian Thulesen Dahl,Helle Thorning-Schmidt,Søren Pape Poulsen,Morten Østergaard,Lars Løkke Rasmussen,Pia Olsen Dyhr,Uffe Elbæk,Johanne Schmidt-Nielsen,Stig Grenov,Anders Samuelsen
Solrod Strand (Region Zealand Denmark),Helle Thorning-Schmidt,0.00,0.45,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00
Sonderborg (Southern Denmark Region Denmark),Johanne Schmidt-Nielsen,0.09,0.22,0.04,0.04,0.09,0.04,0.13,0.26,0.00,0.00
Soro (Region Zealand Denmark),Søren Pape Poulsen,0.00,0.00,0.31,0.31,0.31,0.00,0.31,0.00,0.00,0.00
Stege (Region Zealand Denmark),Pia Olsen Dyhr,0.00,0.00,0.00,0.00,0.00,0.69,0.00,0.00,0.00,0.00
Store Heddinge (Region Zealand Denmark),Lars Løkke Rasmussen,0.00,0.00,0.00,0.00,1.51,0.00,0.00,0.00,0.00,0.00
Struer (Central Denmark Region Denmark),Lars Løkke Rasmussen,0.00,0.29,0.00,0.00,0.58,0.00,0.00,0.29,0.00,0.00
Svendborg (Southern Denmark Region Denmark),Helle Thorning-Schmidt,0.13,0.46,0.07,0.00,0.07,0.13,0.13,0.07,0.00,0.00
Taastrup (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.00,0.25,0.08,0.17,0.25,0.08,0.00,0.08,0.00,0.00
Thisted (North Denmark Region Denmark),Lars Løkke Rasmussen,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.16,0.00,0.16
Tjele Municipality (Central Denmark Region Denmark),Johanne Schmidt-Nielsen,0.00,0.11,0.11,0.05,0.11,0.11,0.11,0.16,0.00,0.00
Tollose (Region Zealand Denmark),Søren Pape Poulsen,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.37,0.00,0.00
Tonder (Southern Denmark Region Denmark),Uffe Elbæk,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00
Tune (Region Zealand Denmark),Helle Thorning-Schmidt,0.00,1.26,0.00,0.00,0.00,0.00,1.26,1.26,0.00,0.00
Vamdrup (Southern Denmark Region Denmark),Kristian Thulesen Dahl,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vejle County (Southern Denmark Region Denmark),Helle Thorning-Schmidt,0.20,0.36,0.05,0.20,0.31,0.15,0.10,0.20,0.00,0.15
Veksø (Capital Region of Denmark Denmark),Johanne Schmidt-Nielsen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.00,0.00
Videbaek (Central Denmark Region Denmark),Søren Pape Poulsen,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Virum (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.00,0.69,0.35,0.35,0.69,0.35,0.35,0.35,0.00,0.00
Vojens Municipality (Southern Denmark Region Denmark),Morten Østergaard,0.00,0.00,0.00,0.58,0.00,0.58,0.00,0.00,0.00,0.00
