"Search interest in Denmark Party Leaders by City from 5/27/15-6/15/15
All values indexed to 100, where 100 is the max search interest",,,,,,,,,,,
City,Most Searched,Kristian Thulesen Dahl,Helle Thorning-Schmidt,Søren Pape Poulsen,Morten Østergaard,Lars Løkke Rasmussen,Pia Olsen Dyhr,Uffe Elbæk,Johanne Schmidt-Nielsen,Stig Grenov,Anders Samuelsen
Hinnerup (Central Denmark Region Denmark),Lars Løkke Rasmussen,0.27,0.27,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00
Sabro (Central Denmark Region Denmark),Helle Thorning-Schmidt,0.00,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Auning (Central Denmark Region Denmark),Kristian Thulesen Dahl,3.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Risskov (Central Denmark Region Denmark),Johanne Schmidt-Nielsen,0.22,0.22,0.00,0.00,0.22,0.22,0.00,0.45,0.00,0.22
Tranbjerg (Central Denmark Region Denmark),Helle Thorning-Schmidt,0.00,0.67,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00
Odder (Central Denmark Region Denmark),Helle Thorning-Schmidt,0.04,0.49,0.16,0.00,0.25,0.08,0.16,0.12,0.00,0.04
Galten (Central Denmark Region Denmark),Morten Østergaard,0.00,0.00,0.00,0.22,0.00,0.00,0.22,0.22,0.00,0.22
Skanderborg (Central Denmark Region Denmark),Helle Thorning-Schmidt,0.11,0.43,0.21,0.11,0.32,0.32,0.11,0.11,0.00,0.00
Ry (Central Denmark Region Denmark),Helle Thorning-Schmidt,0.00,2.51,0.00,0.00,1.50,0.00,0.00,0.50,0.00,0.00
Uldum (Central Denmark Region Denmark),Uffe Elbæk,0.00,0.00,0.00,0.00,0.00,0.00,4.82,0.00,0.00,0.00
Juelsminde (Central Denmark Region Denmark),Morten Østergaard,0.00,0.00,0.00,0.53,0.53,0.00,0.00,0.00,0.00,0.00
Stouby (Central Denmark Region Denmark),Helle Thorning-Schmidt,0.00,8.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fredericia (Southern Denmark Region Denmark),Lars Løkke Rasmussen,0.13,0.20,0.07,0.13,0.46,0.20,0.20,0.13,0.00,0.07
Blommenslyst (Southern Denmark Region Denmark),Pia Olsen Dyhr,0.00,0.00,0.00,0.00,0.00,1.68,0.00,0.00,0.00,0.00
Vemmelev (Region Zealand Denmark),Helle Thorning-Schmidt,0.00,1.12,0.00,0.00,0.00,0.00,1.12,0.00,0.00,0.00
Kalundborg (Region Zealand Denmark),Helle Thorning-Schmidt,0.00,0.16,0.00,0.00,0.16,0.00,0.16,0.16,0.00,0.16
Asnæs (Region Zealand Denmark),Lars Løkke Rasmussen,0.00,0.00,0.00,0.00,5.51,0.00,0.00,0.00,0.00,0.00
Nørre Asmindrup (Region Zealand Denmark),Helle Thorning-Schmidt,0.00,0.62,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vig (Region Zealand Denmark),Kristian Thulesen Dahl,0.57,0.00,0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00
Samsø (Central Denmark Region Denmark),Lars Løkke Rasmussen,0.14,0.39,0.08,0.12,0.44,0.11,0.19,0.25,0.00,0.14
Glesborg (Central Denmark Region Denmark),Johanne Schmidt-Nielsen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.81,0.00,0.00
Ørsted (Central Denmark Region Denmark),Kristian Thulesen Dahl,1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hadsund (North Denmark Region Denmark),Helle Thorning-Schmidt,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.00
Tårs (North Denmark Region Denmark),Lars Løkke Rasmussen,0.00,0.00,0.00,0.00,2.31,2.31,0.00,0.00,0.00,0.00
Sindal (North Denmark Region Denmark),Johanne Schmidt-Nielsen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.07,0.00,0.00
Frederiksværk (Capital Region of Denmark Denmark),Morten Østergaard,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
Slangerup (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.00,1.84,0.00,0.00,1.84,0.00,0.00,0.00,0.00,0.00
Værløse (Capital Region of Denmark Denmark),Johanne Schmidt-Nielsen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.00
Rungsted Kyst (Capital Region of Denmark Denmark),Uffe Elbæk,0.00,0.00,0.00,0.00,0.00,0.00,3.80,0.00,0.00,0.00
Gentofte (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.12,0.25,0.00,0.12,0.00,0.00,0.12,0.12,0.00,0.00
Glostrup (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.00,0.27,0.09,0.00,0.09,0.00,0.18,0.09,0.00,0.00
Søborg (Capital Region of Denmark Denmark),Uffe Elbæk,0.09,0.09,0.00,0.09,0.09,0.09,0.18,0.18,0.00,0.00
Hvidovre (Capital Region of Denmark Denmark),Helle Thorning-Schmidt,0.00,0.27,0.00,0.07,0.14,0.07,0.14,0.07,0.00,0.14
Smørum (Capital Region of Denmark Denmark),Lars Løkke Rasmussen,0.00,0.00,0.00,0.00,1.13,0.00,0.00,1.13,0.00,0.00
