Search interest in Confederate Flag in the US,
Month,Search Interest
Jan-04,29.0230151
Feb-04,33.65073392
Mar-04,35.37592757
Apr-04,33.70606332
May-04,37.55984263
Jun-04,20.39285552
Jul-04,18.61475344
Aug-04,17.1575261
Sep-04,26.13685776
Oct-04,19.29037851
Nov-04,21.37079879
Dec-04,24.22063681
Jan-05,19.36942258
Feb-05,29.09548766
Mar-05,28.87922186
Apr-05,27.80864996
May-05,33.4088387
Jun-05,20.32683151
Jul-05,17.60448349
Aug-05,18.48831906
Sep-05,21.2250145
Oct-05,26.24086022
Nov-05,23.64156787
Dec-05,19.03235773
Jan-06,24.70508946
Feb-06,23.76485025
Mar-06,24.58436951
Apr-06,24.11082101
May-06,33.54427629
Jun-06,19.20005098
Jul-06,16.74175731
Aug-06,17.05916969
Sep-06,20.7614039
Oct-06,22.270671
Nov-06,20.97122072
Dec-06,17.80000409
Jan-07,22.4648503
Feb-07,21.82770568
Mar-07,23.59149363
Apr-07,24.02945765
May-07,28.27286863
Jun-07,19.8895815
Jul-07,17.64092593
Aug-07,17.44335427
Sep-07,18.06292536
Oct-07,20.45014837
Nov-07,18.31511886
Dec-07,19.61856561
Jan-08,22.31590843
Feb-08,18.18476563
Mar-08,20.85803809
Apr-08,22.29213344
May-08,22.43666726
Jun-08,22.99164999
Jul-08,15.83303891
Aug-08,16.95282181
Sep-08,19.04311426
Oct-08,17.86349897
Nov-08,21.26647395
Dec-08,16.84516037
Jan-09,17.24106436
Feb-09,17.41800644
Mar-09,18.93150008
Apr-09,19.43864232
May-09,26.63716039
Jun-09,15.96783468
Jul-09,14.56860011
Aug-09,14.31499664
Sep-09,18.47152175
Oct-09,16.37454979
Nov-09,15.35277965
Dec-09,14.92293005
Jan-10,14.45583421
Feb-10,16.61674596
Mar-10,17.45536025
Apr-10,20.05828252
May-10,22.65469285
Jun-10,14.68635001
Jul-10,14.41373456
Aug-10,14.16061076
Sep-10,13.93454059
Oct-10,14.81115681
Nov-10,14.12891475
Dec-10,12.93827103
Jan-11,16.00294286
Feb-11,16.49632021
Mar-11,21.21839354
Apr-11,22.08767318
May-11,23.36234071
Jun-11,18.91399097
Jul-11,17.94294495
Aug-11,17.25989511
Sep-11,19.60072032
Oct-11,20.65661391
Nov-11,18.47731219
Dec-11,21.95142048
Jan-12,19.59547162
Feb-12,20.99259644
Mar-12,20.93115569
Apr-12,24.5820489
May-12,24.02717182
Jun-12,23.23740947
Jul-12,21.31915449
Aug-12,21.07093838
Sep-12,21.35376818
Oct-12,19.6239336
Nov-12,23.35274881
Dec-12,21.14118542
Jan-13,22.39338816
Feb-13,22.47677645
Mar-13,21.4966279
Apr-13,26.75814799
May-13,27.91626254
Jun-13,23.73400823
Jul-13,22.9739579
Aug-13,20.73824168
Sep-13,22.28047449
Oct-13,27.22919188
Nov-13,28.24577407
Dec-13,20.6011661
Jan-14,19.88591783
Feb-14,22.82491052
Mar-14,23.51203034
Apr-14,25.90476177
May-14,27.56113333
Jun-14,19.89172749
Jul-14,22.04046599
Aug-14,22.29798713
Sep-14,21.75925115
Oct-14,19.21135835
Nov-14,19.72288693
Dec-14,19.61995519
Jan-15,18.27173763
Feb-15,20.93952646
Mar-15,25.18431777
Apr-15,24.93891119
May-15,36.49791589
Jun-15,100
