"Weekly search interest in all Brazil's presidential candidates along 2018. Search interest indexed across all candidates, which means all values are presented on a scale from 0 to 100, where 100 means the highest search interest and 0 means the lowest or that there has not been enough data. Choose this table if you're looking for how candidates compare in search. Source: Google Trends",,,,,,,,,,,,,
Week,Álvaro Dias,Cabo Daciolo,Ciro Gomes,Eymael,Fernando Haddad,Geraldo Alckmin,Guilherme Boulos,Henrique Meirelles,Jair Bolsonaro,João Amoêdo,João Goulart Filho,Marina Silva,Vera Lúcia
Dec 31 2017,0,0,0,0,0,0,0,0,2,0,0,0,0
Jan 07 2018,0,0,0,0,0,0,0,0,4,0,0,0,0
Jan 14 2018,0,0,0,0,0,0,0,0,2,0,0,0,0
Jan 21 2018,0,0,1,0,0,0,0,0,3,0,0,0,0
Jan 28 2018,0,0,1,0,0,0,0,0,3,0,0,0,0
Feb 04 2018,0,0,0,0,0,0,0,0,2,0,0,0,0
Feb 11 2018,0,0,0,0,0,0,0,0,3,0,0,0,0
Feb 18 2018,0,0,0,0,0,0,0,0,3,0,0,0,0
Feb 25 2018,0,0,0,0,0,0,0,0,2,0,0,0,0
Mar 04 2018,0,0,0,0,0,0,0,0,3,0,0,0,0
Mar 11 2018,0,0,0,0,0,0,0,0,3,0,0,0,0
Mar 18 2018,0,0,0,0,0,0,0,0,3,0,0,0,0
Mar 25 2018,0,0,0,0,0,0,0,0,4,0,0,0,0
Apr 01 2018,0,0,1,0,0,0,0,0,4,0,0,0,0
Apr 08 2018,0,0,2,0,0,1,0,0,5,0,0,0,0
Apr 15 2018,0,0,0,0,0,0,0,0,4,0,0,0,0
Apr 22 2018,0,0,1,0,0,0,0,0,3,0,0,0,0
Apr 29 2018,0,0,0,0,0,0,0,0,2,0,0,0,0
May 06 2018,0,0,1,0,0,0,1,0,2,0,0,0,0
May 13 2018,0,0,1,0,0,0,0,0,2,0,0,0,0
May 20 2018,0,0,1,0,0,0,0,0,3,0,0,0,0
May 27 2018,0,0,2,0,0,0,0,0,4,0,0,0,0
Jun 03 2018,0,0,1,0,0,0,0,0,3,0,0,0,0
Jun 10 2018,0,0,1,0,0,0,0,0,2,0,0,0,0
Jun 17 2018,0,0,1,0,0,0,0,0,2,0,0,0,0
Jun 24 2018,0,0,1,0,0,0,0,0,2,0,0,0,0
Jul 01 2018,0,0,1,0,0,0,0,0,2,0,0,0,0
Jul 08 2018,0,0,1,0,0,0,0,0,3,0,0,0,0
Jul 15 2018,0,0,1,0,0,0,0,0,4,0,0,0,0
Jul 22 2018,0,0,1,0,0,1,0,0,6,0,0,0,0
Jul 29 2018,1,0,2,0,0,1,0,0,16,1,0,1,0
Aug 05 2018,2,3,3,0,1,1,1,1,14,1,0,1,0
Aug 12 2018,1,2,2,0,1,1,1,0,11,3,0,1,0
Aug 19 2018,1,1,2,0,1,1,1,0,13,4,0,1,0
Aug 26 2018,1,1,5,0,1,2,1,0,39,5,0,3,0
Sep 02 2018,1,1,5,0,3,2,1,1,100,3,0,2,0
Sep 09 2018,1,1,8,0,9,1,1,1,62,2,0,2,0
Sep 16 2018,1,2,9,0,12,2,1,1,52,2,0,2,0
Sep 23 2018,1,4,6,0,10,2,1,1,56,2,0,2,0
Sep 30 2018,1,7,7,0,14,2,1,1,95,2,0,2,0
