players name,rate of growth in %,search interest season 16/17,search interest season 15/16,Team
Dennis Diekmeier,28,0.5,0.4,Hamburger SV
Thiago,28,2.4,1.8,Bayern München
Sebastian Langkamp,28,0.2,0.1,Hertha BSC
Clemens Fritz,27,1.0,0.8,Werder Bremen
Raffael,26,1.9,1.5,Bor. Mönchengladbach
Lukas Klostermann,26,0.2,0.2,RB Leipzig
Donis Avdijaj,26,0.6,0.5,FC Schalke 04
Koen Casteels,25,0.2,0.1,VfL Wolfsburg
Amir Abrashi,25,0.2,0.1,SC Freiburg
Philipp Lahm,24,9.1,7.4,Bayern München
Niklas Stark,23,0.3,0.2,Hertha BSC
Raphaël Guerreiro,23,0.7,0.6,Borussia Dortmund
Vladimír Darida,22,0.4,0.3,Hertha BSC
Ömer Toprak,20,0.8,0.6,Bayer Leverkusen
Roman Bürki,20,1.7,1.4,Borussia Dortmund
Marco Terrazzino,20,0.2,0.1,1899 Hoffenheim
Christian Clemens,20,0.2,0.2,1. FC Köln
Davie Selke,18,0.9,0.8,RB Leipzig
Florian Grillitsch,17,0.3,0.2,Werder Bremen
Levin Öztunali,17,0.5,0.4,1. FSV Mainz 05
Neven Subotić,17,1.9,1.6,1. FC Köln
Julian Brandt,17,0.8,0.7,Bayer Leverkusen
Gonzalo Castro,16,0.6,0.5,Borussia Dortmund
Oliver Baumann,15,0.1,0.1,1899 Hoffenheim
Max Meyer,15,1.3,1.1,FC Schalke 04
Sandro Wagner,15,2.0,1.8,1899 Hoffenheim
Marcel Halstenberg,14,0.4,0.3,RB Leipzig
Yannick Gerhardt,13,0.3,0.3,VfL Wolfsburg
Xabi Alonso,13,1.7,1.5,Bayern München
Andreas Christensen,13,0.1,0.1,Bor. Mönchengladbach
Tobias Strobl,13,0.1,0.1,Bor. Mönchengladbach
Luiz Gustavo,13,0.5,0.5,VfL Wolfsburg
Mijat Gaćinović,12,0.2,0.2,Eintracht Frankfurt
Javi Martínez,12,0.8,0.7,Bayern München
Ermin Bičakčić,12,0.2,0.1,1899 Hoffenheim
Per Skjelbred,11,0.2,0.1,Hertha BSC
Hakan Çalhanoğlu,11,2.2,2.0,Bayer Leverkusen
Branimir Hrgota,9,0.3,0.3,Eintracht Frankfurt
Klaas-Jan Huntelaar,9,1.0,0.9,FC Schalke 04
Naldo,8,2.9,2.7,FC Schalke 04
Alexander Esswein,8,0.6,0.6,Hertha BSC
Gideon Jung,7,0.1,0.1,Hamburger SV
Mathew Leckie,7,0.1,0.1,FC Ingolstadt 04
Felix Wiedwald,7,0.3,0.2,Werder Bremen
Sehrou Guirassy,7,0.1,0.1,1. FC Köln
Salomon Kalou,6,0.6,0.6,Hertha BSC
Arjen Robben,5,7.9,7.5,Bayern München
Johan Djourou,4,0.3,0.3,Hamburger SV
Pirmin Schwegler,3,0.1,0.1,1899 Hoffenheim
Niklas Moisander,3,0.1,0.1,Werder Bremen
Jeremy Toljan,3,0.2,0.2,1899 Hoffenheim
Danny Blum,3,0.2,0.2,Eintracht Frankfurt
Benjamin Hübner,2,0.1,0.1,1899 Hoffenheim
Caiuby,2,0.2,0.2,FC Augsburg
Dominik Stroh-Engel,1,0.2,0.2,SV Darmstadt 98
Breel Embolo,1,1.5,1.5,FC Schalke 04
Holger Badstuber,1,2.4,2.4,FC Schalke 04
Manuel Neuer,0,100.0,100.0,Bayern München
Jonathan Schmid,0,0.1,0.1,FC Augsburg
Daniel Baier,-1,0.2,0.2,FC Augsburg
Luca Waldschmidt,-1,0.1,0.1,Hamburger SV
Daniel Didavi,-2,0.9,0.9,VfL Wolfsburg
Georg Niedermeier,-4,1.1,1.1,SC Freiburg
Sebastian Jung,-4,0.2,0.2,VfL Wolfsburg
Alexander Baumjohann,-4,0.3,0.3,Hertha BSC
Ibrahima Traoré,-4,0.2,0.2,Bor. Mönchengladbach
Alfreð Finnbogason,-6,0.3,0.3,FC Augsburg
Jonas Föhrenbach,-7,0.2,0.2,SC Freiburg
Łukasz Piszczek,-8,0.8,0.9,Borussia Dortmund
Vedad Ibišević,-8,0.7,0.8,Hertha BSC
Fabian Johnson,-8,0.2,0.2,Bor. Mönchengladbach
Ralf Fährmann,-8,1.3,1.4,FC Schalke 04
Josuha Guilavogui,-10,0.2,0.2,VfL Wolfsburg
Philipp Bargfrede,-10,0.2,0.2,Werder Bremen
Miloš Jojić,-11,0.2,0.2,1. FC Köln
Timon Wellenreuther,-11,0.3,0.3,FC Schalke 04
Nico Elvedi,-12,0.2,0.2,Bor. Mönchengladbach
Nuri Şahin,-12,1.7,2.0,Borussia Dortmund
Karim Bellarabi,-13,1.1,1.3,Bayer Leverkusen
Martin Hinteregger,-13,0.4,0.5,FC Augsburg
Nico Schulz,-13,0.2,0.2,Bor. Mönchengladbach
Patrick Herrmann,-14,0.9,1.0,Bor. Mönchengladbach
Thomas Müller,-15,26.0,30.4,Bayern München
Arturo Vidal,-15,3.5,4.1,Bayern München
Christoph Janker,-15,0.2,0.3,FC Augsburg
Matija Nastasić,-15,0.3,0.3,FC Schalke 04
Julian Schieber,-17,0.4,0.4,Hertha BSC
Julian Weigl,-17,2.9,3.5,Borussia Dortmund
Kevin Volland,-18,1.2,1.4,Bayer Leverkusen
Luca Caldirola,-18,0.2,0.2,Werder Bremen
Roman Weidenfeller,-18,1.3,1.6,Borussia Dortmund
Pascal Stenzel,-18,0.1,0.1,SC Freiburg
Sven Bender,-18,0.5,0.7,Borussia Dortmund
Philipp Max,-18,0.1,0.2,FC Augsburg
Michael Gregoritsch,-19,0.3,0.4,Hamburger SV
Jan-Ingwer Callsen-Bracker,-19,0.1,0.2,FC Augsburg
Theodor Gebre Selassie,-20,0.1,0.1,Werder Bremen
Shinji Kagawa,-20,0.8,1.0,Borussia Dortmund
Dennis Aogo,-21,0.5,0.7,FC Schalke 04
Sascha Riether,-22,0.2,0.3,FC Schalke 04
Konstantin Rausch,-22,0.1,0.2,1. FC Köln
Aleksandar Dragović,-22,0.3,0.3,Bayer Leverkusen
Christoph Kramer,-22,0.7,0.9,Bor. Mönchengladbach
Fabian Lustenberger,-23,0.2,0.3,Hertha BSC
Pierre-Michel Lasogga,-23,1.2,1.5,Hamburger SV
Juan Bernat,-23,0.2,0.3,Bayern München
Tony Jantschke,-23,0.3,0.3,Bor. Mönchengladbach
Lewis Holtby,-23,0.4,0.6,Hamburger SV
Franco Di Santo,-25,0.4,0.5,FC Schalke 04
Maximilian Arnold,-25,0.2,0.3,VfL Wolfsburg
Sebastian Rode,-25,0.6,0.8,Borussia Dortmund
Bernd Leno,-25,0.6,0.8,Bayer Leverkusen
Robin Knoche,-26,0.2,0.2,VfL Wolfsburg
Atsuto Uchida,-26,0.2,0.2,FC Schalke 04
Stefan Kießling,-26,0.5,0.7,Bayer Leverkusen
Sinan Kurt,-27,0.7,1.0,Hertha BSC
Marco Reus,-28,9.3,12.8,Borussia Dortmund
Raúl Bobadilla,-28,0.3,0.4,FC Augsburg
Christian Mathenia,-28,0.2,0.3,Hamburger SV
