"Rankings of Republican debate candidates by minute based on US searches, 9/16/2015",,,,,,,,,,,,,,,
time,Jeb Bush,Ben Carson,Chris Christie,Ted Cruz,Mike Huckabee,John Kasich,Rand Paul,Marco Rubio,Donald Trump,Scott Walker,Carly Fiorina,Lindsey Graham,Bobby Jindal,George Pataki,Rick Santorum
6:00 PM ET,4,2,14,12,15,13,9,8,1,10,3,5,5,11,7
6:08 PM ET,7,2,14,10,15,12,10,9,1,13,3,5,4,8,6
6:16 PM ET,8,3,15,11,12,14,10,9,1,13,7,4,5,2,6
6:24 PM ET,8,5,14,9,15,13,10,10,1,12,7,2,3,6,4
6:32 PM ET,8,4,14,11,15,12,9,10,1,13,7,2,3,5,6
6:40 PM ET,8,5,14,11,15,13,10,9,1,12,7,2,3,6,4
6:48 PM ET,8,5,15,10,13,14,11,9,1,12,7,2,3,4,6
6:56 PM ET,8,6,15,9,14,11,10,11,1,13,7,3,5,2,4
7:04 PM ET,8,6,14,11,15,12,10,9,1,13,7,2,3,5,4
7:12 PM ET,8,6,14,12,15,13,11,10,1,9,7,2,5,3,4
7:20 PM ET,8,4,14,9,15,13,10,12,1,11,7,2,6,5,3
7:28 PM ET,8,5,14,11,15,12,10,9,1,13,7,2,3,6,4
7:36 PM ET,8,6,12,10,15,13,11,9,1,14,7,2,5,3,4
7:44 PM ET,8,5,12,9,15,13,10,11,1,14,6,2,3,7,4
7:52 PM ET,6,3,12,9,15,14,10,11,1,13,5,2,4,8,7
8:00 PM ET,3,2,8,6,15,13,7,9,1,12,4,5,10,11,14
8:08 PM ET,7,1,9,3,8,11,6,4,2,10,5,12,13,14,15
8:16 PM ET,4,3,6,9,13,8,5,10,1,7,2,12,11,14,15
8:24 PM ET,4,2,5,9,11,7,8,10,1,6,3,12,13,14,15
8:32 PM ET,4,3,11,6,9,8,7,5,1,10,2,12,13,15,14
8:40 PM ET,4,6,11,2,8,7,5,9,1,10,3,12,13,14,14
8:48 PM ET,3,6,11,2,9,7,8,5,1,10,4,12,13,15,14
8:56 PM ET,3,5,6,4,10,7,9,8,2,11,1,12,13,15,14
9:04 PM ET,3,4,7,5,11,10,9,6,2,8,1,12,13,15,14
9:12 PM ET,1,4,7,6,11,9,8,5,2,10,3,12,13,15,14
9:20 PM ET,6,3,9,5,11,7,8,4,1,10,2,13,12,14,15
9:28 PM ET,4,3,5,9,10,8,6,7,2,11,1,12,13,14,15
9:36 PM ET,5,3,8,11,7,4,8,6,1,10,2,13,12,15,14
9:44 PM ET,4,3,7,10,11,5,9,6,2,8,1,12,13,15,14
9:52 PM ET,3,5,8,6,11,9,7,1,2,10,4,12,13,15,14
10:00 PM ET,2,3,6,8,11,10,7,4,1,9,5,12,13,15,14
10:08 PM ET,5,1,7,8,10,11,6,4,2,9,3,12,13,15,14
10:16 PM ET,3,5,10,4,8,9,7,6,2,11,1,12,13,15,14
10:24 PM ET,3,5,8,7,9,10,4,6,2,11,1,12,13,15,14
10:32 PM ET,4,7,8,6,11,10,5,3,2,9,1,12,13,15,14
10:40 PM ET,5,4,6,8,10,11,7,2,1,9,3,12,13,15,14
10:48 PM ET,6,4,9,8,7,10,2,5,1,11,3,12,13,15,14
10:56 PM ET,5,4,9,6,8,10,7,3,1,11,2,12,13,15,14
11:04 PM ET,4,3,10,6,11,8,9,5,2,7,1,12,13,15,14
11:12 PM ET,5,4,1,8,11,5,9,7,3,10,2,12,14,15,13
