Suchinteresse nach Kernenergie in Deutschland nach Landkreis,,
13. April 2022 bis 12. April 2023,,
Landkreis_Code,Landkreis_Name,Indexwert
8317,Ortenaukreis,36.5
8325,Rottweil,35.5
8326,Schwarzwald-Baar-Kreis,30.3
8327,Tuttlingen,39.7
8335,Konstanz,38.2
8336,Lörrach,41.6
8337,Waldshut,40.6
8415,Reutlingen,38.9
8416,Tübingen,54.7
8417,Zollernalbkreis,33.2
8421,Ulm,43.7
8425,Alb-Donau-Kreis,29.4
8426,Biberach,47.9
8435,Bodenseekreis,40.7
8436,Ravensburg,36.3
8437,Sigmaringen,44.8
9161,Ingolstadt,43.6
9162,München,59.1
9163,Rosenheim,27.9
9171,Altötting,39.3
9172,Berchtesgadener Land,41
9173,Bad Tölz-Wolfratshausen,50.1
9174,Dachau,44.5
9175,Ebersberg,56.1
9176,Eichstätt,42.7
9177,Erding,40.7
9178,Freising,48.8
9179,Fürstenfeldbruck,42.9
9180,Garmisch-Partenkirchen,55.5
9181,Landsberg am Lech,41.4
9182,Miesbach,46.4
9183,Mühldorf a. Inn,36.9
9184,München,78.8
9185,Neuburg-Schrobenhausen,34.1
9186,Pfaffenhofen a.d. Ilm,50.9
9187,Rosenheim,37.2
9188,Starnberg,48.4
9189,Traunstein,34.2
9190,Weilheim-Schongau,49.8
9261,Landshut,44.8
9262,Passau,27.5
9263,Straubing,39.8
9271,Deggendorf,39.8
9272,Freyung-Grafenau,37.3
9273,Kelheim,52.8
9274,Landshut,56
9275,Passau,37.5
9276,Regen,27.4
9277,Rottal-Inn,25.5
9278,Straubing-Bogen,29
9279,Dingolfing-Landau,43.3
9361,Amberg,43.1
9362,Regensburg,55.2
9363,Weiden i.d. OPf.,38
9371,Amberg-Sulzbach,36.9
9372,Cham,48.3
9373,Neumarkt i.d. OPf.,57.2
9374,Neustadt a.d. Waldnaab,45.7
9375,Regensburg,50.1
9376,Schwandorf,38.9
9377,Tirschenreuth,31.3
9461,Bamberg,45.8
9462,Bayreuth,43.9
9463,Coburg,58
9464,Hof,52.2
9471,Bamberg,37.8
9472,Bayreuth,60.1
9473,Coburg,35.7
9474,Forchheim,45.2
9475,Hof,24.4
9476,Kronach,38
9477,Kulmbach,52.3
9478,Lichtenfels,27.4
9479,Wunsiedel i. Fichtelgebirge,23
9561,Ansbach,36.4
9562,Erlangen,99.5
9563,Fürth,58.7
9564,Nürnberg,56.6
9565,Schwabach,40
9571,Ansbach,48.3
9572,Erlangen-Höchstadt,50.6
9573,Fürth,40.8
9574,Nürnberger Land,38.7
9575,Neustadt a.d. Aisch-Bad Windsheim,39.8
