"Search interest in news events in the US between January 1, 2017 and September 1, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Values have been indexed to 100 for each news event, where 100 is the maximum search interest ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inauguration crowd sizes,Womenâ€™s march,Travel ban + protests,Sally Yates fired,Michael Flynn quits,Trumpâ€™s speech to Congress,Session recuses himself from Russia probe,Wiretapping tweet,Bannon removed from National Security Council,Syria airstrike,Gorsuch confirmed,Trump and Xi eating â€œbeautiful chocolate cakeâ€ù during Syria bombing Trump told Fox,MOAB dropped,Trump doesnâ€™t attend White House Correspondents dinner,House healthcare bill passes,Robert Mueller appointed to oversee Russia investigation,James Comey fired,Trump leaks info to Russians,â€œCovfefeâ€ù tweet,Leaves the Paris Accord,James Comeyâ€™s testimony,Jeff Sessionsâ€™ testimony,Paul Manafort files as a foreign agent,Mitch McConnel delays health care vote,Trump tweets at Mika from Morning Joe,Trump and Putin meet for the first time,Trump tower meeting leaks,Don Jr tweeted his email about the Trump Tower meeting,Sean Spicer out,Scaramucci hired/ouster,Health care bill fails,Reince Priebus fired,Transgender military ban,Trump on North Korea threat,Charlottesville,Bannon ouster,Afghanistan troops announcement,Trump looks at the sun during the eclipse,Pardoning of Joe Arpaio,DACA announcement
Jan 16 2017,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,0,0,0
Jan 17 2017,1,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,6,0,0,0
Jan 18 2017,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,5,0,0,8
Jan 19 2017,1,12,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,0,0,10
Jan 20 2017,52,20,0,0,1,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,1,55,0,0,0,0,0,0,4,2,0,5,0,0,15
Jan 21 2017,100,100,0,0,2,0,0,0,0,0,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,0,8,0,0,16
Jan 22 2017,97,58,0,0,2,0,0,0,0,0,0,4,0,3,6,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,2,2,0,8,0,0,9
Jan 23 2017,46,20,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,4,0,0,11
Jan 24 2017,19,11,0,0,1,0,0,0,0,0,0,3,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,4,0,0,16
Jan 25 2017,12,6,1,0,1,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,2,0,6,0,0,10
Jan 26 2017,10,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,2,2,0,6,0,0,17
Jan 27 2017,10,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,6,0,2,2,0,6,0,0,9
Jan 28 2017,6,3,19,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,4,0,0,12
Jan 29 2017,3,2,100,0,1,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,2,2,2,7,0,0,9
Jan 30 2017,3,2,43,0,1,0,0,0,0,0,0,0,0,0,3,0,0,9,0,1,0,0,0,0,0,0,0,0,2,0,0,5,0,2,2,1,8,0,0,7
Jan 31 2017,1,1,22,100,1,0,0,0,0,0,1,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,0,1,2,4,5,0,0,7
Feb 1 2017,1,1,10,14,2,0,0,0,4,0,14,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,8,2,0,0,0,0,1,2,1,6,0,0,0
Feb 2 2017,1,1,7,3,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,1,5,0,0,0
Feb 3 2017,1,1,5,2,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,7,0,0,10
Feb 4 2017,1,1,11,2,1,0,0,0,0,0,1,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,12
Feb 5 2017,1,1,4,2,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,1,0,7,0,0,0
Feb 6 2017,1,1,3,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,6,2,0,0,0,0,1,1,0,3,0,0,0
Feb 7 2017,1,1,2,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,2,1,4,0,0,0
Feb 8 2017,1,1,2,1,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,2,0,5,0,0,0
Feb 9 2017,1,1,2,1,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,1,2,0,7,0,0,0
Feb 10 2017,1,1,3,1,6,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,8,0,0,0
Feb 11 2017,0,0,2,0,8,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0,4,0,0,0
Feb 12 2017,0,0,1,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,2,0,4,0,0,0
Feb 13 2017,1,0,2,0,11,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,8,2,0,5,0,0,0
Feb 14 2017,0,0,2,8,100,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,7,2,1,5,0,0,0
Feb 15 2017,1,0,1,5,36,0,0,0,0,0,1,0,0,0,2,0,0,7,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,2,0,6,0,0,0
Feb 16 2017,1,0,2,2,15,0,1,0,0,0,2,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,3,2,1,3,0,0,0
Feb 17 2017,0,0,1,1,8,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,2,2,0,0,0,0,10
Feb 18 2017,0,0,1,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,10,0,0,0
Feb 19 2017,0,0,1,1,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,2,2,0,6,0,0,9
Feb 20 2017,0,0,1,1,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,10,0,0,13
Feb 21 2017,0,0,0,0,3,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5,0,0,10
Feb 22 2017,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,0,0,0
Feb 23 2017,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,5,0,0,0
Feb 24 2017,0,0,1,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,5,0,0,0
Feb 25 2017,1,0,0,0,1,0,0,0,0,0,1,0,0,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,1,0,0
Feb 26 2017,0,0,2,0,1,0,0,0,0,0,1,0,0,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0
Feb 27 2017,1,0,0,0,1,1,0,0,0,0,2,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,0,0,0
Feb 28 2017,0,0,1,0,1,22,0,0,0,0,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0
Mar 1 2017,1,0,1,0,0,100,0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,0,0,0
Mar 2 2017,0,0,1,1,2,23,100,0,0,0,1,0,0,4,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,2,0,8,0,0,0
Mar 3 2017,0,0,0,0,1,7,70,0,0,0,1,0,0,4,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,2,0,5,0,0,0
Mar 4 2017,0,0,1,0,1,2,15,100,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,4,0,0,0
Mar 5 2017,0,0,1,0,1,2,22,90,0,0,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Mar 6 2017,0,0,3,0,1,1,13,86,0,0,1,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,6,0,0,0
Mar 7 2017,1,1,2,0,1,1,6,55,0,0,1,0,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,5,0,0,0
Mar 8 2017,1,2,1,0,1,1,3,31,0,0,1,0,0,0,16,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,8,0,0,0
Mar 9 2017,0,1,1,0,3,0,3,30,0,0,1,0,0,3,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4,0,0,0
Mar 10 2017,0,0,0,0,7,0,2,17,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,2,0,10,0,0,0
Mar 11 2017,0,0,0,1,4,0,2,14,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Mar 12 2017,1,0,0,0,1,0,0,14,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,0,0,0
Mar 13 2017,0,0,0,0,1,0,0,42,0,0,1,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,3,0,0,0
Mar 14 2017,0,0,1,0,1,0,0,32,0,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,5,0,0,0
Mar 15 2017,0,0,1,0,1,0,0,24,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,2,0,5,1,0,0
Mar 16 2017,0,0,2,0,1,0,0,31,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,4,0,0,0
Mar 17 2017,0,0,0,0,2,0,0,35,0,2,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,2,0,5,0,0,0
Mar 18 2017,0,0,1,0,1,0,0,23,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0
Mar 19 2017,0,0,0,0,1,0,0,15,0,0,5,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,4,0,0,0
Mar 20 2017,0,0,0,0,2,0,0,28,0,0,25,0,0,0,5,0,3,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,3,2,0,4,0,0,0
Mar 21 2017,0,0,0,0,1,0,0,19,0,0,54,0,0,0,9,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,6,0,0,0
Mar 22 2017,0,0,0,0,1,0,0,32,0,0,48,0,0,0,13,0,1,0,0,0,0,0,30,0,0,0,0,8,1,0,0,4,0,3,2,0,4,0,0,0
Mar 23 2017,0,0,0,0,1,0,0,36,0,0,37,0,0,0,33,0,1,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,2,2,0,5,0,0,0
Mar 24 2017,0,0,0,0,1,0,0,22,0,0,23,0,0,2,66,0,1,0,0,0,0,0,0,0,0,1,0,29,0,0,0,0,0,2,2,0,0,0,0,0
Mar 25 2017,0,0,0,0,5,0,2,12,0,0,16,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,2,2,0,4,0,0,0
Mar 26 2017,0,0,0,0,8,0,0,9,0,0,10,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,2,2,0,4,0,0,0
Mar 27 2017,0,0,0,0,2,0,1,6,0,0,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,8,0,0,0
Mar 28 2017,0,0,0,5,1,0,0,3,0,0,10,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,0,0,0
Mar 29 2017,0,0,0,2,1,0,0,4,0,0,9,0,0,2,4,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,4,0,0,0
Mar 30 2017,0,0,0,0,6,0,0,5,0,0,9,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,0
Mar 31 2017,0,0,0,0,30,0,0,3,0,0,9,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0
Apr 1 2017,0,0,0,2,7,0,0,4,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,0
Apr 2 2017,0,0,0,0,4,0,0,3,0,0,8,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,6,0,0,0
Apr 3 2017,0,0,0,0,2,0,0,6,0,0,30,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,2,0,0,0,0,0
Apr 4 2017,0,0,0,0,2,0,0,5,0,0,23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,2,0,4,0,0,0
Apr 5 2017,0,0,0,0,1,0,0,5,100,1,26,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,2,9,0,0,0,0
Apr 6 2017,1,0,0,0,1,0,1,3,22,1,55,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,2,5,0,0,0,0
Apr 7 2017,0,0,1,0,1,0,0,2,10,100,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,2,2,8,0,0,0
Apr 8 2017,0,0,0,0,1,0,0,2,0,23,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,6,2,3,6,0,0,0
Apr 9 2017,0,0,0,0,1,0,0,0,0,9,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,2,3,6,0,0,0
Apr 10 2017,0,0,0,0,0,0,0,1,4,6,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,2,1,9,0,0,0
Apr 11 2017,0,0,0,0,0,0,0,2,0,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,23,2,1,4,0,0,0
Apr 12 2017,0,0,1,0,0,0,0,2,0,2,3,40,0,3,1,0,1,0,0,0,0,0,99,0,0,1,0,0,24,0,0,0,0,23,2,1,5,0,0,0
Apr 13 2017,0,0,0,0,1,0,0,2,0,3,2,96,100,0,1,0,0,0,0,0,0,0,100,0,0,1,0,9,7,0,0,0,0,29,2,2,16,0,0,0
Apr 14 2017,0,0,0,0,0,0,0,0,0,1,1,68,79,0,1,0,0,0,0,0,0,0,45,0,0,0,0,0,7,0,0,0,0,45,2,2,16,0,0,0
Apr 15 2017,0,0,0,0,0,0,0,3,0,1,1,31,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,50,2,2,8,0,0,0
Apr 16 2017,0,0,0,0,0,0,0,0,0,1,1,100,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,44,2,3,5,0,0,0
Apr 17 2017,0,0,0,0,0,0,0,2,0,0,2,44,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,26,2,1,6,0,0,0
Apr 18 2017,1,0,0,0,0,0,0,1,0,1,1,29,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,25,2,0,6,0,0,0
Apr 19 2017,1,0,0,0,0,0,0,2,0,1,1,22,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,20,2,0,5,0,0,0
Apr 20 2017,0,0,0,0,0,0,0,2,0,1,1,14,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,2,0,7,0,0,0
Apr 21 2017,1,0,0,0,0,0,0,0,0,0,1,11,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,2,0,6,0,0,0
Apr 22 2017,1,0,0,0,0,0,0,0,0,0,0,7,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,5,0,0,0
Apr 23 2017,0,0,0,0,0,0,0,0,0,0,0,7,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,4,0,0,0
Apr 24 2017,1,0,0,0,0,0,0,0,0,0,1,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,5,0,0,0
Apr 25 2017,0,0,0,0,3,0,0,0,0,0,1,6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,18,2,1,6,0,0,0
Apr 26 2017,0,0,0,0,3,0,0,0,0,0,1,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,3,0,0,0
Apr 27 2017,0,0,0,0,5,0,0,1,0,0,0,3,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,2,0,13,0,0,0
Apr 28 2017,1,0,1,0,3,0,0,1,0,0,0,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,6,0,0,0
Apr 29 2017,0,0,0,0,2,0,0,0,0,0,0,7,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,2,0,0,0,0,0
Apr 30 2017,0,0,0,0,1,0,0,0,0,0,0,5,0,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,5,0,0,0
May 1 2017,0,0,0,0,1,0,0,8,0,0,0,5,0,27,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,13,2,0,8,0,0,0
May 2 2017,0,0,0,0,1,0,0,1,0,0,0,5,1,10,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,2,0,7,0,0,0
May 3 2017,1,0,0,1,1,0,0,1,0,0,1,5,0,5,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,9,0,0,0
May 4 2017,0,0,0,0,1,0,0,1,0,0,0,4,0,4,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,7,0,0,0
May 5 2017,0,0,0,0,1,0,0,0,0,0,0,4,0,3,79,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,2,0,4,0,0,0
May 6 2017,1,0,0,0,2,0,0,1,0,0,0,4,0,3,30,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,6,2,0,0,0,0,0
May 7 2017,0,0,0,0,1,0,0,0,0,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,6,0,0,0
May 8 2017,1,0,1,6,7,0,0,1,0,0,1,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,4,0,0,0
May 9 2017,0,0,0,6,7,0,2,0,0,0,0,0,0,0,10,0,73,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,7,2,1,30,0,0,0
May 10 2017,0,0,0,8,4,0,9,1,0,0,0,0,0,0,6,0,100,0,0,0,2,0,0,0,0,2,0,0,11,0,0,0,0,6,2,0,16,0,0,0
May 11 2017,0,0,0,2,2,0,3,2,0,0,0,3,0,0,5,0,36,0,0,0,1,0,0,0,0,1,0,0,27,0,0,0,0,6,2,0,11,0,0,0
May 12 2017,0,0,0,1,1,0,2,1,0,0,0,4,0,0,4,0,19,0,0,0,1,0,75,0,0,2,0,0,21,0,0,0,0,6,2,0,6,0,0,0
May 13 2017,0,0,0,1,1,0,2,1,0,0,0,0,0,0,3,0,10,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,7,2,0,5,0,0,0
May 14 2017,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,7,0,0,0,1,0,0,0,0,0,0,0,65,0,0,0,0,10,3,0,5,0,0,0
May 15 2017,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3,0,7,18,0,0,0,0,0,0,0,1,0,0,24,0,0,0,0,9,2,0,6,0,0,0
May 16 2017,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,0,4,100,0,0,0,0,0,0,0,2,0,0,17,0,0,0,0,9,2,0,4,0,0,0
May 17 2017,1,0,0,2,7,0,2,0,0,0,0,5,0,0,3,80,5,36,0,0,1,0,0,0,0,2,0,0,11,0,0,0,0,6,2,0,8,1,0,0
May 18 2017,0,0,0,1,8,0,2,0,0,2,0,0,0,0,2,100,5,19,0,0,1,0,0,0,0,2,0,0,6,0,0,0,0,7,2,0,4,0,0,0
May 19 2017,0,0,0,0,3,0,0,1,0,1,0,5,0,0,2,45,4,14,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,5,2,0,10,0,0,0
May 20 2017,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,33,3,12,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,5,2,0,5,0,0,0
May 21 2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,6,2,0,6,0,0,0
May 22 2017,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,1,14,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,6,2,0,4,0,0,0
