"Search interest in Eurovision from May 6 - 13, 2016. All values indexed to 100, where 100 is the max search interest.",,,
city,region,country,searchinterest
Esh Winning,England,United Kingdom,14.05
Willebroek,Flanders,Belgium,14.03
Uddevalla,Västra Götaland County,Sweden,13.95
Rijeka,Primorje-Gorski Kotar County,Croatia,13.95
Zhytomyr,Zhytomyrs'ka oblast,Ukraine,13.87
Sundsvall,Västernorrland County,Sweden,13.85
Swansea,Wales,United Kingdom,13.85
Thessaloniki ,,Greece,13.81
Khalkis ,,Greece,13.81
Ryazan,Ryazan Oblast,Russia,13.67
Tver,Tver Oblast,Russia,13.61
Heraklion ,,Greece,13.53
Sunbury,England,United Kingdom,13.53
Khabarovsk,Khabarovsk Krai,Russia,13.50
Myrne,Crimea,Ukraine,13.46
Balakovo,Saratov Oblast,Russia,13.45
Brovary,Kyivs'ka oblast,Ukraine,13.44
Welford-on-Avon,England,United Kingdom,13.37
Wigan,England,United Kingdom,13.30
Ruiselede,Flanders,Belgium,13.29
Volzhsky,Volgograd Oblast,Russia,13.25
Ioannina ,,Greece,13.23
Östersund,Jämtland County,Sweden,13.21
Luleå,Norrbotten County,Sweden,13.20
Berdyans'k,Zaporiz'ka oblast,Ukraine,13.19
Irpin',Kyivs'ka oblast,Ukraine,13.14
Cambridge,England,United Kingdom,13.14
Haifa,Haifa District,Israel,13.13
Borås,Västra Götaland County,Sweden,13.02
Wevelgem,Flanders,Belgium,12.94
Kaliningrad,Kaliningrad Oblast,Russia,12.79
Eskilstuna,Södermanland County,Sweden,12.79
Limerick ,,Ireland,12.70
Lommel,Flanders,Belgium,12.68
Örebro,Örebro County,Sweden,12.66
Falkirk,Scotland,United Kingdom,12.65
Vladivostok,Primorsky Krai,Russia,12.63
Aldington,England,United Kingdom,12.59
Mile Oak,England,United Kingdom,12.52
Yalta,Crimea,Ukraine,12.51
Oryol,Oryol Oblast,Russia,12.50
Helsinki,Uusimaa,Finland,12.48
Evosmos ,,Greece,12.47
Gävle,Gävleborg County,Sweden,12.45
Nesodden,Akershus,Norway,12.42
Makiivka,Donetsk Oblast,Ukraine,12.34
Folkestone,England,United Kingdom,12.30
Chagford,England,United Kingdom,12.30
Karlstad,Värmland County,Sweden,12.30
Rostov-on-Don,Rostov Oblast,Russia,12.27
Ivanovo,Ivanovo Oblast,Russia,12.26
Rothwell,England,United Kingdom,12.24
South Cave,England,United Kingdom,12.19
Larissa ,,Greece,12.17
Nottingham,England,United Kingdom,12.16
Varberg,Halland County,Sweden,12.12
Hove,England,United Kingdom,12.11
Genk,Flanders,Belgium,12.10
Chita,Zabaykalsky Krai,Russia,12.07
Donetsk,Donetsk Oblast,Ukraine,12.07
Tule,Tula Oblast,Russia,12.05
Široki Brijeg,BA-BIH,Bosnia and Herzegovina,12.05
Crossgates,Scotland,United Kingdom,12.04
Newcastle upon Tyne,England,United Kingdom,11.95
Giv'atayim,Tel Aviv District,Israel,11.93
Astrakhan,Astrakhan Oblast,Russia,11.87
Wirksworth,England,United Kingdom,11.84
Sheffield,England,United Kingdom,11.82
Reigate,England,United Kingdom,11.82
Boryspil',Kyivs'ka oblast,Ukraine,11.82
Bratsk,Irkutsk Oblast,Russia,11.81
Chernihiv,Chernihivs'ka oblast,Ukraine,11.76
Split,Split-Dalmatia County,Croatia,11.69
Espoo,Uusimaa,Finland,11.64
Zagreb,City of Zagreb,Croatia,11.64
Daugavpils ,,Latvia,11.63
Tambov,Tambov Oblast,Russia,11.60
Brighton,England,United Kingdom,11.58
Handforth,England,United Kingdom,11.57
Zelenograd,Moskovskaya oblast,Russia,11.54
Arkhangelsk,Arkhangelsk Oblast,Russia,11.54
Beeston,England,United Kingdom,11.53
Penza,Penza Oblast,Russia,11.50
Vologda,Vologda Oblast,Russia,11.49
