"Search interest in Eurovision from May 6 - 13, 2016. All values indexed to 100, where 100 is the max search interest.",,,
city,region,country,searchinterest
Berne,Canton of Bern,Switzerland,6.45
Solihull,England,United Kingdom,6.38
Amsterdam,North Holland,Netherlands,6.36
Roade,England,United Kingdom,6.36
Bathford,England,United Kingdom,6.33
Čakovec,Međimurje County,Croatia,6.32
The Hague,South Holland,Netherlands,6.30
Rotterdam,South Holland,Netherlands,6.28
Wick,England,United Kingdom,6.26
Lyubertsy,Moskovskaya oblast,Russia,6.18
Celje ,,Slovenia,6.16
Hastings,England,United Kingdom,6.16
Trollhättan,Västra Götaland County,Sweden,6.15
Utrecht,Utrecht,Netherlands,6.10
Poole,England,United Kingdom,6.08
Lenham,England,United Kingdom,6.07
Debrecen,Hajdu-Bihar,Hungary,6.05
Leicester,England,United Kingdom,6.04
Warrington,England,United Kingdom,6.03
Burton upon Stather,England,United Kingdom,6.00
Basingstoke,England,United Kingdom,5.99
Bromley,England,United Kingdom,5.92
Birkenhead,England,United Kingdom,5.92
Pardubice,Pardubice Region,Czech Republic,5.92
Cumbernauld,Scotland,United Kingdom,5.89
Tilburg,North Brabant,Netherlands,5.88
Geneva,Geneva,Switzerland,5.84
Southfleet,England,United Kingdom,5.83
Rishon LeZion,Central District,Israel,5.82
Luxemburg City,Luxembourg,Luxembourg,5.78
Zurich,Canton of Zurich,Switzerland,5.74
Herning,Central Denmark Region,Denmark,5.73
Wloclawek,Kuyavian-Pomeranian Voivodeship,Poland,5.64
Chalandri ,,Greece,5.49
Stretford,England,United Kingdom,5.49
Ashgabat,Ahal,Turkmenistan,5.44
Biysk,Altai Krai,Russia,5.41
Hounslow,England,United Kingdom,5.39
Moira,Northern Ireland,United Kingdom,5.36
Barnaul,Altai Krai,Russia,5.34
Oldham,England,United Kingdom,5.34
Kifisia ,,Greece,5.33
Graz,Styria,Austria,5.32
Burnham,England,United Kingdom,5.30
Yoshkar-Ola,Mari El Republic,Russia,5.28
Bochum,North Rhine-Westphalia,Germany,5.26
Eastbourne,England,United Kingdom,5.26
Epsom,England,United Kingdom,5.23
Basel,Basel-Stadt,Switzerland,5.22
Maspalomas,Canary Islands,Spain,5.22
Bletchley,England,United Kingdom,5.21
Edgware,England,United Kingdom,5.17
Mölndal,Västra Götaland County,Sweden,5.14
Liege,Walloon Region,Belgium,5.12
Dagenham,England,United Kingdom,5.11
Vienna ,,Austria,5.11
Herne,North Rhine-Westphalia,Germany,5.06
Potsdam,Brandenburg,Germany,5.01
Clichy,Île-de-France,France,4.96
Göttingen,Lower Saxony,Germany,4.95
Wembley,England,United Kingdom,4.91
Raunds,England,United Kingdom,4.90
Dusseldorf,North Rhine-Westphalia,Germany,4.89
Bedford,England,United Kingdom,4.88
Crumlin,Northern Ireland,United Kingdom,4.87
Aktau,Mangystau,Kazakhstan,4.84
Alvechurch,England,United Kingdom,4.82
Amsterdam-Zuidoost,North Holland,Netherlands,4.78
Saarbrücken,Saarland,Germany,4.73
Horw,Lucerne,Switzerland,4.71
León,Castile and León,Spain,4.69
Leeuwarden,Friesland,Netherlands,4.68
Hamburg,Hamburg,Germany,4.66
Tashkent,Tashkent Province,Uzbekistan,4.66
Málaga,Andalusia,Spain,4.65
Lytham Saint Annes,England,United Kingdom,4.62
Kolding,DK-83,Denmark,4.60
Brno,South Moravian Region,Czech Republic,4.59
Broughton Astley,England,United Kingdom,4.59
Veliky Novgorod,Novgorod Oblast,Russia,4.58
Regensburg,Bavaria,Germany,4.58
Hayes,England,United Kingdom,4.55
Bilbao,Basque Country,Spain,4.54
Berlin,Berlin,Germany,4.53
Lyngby,Capital Region of Denmark,Denmark,4.52
Winterton-on-Sea,England,United Kingdom,4.47
Bayreuth,Bavaria,Germany,4.46
Klagenfurt,Carinthia,Austria,4.46
Girona,Catalonia,Spain,4.45
Odense,DK-83,Denmark,4.45
Exeter,England,United Kingdom,4.44
Donostia-San Sebastián,Basque Country,Spain,4.39
Karagandy,Karagandy Province,Kazakhstan,4.33
Villers-le-Bouillet,Walloon Region,Belgium,4.32
Mannheim,Baden-Wurttemberg,Germany,4.26
Grozny,Chechnya,Russia,4.26
Torquay,England,United Kingdom,4.26
Olomouc,Olomouc Region,Czech Republic,4.25
Linz,Upper Austria,Austria,4.23
Aalborg,North Denmark Region,Denmark,4.23
Lugano,Ticino,Switzerland,4.22
Bonn,North Rhine-Westphalia,Germany,4.21
Wuppertal,North Rhine-Westphalia,Germany,4.18
Stevenage,England,United Kingdom,4.17
Karlsruhe,Baden-Wurttemberg,Germany,4.15
Sutton,England,United Kingdom,4.13
Inverness,Scotland,United Kingdom,4.11
Pavlodar,Pavlodar Province,Kazakhstan,4.10
Frankfurt,Hesse,Germany,4.05
Miskolc,Borsod-Abauj-Zemplen,Hungary,4.04
Augsburg,Bavaria,Germany,4.03
Kaiserslautern,Rhineland-Palatinate,Germany,4.01
Nyíregyháza,Szabolcs-Szatmar-Bereg,Hungary,4.00
Ludwigsburg,Baden-Wurttemberg,Germany,3.99
Torun,Kuyavian-Pomeranian Voivodeship,Poland,3.98
Wiesbaden,Hesse,Germany,3.97
Groningen,Groningen,Netherlands,3.92
Prague ,,Czech Republic,3.92
Winkfield Row,England,United Kingdom,3.92
Gliwice,Silesian Voivodeship,Poland,3.91
Leverkusen,North Rhine-Westphalia,Germany,3.89
Erlangen,Bavaria,Germany,3.88
Valencia,Valencian Community,Spain,3.82
Tbilisi,Kvemo Kartli,Georgia,3.81
Aktobe,Aktobe Province,Kazakhstan,3.80
Bolton,England,United Kingdom,3.79
San Cristobal de La Laguna,Canary Islands,Spain,3.78
Hanover,Lower Saxony,Germany,3.76
Barcelona,Catalonia,Spain,3.76
Győr,Gyõr-Moson-Sopron,Hungary,3.75
Flensburg,Schleswig-Holstein,Germany,3.74
Lausanne,Vaud,Switzerland,3.72
Neuhausen ob Eck,Baden-Wurttemberg,Germany,3.71
Tübingen,Baden-Wurttemberg,Germany,3.69
Ostrava,Moravian-Silesian Region,Czech Republic,3.66
Mainz,Rhineland-Palatinate,Germany,3.65
Cologny,Geneva,Switzerland,3.64
Stockton-on-Tees,England,United Kingdom,3.59
Essen,North Rhine-Westphalia,Germany,3.58
Almere,Flevoland,Netherlands,3.57
Cádiz,Andalusia,Spain,3.57
Munich,Bavaria,Germany,3.56
Almería,Andalusia,Spain,3.55
Kiel,Schleswig-Holstein,Germany,3.51
Silkeborg,Central Denmark Region,Denmark,3.50
Bolzano,Trentino-Alto Adige/Südtirol,Italy,3.50
Drochtersen,Lower Saxony,Germany,3.50
Stuttgart,Baden-Wurttemberg,Germany,3.49
Astana,Akmola Province,Kazakhstan,3.48
Cologne,North Rhine-Westphalia,Germany,3.47
Nuremberg,Bavaria,Germany,3.47
Oldenburg,Lower Saxony,Germany,3.45
Zaragoza,Aragon,Spain,3.44
Lubeck,Schleswig-Holstein,Germany,3.44
Namur,Walloon Region,Belgium,3.41
Kurgan,Kurgan Oblast,Russia,3.39
Castellón de la Plana,Valencian Community,Spain,3.38
Tewkesbury,England,United Kingdom,3.38
Dartford,England,United Kingdom,3.38
Bishkek,Chuy Province,Kyrgyzstan,3.37
Charleroi,Walloon Region,Belgium,3.30
A Coruña,Galicia,Spain,3.30
Bremen,Bremen,Germany,3.29
Krakow,Lesser Poland Voivodeship,Poland,3.26
Czestochowa,Silesian Voivodeship,Poland,3.24
Limoges,Limousin,France,3.23
Wolfsburg,Lower Saxony,Germany,3.22
Aachen,North Rhine-Westphalia,Germany,3.20
Bordeaux,Aquitaine,France,3.19
Forel,Vaud,Switzerland,3.18
Innsbruck,Tyrol,Austria,3.18
Freiburg,Baden-Wurttemberg,Germany,3.14
Gijón,Principality of Asturias,Spain,3.14
Duisburg,North Rhine-Westphalia,Germany,3.13
Pau,Aquitaine,France,3.12
Pamplona,Navarre,Spain,3.12
Ilford,England,United Kingdom,3.09
Gennevilliers,Île-de-France,France,3.08
Madrid,Community of Madrid,Spain,3.08
Seville,Andalusia,Spain,3.08
Almaty,Almaty Province,Kazakhstan,3.08
Sankt Pölten,Lower Austria,Austria,3.07
Granada,Andalusia,Spain,3.03
Logroño,La Rioja,Spain,3.02
Strasbourg,Alsace,France,3.02
Beauvais,Picardy,France,3.00
Dresden,Saxony,Germany,2.98
Saint Gallen,St. Gallen,Switzerland,2.95
Dortmund,North Rhine-Westphalia,Germany,2.95
Nimes,Languedoc-Roussillon,France,2.92
La Louviere,Walloon Region,Belgium,2.88
Caen,Lower Normandy,France,2.77
Konstanz,Baden-Wurttemberg,Germany,2.72
Montreuil,Île-de-France,France,2.71
Leipzig,Saxony,Germany,2.67
Münster,North Rhine-Westphalia,Germany,2.66
Paris,Île-de-France,France,2.65
Toulouse,Midi-Pyrénées,France,2.61
Chemnitz,Saxony,Germany,2.59
Lublin,Lublin Voivodeship,Poland,2.59
Besançon,Franche-Comté,France,2.58
Kostanay,Kostanay Province,Kazakhstan,2.56
Gdansk,Pomeranian Voivodeship,Poland,2.56
Amiens,Picardy,France,2.56
Warsaw,Masovian Voivodeship,Poland,2.55
Paderborn,North Rhine-Westphalia,Germany,2.50
Koblenz,Rhineland-Palatinate,Germany,2.50
Wellington,Wellington,New Zealand,2.47
Montpellier,Languedoc-Roussillon,France,2.45
Lyon,Rhone-Alpes,France,2.45
Wroclaw,Lower Silesian Voivodeship,Poland,2.44
Krefeld,North Rhine-Westphalia,Germany,2.42
Alicante,Valencian Community,Spain,2.41
Lille,Nord-Pas-de-Calais,France,2.38
Nantes,Pays de la Loire,France,2.35
Magdeburg,Saxony-Anhalt,Germany,2.28
Guyancourt,Île-de-France,France,2.27
Rüsselsheim,Hesse,Germany,2.27
Erfurt,Thuringia,Germany,2.25
Poznan,Greater Poland Voivodeship,Poland,2.24
Nice,Provence-Alpes-Côte d'Azur,France,2.22
Rzeszow,Podkarpackie Voivodeship,Poland,2.22
Ulm,Baden-Wurttemberg,Germany,2.21
Vitoria,Basque Country,Spain,2.16
Boulogne-Billancourt,Île-de-France,France,2.15
Brunswick,Lower Saxony,Germany,2.15
Szeged,Csongrad,Hungary,2.15
Rennes,Brittany,France,2.11
Villeurbanne,Rhone-Alpes,France,2.11
Ingolstadt,Bavaria,Germany,2.10
Clermont-Ferrand,Auvergne,France,2.10
Palma de Mallorca,Balearic Islands,Spain,2.08
Le Havre,Upper Normandy,France,2.04
Gdynia,Pomeranian Voivodeship,Poland,2.02
Bydgoszcz,Kuyavian-Pomeranian Voivodeship,Poland,2.01
Kassel,Hesse,Germany,1.99
Marseille,Provence-Alpes-Côte d'Azur,France,1.98
Sheridan,Oregon,United States,1.95
Iași,RO-IS,Romania,1.94
Osnabrück,Lower Saxony,Germany,1.94
Katowice,Silesian Voivodeship,Poland,1.85
Tours,Centre,France,1.83
Szczecin,West Pomeranian Voivodeship,Poland,1.82
Salzburg,Salzburg,Austria,1.79
Rouen,Upper Normandy,France,1.78
Dijon,Burgundy,France,1.78
Bergamo,Lombardy,Italy,1.77
Brașov,RO-BV,Romania,1.72
Reims,Champagne-Ardenne,France,1.71
Auckland,Auckland,New Zealand,1.71
Grenoble,Rhone-Alpes,France,1.67
Padua,Veneto,Italy,1.66
Le Mans,Pays de la Loire,France,1.65
Lodz,Łódź Voivodeship,Poland,1.63
Orleans,Centre,France,1.60
Darmstadt,Hesse,Germany,1.60
Timișoara,RO-TM,Romania,1.59
Córdoba,Andalusia,Spain,1.58
Christchurch,Canterbury,New Zealand,1.56
Bratislava,Bratislava Region,Slovakia,1.55
Bialystok,Podlaskie Voivodeship,Poland,1.43
Denver,Colorado,United States,1.41
Florence,Tuscany,Italy,1.38
Dubai,Dubai,United Arab Emirates,1.34
Venice,Veneto,Italy,1.32
Nancy,Lorraine,France,1.31
Milan,Lombardy,Italy,1.28
Nanterre,Île-de-France,France,1.26
Turin,Piedmont,Italy,1.22
Rome,Lazio,Italy,1.21
Olsztyn,Warmian-Masurian Voivodeship,Poland,1.20
Bucharest,Bucharest,Romania,1.17
Bologna,Emilia-Romagna,Italy,1.04
Lisbon,Lisbon,Portugal,1.03
New York,New York,United States,1.01
Sainte Clotilde ,,Reunion,0.98
Genoa,Liguria,Italy,0.94
Washington,District of Columbia,United States,0.91
Toronto,Ontario,Canada,0.89
Naples,Campania,Italy,0.81
Antalya,Antalya Province,Turkey,0.72
Ankara,Ankara Province,Turkey,0.71
Porto,Porto District,Portugal,0.69
Istanbul,Istanbul Province,Turkey,0.67
Doha,Ad Dawhah,Qatar,0.61
Chicago,Illinois,United States,0.54
Houston,Texas,United States,0.46
Abu Dhabi,Abu Dhabi,United Arab Emirates,0.45
Philadelphia,Pennsylvania,United States,0.44
Boston,Massachusetts,United States,0.42
Singapore ,,Singapore,0.42
Izmir,Izmir Province,Turkey,0.40
Cape Town,Western Cape,South Africa,0.37
Bursa,Bursa Province,Turkey,0.37
Montreal,Quebec,Canada,0.34
Los Angeles,California,United States,0.34
Seoul,Gyeonggi-do,South Korea,0.27
Atlanta,Georgia,United States,0.27
Tehrān,Tehran,Iran,0.22
Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,0.11
Riyadh,Riyadh Province,Saudi Arabia,0.10
Minato,Tokyo,Japan,0.10
Bangkok,Bangkok,Thailand,0.07
Jakarta,Jakarta,Indonesia,0.04
New Delhi,Delhi,India,0.03
