"Top searched candidate by county, 11/14/15 to 11/18/15",,,
FIPS,County,State,Top Democrat
37013,Beaufort,North Carolina,Bernie Sanders
45013,Beaufort,South Carolina,Hillary Clinton
22011,Beauregard,Louisiana,Martin O'Maley
40007,Beaver,Oklahoma,Hillary Clinton
42007,Beaver,Pennsylvania,Bernie Sanders
49001,Beaver,Utah,Hillary Clinton
30001,Beaverhead,Montana,Hillary Clinton
27005,Becker,Minnesota,Hillary Clinton
40009,Beckham,Oklahoma,Bernie Sanders
42009,Bedford,Pennsylvania,Hillary Clinton
47003,Bedford,Tennessee,Hillary Clinton
51019,Bedford,Virginia,Bernie Sanders
48025,Bee,Texas,Bernie Sanders
33001,Belknap,New Hampshire,Bernie Sanders
21013,Bell,Kentucky,Hillary Clinton
48027,Bell,Texas,Hillary Clinton
39013,Belmont,Ohio,Hillary Clinton
27007,Beltrami,Minnesota,Hillary Clinton
16009,Benewah,Idaho,Hillary Clinton
46007,Bennett,South Dakota,Bernie Sanders
50003,Bennington,Vermont,Bernie Sanders
38005,Benson,North Dakota,Bernie Sanders
5007,Benton,Arkansas,Hillary Clinton
18007,Benton,Indiana,Bernie Sanders
19011,Benton,Iowa,Bernie Sanders
27009,Benton,Minnesota,Bernie Sanders
28009,Benton,Mississippi,Bernie Sanders
29015,Benton,Missouri,Bernie Sanders
41003,Benton,Oregon,Bernie Sanders
47005,Benton,Tennessee,Hillary Clinton
53005,Benton,Washington,Bernie Sanders
26019,Benzie,Michigan,Bernie Sanders
34003,Bergen,New Jersey,Hillary Clinton
45015,Berkeley,South Carolina,Bernie Sanders
54003,Berkeley,West Virginia,Bernie Sanders
42011,Berks,Pennsylvania,Bernie Sanders
25003,Berkshire,Massachusetts,Bernie Sanders
35001,Bernalillo,New Mexico,Bernie Sanders
13019,Berrien,Georgia,Hillary Clinton
26021,Berrien,Michigan,Bernie Sanders
37015,Bertie,North Carolina,Bernie Sanders
2050,Bethel,Alaska,Hillary Clinton
48029,Bexar,Texas,Hillary Clinton
1007,Bibb,Alabama,Hillary Clinton
13021,Bibb,Georgia,Hillary Clinton
22013,Bienville,Louisiana,Bernie Sanders
30003,Big Horn,Montana,Hillary Clinton
56003,Big Horn,Wyoming,Hillary Clinton
27011,Big Stone,Minnesota,Bernie Sanders
16011,Bingham,Idaho,Hillary Clinton
19013,Black Hawk,Iowa,Bernie Sanders
18009,Blackford,Indiana,Hillary Clinton
37017,Bladen,North Carolina,Hillary Clinton
16013,Blaine,Idaho,Hillary Clinton
30005,Blaine,Montana,Hillary Clinton
40011,Blaine,Oklahoma,Hillary Clinton
42013,Blair,Pennsylvania,Hillary Clinton
48031,Blanco,Texas,Hillary Clinton
13023,Bleckley,Georgia,Hillary Clinton
1009,Blount,Alabama,Hillary Clinton
47009,Blount,Tennessee,Bernie Sanders
27013,Blue Earth,Minnesota,Bernie Sanders
16015,Boise,Idaho,Bernie Sanders
28011,Bolivar,Mississippi,Bernie Sanders
29017,Bollinger,Missouri,Bernie Sanders
46009,Bon Homme,South Dakota,Hillary Clinton
17005,Bond,Illinois,Bernie Sanders
16017,Bonner,Idaho,Bernie Sanders
16019,Bonneville,Idaho,Hillary Clinton
5009,Boone,Arkansas,Bernie Sanders
17007,Boone,Illinois,Bernie Sanders
18011,Boone,Indiana,Hillary Clinton
19015,Boone,Iowa,Martin O'Maley
21015,Boone,Kentucky,Bernie Sanders
29019,Boone,Missouri,Hillary Clinton
31011,Boone,Nebraska,Hillary Clinton
54005,Boone,West Virginia,Hillary Clinton
48033,Borden,Texas,Hillary Clinton
48035,Bosque,Texas,Bernie Sanders
22015,Bossier,Louisiana,Bernie Sanders
51023,Botetourt,Virginia,Hillary Clinton
38009,Bottineau,North Dakota,Bernie Sanders
8013,Boulder,Colorado,Bernie Sanders
16021,Boundary,Idaho,Bernie Sanders
20011,Bourbon,Kansas,Bernie Sanders
21017,Bourbon,Kentucky,Hillary Clinton
48037,Bowie,Texas,Bernie Sanders
38011,Bowman,North Dakota,Bernie Sanders
31013,Box Butte,Nebraska,Hillary Clinton
49003,Box Elder,Utah,Hillary Clinton
21019,Boyd,Kentucky,Hillary Clinton
31015,Boyd,Nebraska,Hillary Clinton
21021,Boyle,Kentucky,Hillary Clinton
12007,Bradford,Florida,Bernie Sanders
42015,Bradford,Pennsylvania,Bernie Sanders
5011,Bradley,Arkansas,Hillary Clinton
47011,Bradley,Tennessee,Hillary Clinton
26023,Branch,Michigan,Hillary Clinton
13025,Brantley,Georgia,Hillary Clinton
48039,Brazoria,Texas,Hillary Clinton
48041,Brazos,Texas,Bernie Sanders
21027,Breckinridge,Kentucky,Hillary Clinton
19017,Bremer,Iowa,Bernie Sanders
12009,Brevard,Florida,Hillary Clinton
48043,Brewster,Texas,Bernie Sanders
48045,Briscoe,Texas,Hillary Clinton
25005,Bristol,Massachusetts,Bernie Sanders
44001,Bristol,Rhode Island,Bernie Sanders
51520,Bristol City,Virginia,Hillary Clinton
54009,Brooke,West Virginia,Hillary Clinton
46011,Brookings,South Dakota,Hillary Clinton
13027,Brooks,Georgia,Hillary Clinton
48047,Brooks,Texas,Hillary Clinton
36007,Broome,New York,Bernie Sanders
8014,Broomfield,Colorado,Bernie Sanders
12011,Broward,Florida,Hillary Clinton
17009,Brown,Illinois,Bernie Sanders
18013,Brown,Indiana,Bernie Sanders
20013,Brown,Kansas,Hillary Clinton
27015,Brown,Minnesota,Hillary Clinton
31017,Brown,Nebraska,Bernie Sanders
39015,Brown,Ohio,Bernie Sanders
46013,Brown,South Dakota,Hillary Clinton
48049,Brown,Texas,Hillary Clinton
55009,Brown,Wisconsin,Bernie Sanders
46015,Brule,South Dakota,Bernie Sanders
37019,Brunswick,North Carolina,Bernie Sanders
51025,Brunswick,Virginia,Bernie Sanders
13029,Bryan,Georgia,Bernie Sanders
40013,Bryan,Oklahoma,Hillary Clinton
19019,Buchanan,Iowa,Bernie Sanders
29021,Buchanan,Missouri,Bernie Sanders
51027,Buchanan,Virginia,Hillary Clinton
51029,Buckingham,Virginia,Hillary Clinton
42017,Bucks,Pennsylvania,Hillary Clinton
19021,Buena Vista,Iowa,Bernie Sanders
51530,Buena Vista City,Virginia,Hillary Clinton
31019,Buffalo,Nebraska,Hillary Clinton
46017,Buffalo,South Dakota,Bernie Sanders
55011,Buffalo,Wisconsin,Hillary Clinton
21029,Bullitt,Kentucky,Bernie Sanders
13031,Bulloch,Georgia,Bernie Sanders
1011,Bullock,Alabama,Hillary Clinton
37021,Buncombe,North Carolina,Bernie Sanders
17011,Bureau,Illinois,Bernie Sanders
13033,Burke,Georgia,Hillary Clinton
37023,Burke,North Carolina,Bernie Sanders
38015,Burleigh,North Dakota,Bernie Sanders
48051,Burleson,Texas,Hillary Clinton
34005,Burlington,New Jersey,Bernie Sanders
48053,Burnet,Texas,Hillary Clinton
55013,Burnett,Wisconsin,Bernie Sanders
31021,Burt,Nebraska,Bernie Sanders
1013,Butler,Alabama,Hillary Clinton
19023,Butler,Iowa,Bernie Sanders
20015,Butler,Kansas,Bernie Sanders
21031,Butler,Kentucky,Hillary Clinton
29023,Butler,Missouri,Hillary Clinton
31023,Butler,Nebraska,Hillary Clinton
39017,Butler,Ohio,Hillary Clinton
42019,Butler,Pennsylvania,Hillary Clinton
6007,Butte,California,Bernie Sanders
16023,Butte,Idaho,Hillary Clinton
46019,Butte,South Dakota,Hillary Clinton
13035,Butts,Georgia,Bernie Sanders
37025,Cabarrus,North Carolina,Hillary Clinton
54011,Cabell,West Virginia,Hillary Clinton
49005,Cache,Utah,Hillary Clinton
22017,Caddo,Louisiana,Hillary Clinton
40015,Caddo,Oklahoma,Hillary Clinton
6009,Calaveras,California,Bernie Sanders
22019,Calcasieu,Louisiana,Hillary Clinton
21033,Caldwell,Kentucky,Bernie Sanders
22021,Caldwell,Louisiana,Bernie Sanders
29025,Caldwell,Missouri,Bernie Sanders
37027,Caldwell,North Carolina,Bernie Sanders
48055,Caldwell,Texas,Bernie Sanders
50005,Caledonia,Vermont,Bernie Sanders
1015,Calhoun,Alabama,Hillary Clinton
5013,Calhoun,Arkansas,Bernie Sanders
12013,Calhoun,Florida,Bernie Sanders
13037,Calhoun,Georgia,Hillary Clinton
19025,Calhoun,Iowa,Hillary Clinton
26025,Calhoun,Michigan,Bernie Sanders
28013,Calhoun,Mississippi,Bernie Sanders
48057,Calhoun,Texas,Bernie Sanders
54013,Calhoun,West Virginia,Hillary Clinton
48059,Callahan,Texas,Bernie Sanders
29027,Callaway,Missouri,Bernie Sanders
21035,Calloway,Kentucky,Bernie Sanders
55015,Calumet,Wisconsin,Hillary Clinton
24009,Calvert,Maryland,Hillary Clinton
42021,Cambria,Pennsylvania,Bernie Sanders
13039,Camden,Georgia,Bernie Sanders
29029,Camden,Missouri,Hillary Clinton
34007,Camden,New Jersey,Bernie Sanders
37029,Camden,North Carolina,Bernie Sanders
42023,Cameron,Pennsylvania,Bernie Sanders
48061,Cameron,Texas,Bernie Sanders
48063,Camp,Texas,Hillary Clinton
21037,Campbell,Kentucky,Bernie Sanders
46021,Campbell,South Dakota,Bernie Sanders
47013,Campbell,Tennessee,Bernie Sanders
51031,Campbell,Virginia,Hillary Clinton
56005,Campbell,Wyoming,Hillary Clinton
40017,Canadian,Oklahoma,Hillary Clinton
13043,Candler,Georgia,Bernie Sanders
47015,Cannon,Tennessee,Hillary Clinton
16027,Canyon,Idaho,Hillary Clinton
29031,Cape Girardeau,Missouri,Bernie Sanders
34009,Cape May,New Jersey,Hillary Clinton
30009,Carbon,Montana,Bernie Sanders
42025,Carbon,Pennsylvania,Bernie Sanders
49007,Carbon,Utah,Bernie Sanders
56007,Carbon,Wyoming,Bernie Sanders
16029,Caribou,Idaho,Hillary Clinton
21039,Carlisle,Kentucky,Hillary Clinton
27017,Carlton,Minnesota,Martin O'Maley
24011,Caroline,Maryland,Bernie Sanders
51033,Caroline,Virginia,Bernie Sanders
5015,Carroll,Arkansas,Bernie Sanders
13045,Carroll,Georgia,Bernie Sanders
17015,Carroll,Illinois,Hillary Clinton
18015,Carroll,Indiana,Bernie Sanders
19027,Carroll,Iowa,Bernie Sanders
21041,Carroll,Kentucky,Bernie Sanders
24013,Carroll,Maryland,Bernie Sanders
28015,Carroll,Mississippi,Bernie Sanders
29033,Carroll,Missouri,Hillary Clinton
33003,Carroll,New Hampshire,Bernie Sanders
39019,Carroll,Ohio,Hillary Clinton
47017,Carroll,Tennessee,Hillary Clinton
51035,Carroll,Virginia,Hillary Clinton
48065,Carson,Texas,Hillary Clinton
32510,Carson City,Nevada,Bernie Sanders
21043,Carter,Kentucky,Hillary Clinton
30011,Carter,Montana,Hillary Clinton
40019,Carter,Oklahoma,Hillary Clinton
47019,Carter,Tennessee,Bernie Sanders
37031,Carteret,North Carolina,Bernie Sanders
27019,Carver,Minnesota,Hillary Clinton
30013,Cascade,Montana,Hillary Clinton
21045,Casey,Kentucky,Bernie Sanders
17017,Cass,Illinois,Bernie Sanders
18017,Cass,Indiana,Bernie Sanders
19029,Cass,Iowa,Hillary Clinton
26027,Cass,Michigan,Bernie Sanders
