"Search interest in each candidate by day, based on searches in Canada
All values indexed to 100, where 100 is the max search interest",,,,,
day,Gilles Duceppe,Stephen Harper,Elizabeth May,Tom Mulcair,Justin Trudeau
8/1/2015,0,5,1,3,3
8/2/2015,1,12,1,5,8
8/3/2015,1,12,1,5,11
8/4/2015,0,10,0,5,8
8/5/2015,0,9,0,4,7
8/6/2015,0,10,1,5,9
8/7/2015,1,17,10,14,24
8/8/2015,1,9,2,6,10
8/9/2015,0,8,1,5,8
8/10/2015,0,8,1,4,7
8/11/2015,0,8,1,4,7
8/12/2015,0,8,1,3,6
8/13/2015,0,8,1,3,6
8/14/2015,0,7,1,3,5
8/15/2015,0,8,1,3,5
8/16/2015,0,8,1,3,6
8/17/2015,0,9,1,4,6
8/18/2015,0,9,1,3,6
8/19/2015,0,10,1,4,6
8/20/2015,0,9,0,3,5
8/21/2015,0,8,1,3,4
8/22/2015,0,7,0,3,4
8/23/2015,0,7,0,3,4
8/24/2015,0,6,0,2,4
8/25/2015,0,6,0,4,5
8/26/2015,0,6,1,3,5
8/27/2015,0,6,1,3,5
8/28/2015,0,7,0,4,5
8/29/2015,0,7,1,4,6
8/30/2015,0,6,1,3,5
8/31/2015,0,5,0,3,4
9/1/2015,0,6,0,3,4
9/2/2015,0,6,1,3,4
9/3/2015,0,7,1,3,5
9/4/2015,0,7,1,3,5
9/5/2015,0,5,1,3,6
9/6/2015,0,5,1,2,5
9/7/2015,0,6,1,3,6
9/8/2015,0,9,1,4,6
9/9/2015,0,9,1,5,10
9/10/2015,0,9,1,8,9
9/11/2015,0,9,1,6,8
9/12/2015,0,8,3,4,8
9/13/2015,0,8,1,5,7
9/14/2015,0,9,1,5,7
9/15/2015,1,9,1,5,7
9/16/2015,0,8,2,4,6
9/17/2015,0,9,2,4,7
9/18/2015,0,13,6,10,14
9/19/2015,0,11,2,5,9
9/20/2015,0,9,1,5,10
9/21/2015,0,9,1,5,8
9/22/2015,0,9,1,5,10
9/23/2015,1,8,1,4,8
9/24/2015,1,9,1,5,9
9/25/2015,2,10,4,8,12
9/26/2015,1,7,2,4,10
9/27/2015,0,7,1,5,9
9/28/2015,1,9,2,4,10
9/29/2015,1,13,2,8,16
9/30/2015,1,11,2,6,12
10/1/2015,1,11,2,5,11
10/2/2015,0,12,1,5,13
10/3/2015,2,14,2,8,22
10/4/2015,1,13,2,6,16
10/5/2015,1,15,1,8,20
10/6/2015,1,17,2,7,19
10/7/2015,1,20,2,8,21
10/8/2015,1,23,3,7,22
10/9/2015,1,22,2,7,21
10/10/2015,0,22,2,8,25
10/11/2015,1,22,2,9,30
10/12/2015,2,25,2,9,39
10/13/2015,1,25,3,9,32
10/14/2015,1,25,3,10,34
10/15/2015,1,23,2,9,35
10/16/2015,1,25,3,8,34
10/17/2015,1,28,2,8,48
10/18/2015,1,33,2,10,52
10/19/2015,4,73,5,18,100
