"Indexed search interest of all Bundesliga 2017-18 teams by country, with the top three searched teams listed for each country. Data is from season beginning in August 2017, up to April 13, 2018.",,,,,,,,,,,,,,,,,,,,,
Country,Most searched,Second most searched,Third most searched,Bayer Leverkusen,Borussia Dortmund,Borussia Mönchengladbach,Eintracht Frankfurt,FC Augsburg,FC Bayern München,FC Köln,FC Schalke,FSV Mainz 05,Hamburger SV,Hannover 96,Hertha Berlin,RB Leipzig,SC Freiburg,SV Werder Bremen,TSG 1899 Hoffenheim,VfB Stuttgart,VfL Wolfsburg
Kenya,FC Bayern München,Borussia Dortmund,FC Schalke,38,76,28,24,18,100,43,46,36,20,22,33,39,21,31,27,19,28
Germany,Borussia Dortmund,FC Bayern München,Hamburger SV,9,100,23,17,6,89,19,47,6,47,11,14,19,8,25,8,27,8
Democratic Republic of the Congo,FC Bayern München,Borussia Dortmund,RB Leipzig,11,38,4,5,4,100,7,10,6,3,3,7,12,3,5,6,5,8
Lesotho,FC Bayern München,Borussia Dortmund,RB Leipzig,35,82,25,20,16,100,26,45,30,21,22,37,53,26,22,20,27,32
Guinea,FC Bayern München,Borussia Dortmund,RB Leipzig,7,35,3,3,1,100,2,4,2,2,1,4,8,1,2,2,2,3
Mexico,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,58,65,7,11,4,100,4,8,4,1,2,5,7,3,5,4,3,7
Jamaica,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,26,43,4,1,2,100,2,6,2,3,1,2,6,2,3,3,2,4
Uganda,FC Bayern München,Borussia Dortmund,RB Leipzig,14,54,8,7,6,100,14,15,10,7,8,10,17,7,9,11,7,11
Cuba,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,6,30,3,1,1,100,1,3,0,1,0,2,4,1,2,2,1,1
Sierra Leone,FC Bayern München,Borussia Dortmund,RB Leipzig,7,27,2,3,3,100,6,7,6,3,3,4,9,2,4,4,3,6
Cameroon,FC Bayern München,Borussia Dortmund,FC Schalke,10,41,5,5,3,100,5,12,4,3,3,5,7,2,5,5,3,6
Luxembourg,FC Bayern München,Borussia Dortmund,FC Schalke,7,75,17,7,2,100,16,24,4,18,1,4,4,4,7,5,8,3
Nigeria,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,12,39,7,6,5,100,8,11,8,6,5,8,11,6,8,9,5,11
Zimbabwe,FC Bayern München,Borussia Dortmund,FC Schalke,12,51,7,6,5,100,8,12,7,7,7,8,12,6,8,10,5,9
Gabon,Borussia Dortmund,FC Bayern München,Bayer Leverkusen,5,100,2,2,1,71,2,3,1,1,0,2,3,1,2,2,1,2
Rwanda,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,13,44,6,6,4,100,7,11,9,7,7,7,10,6,8,9,8,8
Somalia,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,9,30,3,0,1,100,2,4,1,0,1,1,2,0,2,3,0,3
Senegal,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,4,30,2,1,1,100,1,4,1,2,1,2,3,1,1,2,1,2
Peru,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,15,47,5,3,2,100,7,9,4,1,2,4,8,2,9,4,3,5
Tanzania,FC Bayern München,Borussia Dortmund,FC Schalke,13,50,10,9,6,100,16,18,11,8,8,11,15,8,11,12,9,10
Tajikistan,FC Bayern München,Borussia Dortmund,FC Schalke,6,32,4,3,1,100,1,6,1,2,1,3,1,1,3,4,1,4
Austria,FC Bayern München,Borussia Dortmund,FC Schalke,5,63,6,4,4,100,8,16,2,13,2,5,15,3,6,4,5,3
Mozambique,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,6,34,2,1,1,100,1,2,1,1,1,1,3,1,1,1,1,2
Paraguay,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,13,64,6,3,3,100,4,10,3,1,2,4,9,1,6,4,3,5
South Africa,FC Bayern München,Borussia Dortmund,FC Schalke,21,59,12,9,7,100,12,23,11,11,9,12,19,8,10,14,10,14
Kazakhstan,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,15,51,11,5,3,100,3,12,3,3,1,6,3,2,7,7,2,7
Nicaragua,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,13,52,3,1,1,100,1,3,0,1,0,1,4,0,1,1,0,3
Chile,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,9,23,2,1,0,100,1,2,1,0,1,1,2,0,1,1,0,1
Honduras,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,10,75,4,1,1,100,1,4,1,1,0,1,4,1,1,1,1,3
El Salvador,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,10,77,4,1,1,100,1,4,1,0,0,1,3,1,2,1,0,4
Colombia,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,5,22,1,1,0,100,1,2,1,0,0,1,2,0,1,1,0,1
Panama,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,10,59,3,1,1,100,1,4,1,1,0,1,4,0,1,1,1,3
Zambia,FC Bayern München,Borussia Dortmund,RB Leipzig,8,31,5,4,5,100,7,9,6,4,6,6,11,5,6,7,4,8
Kosovo,FC Bayern München,Borussia Dortmund,FC Schalke,6,46,5,2,1,100,3,7,2,4,2,2,3,2,3,4,2,4
Guatemala,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,10,62,3,1,0,100,0,3,0,0,0,1,3,0,1,1,1,3
Indonesia,FC Bayern München,Borussia Dortmund,Bayer Leverkusen,19,65,8,4,4,100,7,12,5,7,2,5,12,4,7,7,3,7
Turkmenistan,FC Bayern München,Borussia Dortmund,FC Schalke,4,34,3,1,0,100,0,6,1,1,1,1,1,2,2,3,1,3
