Most searched and 2nd most searched Republican presidential candidate by US county,,,,
"Results are based on US searches, from August 7, 2015 - September 10, 2015",,,,
State,CountyName,County.Code,MostSearched,SecondMostSearched
Alabama,Autauga,1001,Graham,Trump
Alabama,Baldwin,1003,Trump,Carson
Alabama,Barbour,1005,Trump,Bush
Alabama,Bibb,1007,Trump,Carson
Alabama,Blount,1009,Trump,Huckabee
Alabama,Bullock,1011,Trump,Cruz
Alabama,Butler,1013,Trump,Carson
Alabama,Calhoun,1015,Trump,Carson
Alabama,Chambers,1017,Carson,Cruz
Alabama,Cherokee,1019,Trump,Carson
Alabama,Chilton,1021,Trump,Carson
Alabama,Choctaw,1023,Carson,Trump
Alabama,Clarke,1025,Trump,Huckabee
Alabama,Clay,1027,Trump,Fiorina
Alabama,Cleburne,1029,Trump,Carson
Alabama,Coffee,1031,Carson,Trump
Alabama,Colbert,1033,Kasich,Fiorina
Alabama,Conecuh,1035,Trump,Carson
Alabama,Coosa,1037,Trump,Fiorina
Alabama,Covington,1039,Trump,Carson
Alabama,Crenshaw,1041,Cruz,Trump
Alabama,Cullman,1043,Trump,Cruz
Alabama,Dale,1045,Trump,Carson
Alabama,Dallas,1047,Carson,Trump
Alabama,De Kalb,1049,Trump,Carson
Alabama,Elmore,1051,Trump,Carson
Alabama,Escambia,1053,Trump,Carson
Alabama,Etowah,1055,Trump,Fiorina
Alabama,Fayette,1057,Carson,Trump
Alabama,Franklin,1059,Trump,Carson
Alabama,Geneva,1061,Trump,Carson
Alabama,Greene,1063,Carson,Trump
Alabama,Hale,1065,Trump,Carson
Alabama,Houston,1069,Trump,Paul
Alabama,Jackson,1071,Trump,Cruz
Alabama,Jefferson,1073,Trump,Carson
Alabama,Lamar,1075,Trump,Fiorina
Alabama,Lauderdale,1077,Trump,Carson
Alabama,Lawrence,1079,Trump,Carson
Alabama,Lee,1081,Trump,Carson
Alabama,Limestone,1083,Trump,Fiorina
Alabama,Lowndes,1085,Trump,Carson
Alabama,Macon,1087,Trump,Kasich
Alabama,Madison,1089,Trump,Carson
Alabama,Marengo,1091,Fiorina,Trump
Alabama,Marion,1093,Trump,Carson
Alabama,Marshall,1095,Trump,Carson
Alabama,Mobile,1097,Trump,Carson
Alabama,Monroe,1099,Trump,Carson
Alabama,Montgomery,1101,Trump,Carson
Alabama,Morgan,1103,Trump,Carson
Alabama,Perry,1105,Cruz,Trump
Alabama,Pickens,1107,Trump,Cruz
Alabama,Pike,1109,Trump,Carson
Alabama,Randolph,1111,Trump,Carson
Alabama,Russell,1113,Trump,Carson
Alabama,St Clair,1115,Trump,Huckabee
Alabama,Shelby,1117,Trump,Carson
Alabama,Sumter,1119,Trump,Paul
Alabama,Talladega,1121,Trump,Carson
Alabama,Tallapoosa,1123,Trump,Carson
Alabama,Tuscaloosa,1125,Trump,Fiorina
Alabama,Walker,1127,Trump,Carson
Alabama,Washington,1129,Trump,Carson
Alabama,Wilcox,1131,Trump,Carson
Alabama,Winston,1133,Trump,Cruz
Alaska,Aleutians West,2016,Trump,Carson
Alaska,Anchorage,2020,Trump,Carson
Alaska,Bethel,2050,Trump,Carson
Alaska,Bristol Bay,2060,Trump,Carson
Alaska,Dillingham,2070,Rubio,Cruz
Alaska,Fairbanks North Star,2090,Trump,Carson
Alaska,Haines,2100,Trump,Bush
Alaska,Juneau,2110,Trump,Paul
Alaska,Kenai Peninsula,2122,Trump,Walker
Alaska,Ketchikan Gateway,2130,Trump,Carson
Alaska,Kodiak Island,2150,Trump,Carson
Alaska,Matanuska Susitna,2170,Trump,Fiorina
Alaska,Nome,2180,Trump,Carson
Alaska,North Slope,2185,Trump,Walker
Alaska,Northwest Arctic,2188,Trump,Kasich
Alaska,Prince Wales Ketchikan,2201,Trump,Carson
Alaska,Sitka,2220,Trump,Carson
Alaska,Skagway Hoonah Angoon,2232,Trump,Carson
Alaska,Southeast Fairbanks,2240,Trump,Rubio
Alaska,Valdez Cordova,2261,Trump,Bush
Alaska,Wrangell Petersburg,2280,Trump,Fiorina
Arizona,Apache,4001,Trump,Walker
Arizona,Cochise,4003,Trump,Kasich
Arizona,Coconino,4005,Trump,Walker
Arizona,Gila,4007,Trump,Carson
Arizona,Graham,4009,Trump,Carson
Arizona,Greenlee,4011,Trump,Walker
Arizona,La Paz,4012,Trump,Fiorina
Arizona,Maricopa,4013,Trump,Carson
Arizona,Mohave,4015,Trump,Cruz
Arizona,Navajo,4017,Trump,Cruz
Arizona,Pima,4019,Trump,Carson
Arizona,Pinal,4021,Trump,Carson
Arizona,Santa Cruz,4023,Trump,Kasich
Arizona,Yavapai,4025,Trump,Fiorina
Arizona,Yuma,4027,Trump,Fiorina
Arkansas,Arkansas,5001,Trump,Santorum
Arkansas,Ashley,5003,Trump,Huckabee
Arkansas,Baxter,5005,Trump,Fiorina
Arkansas,Benton,5007,Trump,Carson
Arkansas,Boone,5009,Trump,Carson
Arkansas,Bradley,5011,Carson,Trump
Arkansas,Calhoun,5013,Trump,Carson
Arkansas,Carroll,5015,Carson,Trump
Arkansas,Chicot,5017,Huckabee,Carson
Arkansas,Clark,5019,Trump,Fiorina
Arkansas,Clay,5021,Trump,Carson
Arkansas,Cleburne,5023,Paul,Trump
Arkansas,Cleveland,5025,Trump,Fiorina
Arkansas,Columbia,5027,Trump,Carson
Arkansas,Conway,5029,Trump,Jindal
Arkansas,Craighead,5031,Carson,Huckabee
Arkansas,Crawford,5033,Trump,Fiorina
Arkansas,Crittenden,5035,Trump,Carson
Arkansas,Cross,5037,Trump,Carson
Arkansas,Dallas,5039,Pataki,Walker
Arkansas,Desha,5041,Trump,Cruz
Arkansas,Faulkner,5045,Trump,Carson
Arkansas,Franklin,5047,Trump,Huckabee
Arkansas,Fulton,5049,Trump,Christie
Arkansas,Garland,5051,Trump,Carson
Arkansas,Grant,5053,Trump,Carson
Arkansas,Greene,5055,Trump,Cruz
Arkansas,Hempstead,5057,Trump,Christie
Arkansas,Hot Spring,5059,Trump,Cruz
Arkansas,Howard,5061,Trump,Fiorina
Arkansas,Independence,5063,Trump,Bush
Arkansas,Izard,5065,Kasich,Trump
Arkansas,Jackson,5067,Trump,Fiorina
Arkansas,Jefferson,5069,Trump,Fiorina
Arkansas,Johnson,5071,Cruz,Trump
Arkansas,Lafayette,5073,Trump,Bush
Arkansas,Lawrence,5075,Fiorina,Cruz
Arkansas,Lee,5077,Trump,Huckabee
Arkansas,Little River,5081,Trump,Carson
Arkansas,Logan,5083,Trump,Fiorina
Arkansas,Lonoke,5085,Carson,Rubio
Arkansas,Madison,5087,Trump,Fiorina
Arkansas,Marion,5089,Trump,Carson
Arkansas,Miller,5091,Trump,Huckabee
Arkansas,Mississippi,5093,Trump,Fiorina
Arkansas,Monroe,5095,Trump,Carson
NA,NA,5097,Trump,Fiorina
Arkansas,Nevada,5099,Fiorina,Carson
Arkansas,Ouachita,5103,Cruz,Trump
Arkansas,Perry,5105,Kasich,Trump
Arkansas,Phillips,5107,Trump,Carson
Arkansas,Pike,5109,Trump,Carson
Arkansas,Poinsett,5111,Trump,Fiorina
Arkansas,Polk,5113,Trump,Huckabee
Arkansas,Pope,5115,Carson,Trump
Arkansas,Pulaski,5119,Trump,Carson
Arkansas,Randolph,5121,Trump,Carson
Arkansas,St Francis,5123,Trump,Fiorina
Arkansas,Saline,5125,Trump,Christie
Arkansas,Scott,5127,Trump,Carson
Arkansas,Searcy,5129,Trump,Carson
Arkansas,Sebastian,5131,Trump,Carson
Arkansas,Sevier,5133,Trump,Fiorina
Arkansas,Sharp,5135,Trump,Carson
Arkansas,Stone,5137,Trump,Carson
Arkansas,Union,5139,Trump,Cruz
Arkansas,Van Buren,5141,Trump,Cruz
Arkansas,Washington,5143,Trump,Huckabee
Arkansas,White,5145,Trump,Cruz
Arkansas,Yell,5149,Carson,Trump
California,Alameda,6001,Trump,Carson
California,Alpine,6003,Trump,Carson
California,Amador,6005,Trump,Carson
California,Butte,6007,Trump,Cruz
California,Calaveras,6009,Trump,Carson
California,Colusa,6011,Trump,Carson
California,Contra Costa,6013,Trump,Carson
California,Del Norte,6015,Trump,Fiorina
California,El Dorado,6017,Trump,Carson
California,Fresno,6019,Trump,Carson
California,Glenn,6021,Trump,Walker
California,Humboldt,6023,Trump,Santorum
California,Imperial,6025,Trump,Carson
California,Inyo,6027,Trump,Bush
California,Kern,6029,Trump,Carson
California,Kings,6031,Trump,Cruz
California,Lake,6033,Trump,Carson
California,Lassen,6035,Trump,Kasich
California,Los Angeles,6037,Trump,Carson
California,Madera,6039,Trump,Carson
California,Marin,6041,Trump,Fiorina
California,Mariposa,6043,Trump,Carson
California,Mendocino,6045,Trump,Carson
California,Merced,6047,Trump,Kasich
California,Modoc,6049,Trump,Carson
California,Mono,6051,Trump,Carson
California,Monterey,6053,Trump,Bush
California,Napa,6055,Trump,Rubio
California,Nevada,6057,Trump,Carson
California,Orange,6059,Trump,Carson
California,Placer,6061,Trump,Santorum
California,Plumas,6063,Trump,Carson
California,Riverside,6065,Trump,Carson
California,Sacramento,6067,Trump,Carson
California,San Benito,6069,Trump,Carson
California,San Bernardino,6071,Trump,Carson
California,San Diego,6073,Trump,Carson
California,San Francisco,6075,Trump,Carson
California,San Joaquin,6077,Trump,Carson
California,San Luis Obispo,6079,Trump,Fiorina
California,San Mateo,6081,Trump,Fiorina
California,Santa Barbara,6083,Trump,Fiorina
California,Santa Clara,6085,Trump,Fiorina
California,Santa Cruz,6087,Carson,Trump
California,Shasta,6089,Trump,Carson
California,Siskiyou,6093,Trump,Carson
California,Solano,6095,Trump,Rubio
California,Sonoma,6097,Trump,Cruz
California,Stanislaus,6099,Trump,Carson
California,Sutter,6101,Carson,Trump
California,Tehama,6103,Trump,Carson
California,Trinity,6105,Trump,Carson
California,Tulare,6107,Trump,Carson
California,Tuolumne,6109,Trump,Christie
California,Ventura,6111,Trump,Carson
California,Yolo,6113,Trump,Carson
California,Yuba,6115,Trump,Paul
Colorado,Adams,8001,Trump,Carson
Colorado,Alamosa,8003,Trump,Cruz
Colorado,Arapahoe,8005,Trump,Carson
Colorado,Archuleta,8007,Trump,Carson
Colorado,Baca,8009,Cruz,Trump
Colorado,Bent,8011,Trump,Carson
Colorado,Boulder,8013,Trump,Carson
